Player_ID,Player_Name,Team_ABV
10,"Mark Acres",WSB
16,"Michael Adams",WSB
31,"Mark Alarie",WSB
38,"Courtney Alexander",WAS
58,"Morris Almond",WAS
63,"Ashraf Amaya",WSB
68,"Alan Anderson",WAS
82,"Ron Anderson",WSB
104,"Gilbert Arenas",WAS
105,"Trevor Ariza",WAS
110,"Hilton Armstrong",WAS
117,"Chucky Atkins",WAS
121,"Isaac Austin",WAS
140,"Gus Bailey",WSB
147,"Ron Baker",WAS
154,"Greg Ballard",WSB
172,"Earl Barron",WAS
184,"Billy Ray Bates",WSB
192,"Dave Batton",WSB
194,"Lonny Baxter",WAS
200,"Bradley Beal",WAS
207,"Ron Behagen",WSB
232,"Davis Bertans",WAS
240,"Mike Bibby",WAS
259,"DeJuan Blair",WAS
260,"Steve Blake",WAS
265,"Andray Blatche",WAS
277,"Bojan Bogdanovic",WAS
278,"Muggsy Bogues",WSB
280,"Etdrick Bohannon",WAS
282,"Manute Bol",WSB
289,"Isaac Bonga",WAS
294,"Trevor Booker",WAS
297,"Calvin Booth",WAS
303,"Lawrence Boston",WSB
316,"Earl Boykins",WAS
324,"Dudley Bradley",WSB
330,"Torraye Braggs",WAS
356,"Dave Britton",WSB
373,"Damone Brown",WAS
375,"Dee Brown",WAS
385,"Kwame Brown",WAS
386,"Lewis Brown",WSB
402,"Troy Brown Jr.",WAS
410,"Thomas Bryant",WAS
422,"Trey Burke",WAS
434,"Steve Burtt",WSB
436,"Caron Butler",WAS
440,"Mitchell Butler",WSB
440,"Mitchell Butler",WAS
441,"Rasual Butler",WAS
445,"Will Bynum",WAS
469,"Brian Cardinal",WAS
475,"Austin Carr",WSB
500,"Terry Catledge",WSB
517,"Rex Chapman",WSB
520,"Calbert Cheaney",WSB
520,"Calbert Cheaney",WAS
523,"Phil Chenier",WSB
530,"Chris Chiozza",WAS
531,"Jim Chones",WSB
552,"Jim Cleamons",WSB
560,"John Coker",WAS
568,"Don Collins",WSB
572,"Jason Collins",WAS
582,"Steve Colter",WSB
