TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
IND,82,19705,3177,7059,0.45,932,2633,0.35,2245,4426,0.51,1298,1718,0.76,862,2718,3580,2006,608,425,1284,1642,8584
MIA,82,19730,3141,7116,0.44,973,2717,0.36,2168,4399,0.49,1432,1861,0.77,831,2792,3623,1913,612,389,1159,1652,8687
MEM,82,19880,3083,6836,0.45,951,2639,0.36,2132,4197,0.51,1586,2023,0.78,781,2883,3664,1920,625,402,1249,1758,8703
UTA,82,19755,3276,7253,0.45,806,2273,0.36,2470,4980,0.5,1372,1822,0.75,733,2762,3495,1770,695,376,1136,1835,8730
ORL,82,19780,3274,7185,0.46,858,2475,0.35,2416,4710,0.51,1336,1717,0.78,739,2922,3661,1892,575,362,1064,1537,8742
DEN,82,19730,3246,7084,0.46,887,2618,0.34,2359,4466,0.53,1372,1822,0.75,799,2685,3484,2016,610,407,1109,1675,8751
DET,82,19855,3271,6969,0.47,786,2278,0.34,2485,4691,0.53,1470,1947,0.76,747,2834,3581,1940,566,419,1153,1748,8798
BOS,82,19780,3239,7222,0.45,944,2748,0.34,2295,4474,0.51,1430,1872,0.76,852,2912,3764,1940,556,317,1241,1602,8852
TOR,82,19880,3302,7352,0.45,882,2559,0.34,2420,4793,0.5,1399,1829,0.76,867,2804,3671,2012,622,368,1225,1683,8885
HOU,82,19830,3313,7106,0.47,831,2444,0.34,2482,4662,0.53,1493,1944,0.77,899,2825,3724,1929,607,369,1232,1640,8950
MIL,82,19780,3322,7669,0.43,1073,2976,0.36,2249,4693,0.48,1242,1694,0.73,813,2902,3715,2031,557,395,1096,1653,8959
SAS,82,19805,3404,7354,0.46,961,2678,0.36,2443,4676,0.52,1249,1654,0.76,756,2844,3600,2025,589,332,999,1611,9018
DAL,82,19780,3357,7315,0.46,918,2667,0.34,2439,4648,0.52,1400,1802,0.78,836,2840,3676,2011,643,368,1065,1905,9032
POR,82,19855,3371,7384,0.46,878,2443,0.36,2493,4941,0.5,1438,1868,0.77,842,2670,3512,1906,603,420,1014,1699,9058
OKC,82,19855,3343,7272,0.46,922,2592,0.36,2421,4680,0.52,1500,1971,0.76,811,2936,3747,2039,672,415,1372,1844,9108
GSW,82,19805,3315,7471,0.44,955,2753,0.35,2360,4718,0.5,1535,1987,0.77,886,2750,3636,1989,630,295,1105,1601,9120
CHO,82,19830,3436,7311,0.47,992,2748,0.36,2444,4563,0.54,1307,1660,0.79,825,2931,3756,2133,565,492,1109,1686,9171
BRK,82,19980,3460,7581,0.46,848,2486,0.34,2612,5095,0.51,1442,1872,0.77,902,2889,3791,1944,638,432,1104,1807,9210
PHI,82,19805,3418,7506,0.46,843,2464,0.34,2575,5042,0.51,1545,2011,0.77,823,2743,3566,1917,634,336,1045,1816,9224
CHI,82,19905,3464,7316,0.47,990,2709,0.36,2474,4607,0.54,1377,1805,0.76,824,2984,3808,2094,600,473,1092,1534,9295
LAL,82,19780,3438,7610,0.45,971,2784,0.35,2467,4826,0.51,1459,1862,0.78,924,2918,3842,2053,683,421,1167,1706,9306
NYK,82,19780,3434,7352,0.47,969,2673,0.36,2465,4679,0.53,1493,1948,0.77,881,3016,3897,2098,607,458,1084,1708,9330
MIN,82,19830,3452,7386,0.47,1041,2752,0.38,2411,4634,0.52,1401,1827,0.77,921,2822,3743,2145,539,455,1209,1795,9346
CLE,82,19755,3539,7148,0.5,984,2590,0.38,2555,4558,0.56,1293,1680,0.77,782,2835,3617,2107,568,459,1022,1592,9355
LAC,82,19830,3423,7490,0.46,849,2477,0.34,2574,5013,0.51,1677,2159,0.78,925,2826,3751,1976,677,498,1081,1969,9372
SAC,82,19730,3465,7430,0.47,986,2837,0.35,2479,4593,0.54,1539,1998,0.77,917,3015,3932,2024,618,420,1304,1753,9455
NOP,82,19755,3549,7610,0.47,1006,2766,0.36,2543,4844,0.52,1471,1926,0.76,898,2855,3753,2174,702,445,1113,1722,9575
PHO,82,19880,3482,7230,0.48,912,2454,0.37,2570,4776,0.54,1705,2263,0.75,971,2897,3868,2126,737,411,1285,1694,9581
WAS,82,19930,3560,7424,0.48,994,2689,0.37,2566,4735,0.54,1474,1895,0.78,936,2939,3875,2151,631,378,1292,1741,9588
ALT,82,19855,3508,7417,0.47,1013,2820,0.36,2495,4597,0.54,1759,2321,0.76,871,2904,3775,2202,810,448,1234,1817,9788
