Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1993,,2069,CHH,None,22.0,NBA,C,78.0,2644.0,20.8,0.59,0.0,0.57,11.2,21.0,16.4,4.3,0.5,5.8,14.4,25.5,4.8,3.4,8.2,0.15,0.9,0.0,0.9,1.9
1994,,2069,CHH,None,23.0,NBA,C,60.0,2018.0,21.7,0.59,0.0,0.67,10.0,23.0,16.7,6.6,0.7,5.7,15.4,27.3,3.8,2.5,6.3,0.15,1.2,0.3,1.5,1.8
1995,,2069,CHH,None,24.0,NBA,C,77.0,2941.0,20.1,0.59,0.03,0.58,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,0.15,0.2,0.9,1.1,2.3
1996,16.0,2069,MIA,Miami Heat,25.0,NBA,C,70.0,2671.0,22.7,0.58,0.03,0.66,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,4.4,5.5,9.9,0.18,2.2,2.0,4.2,4.2
1997,16.0,2069,MIA,Miami Heat,26.0,NBA,C,66.0,2320.0,21.6,0.58,0.01,0.64,9.8,23.4,16.8,8.8,1.3,6.3,16.6,27.5,2.8,5.6,8.4,0.17,0.5,2.5,2.9,2.9
1998,16.0,2069,MIA,Miami Heat,27.0,NBA,C,58.0,1939.0,22.4,0.6,0.0,0.64,12.1,21.4,16.9,5.2,1.1,4.9,16.0,26.8,3.9,3.6,7.5,0.18,1.8,0.7,2.5,2.2
1999,16.0,2069,MIA,Miami Heat,28.0,NBA,C,46.0,1753.0,24.6,0.56,0.0,0.67,12.3,22.0,17.5,8.7,1.1,7.7,14.5,27.1,4.0,3.9,7.9,0.22,2.7,2.3,4.9,3.1
2001,16.0,2069,MIA,Miami Heat,30.0,NBA,C,13.0,306.0,24.6,0.54,0.01,0.39,13.6,25.6,19.6,8.9,0.7,7.8,14.5,30.6,0.2,0.7,0.9,0.15,1.7,1.2,2.9,0.4
2002,16.0,2069,MIA,Miami Heat,31.0,NBA,C,75.0,2455.0,18.9,0.56,0.0,0.5,8.7,21.3,15.0,6.8,0.6,5.8,14.7,24.1,2.6,4.8,7.4,0.14,-0.1,1.4,1.3,2.0
2004,3.0,2069,NJN,New Jersey Nets,33.0,NBA,C,12.0,215.0,13.3,0.56,0.0,0.48,4.4,10.4,7.4,6.6,0.5,2.2,10.4,20.9,0.4,0.3,0.6,0.14,-1.6,0.1,-1.4,0.0
2005,31.0,2069,TOT,Total After Trade,34.0,NBA,"C,PF",37.0,702.0,15.4,0.52,0.0,0.66,9.0,24.5,16.8,4.6,0.6,8.3,17.2,22.1,-0.3,1.5,1.2,0.08,-2.3,2.1,-0.1,0.3
2005,3.0,2069,NJN,New Jersey Nets,34.0,NBA,PF,18.0,457.0,13.5,0.5,0.0,0.57,8.0,25.6,16.7,5.6,0.6,7.4,19.3,23.9,-0.6,0.9,0.3,0.03,-3.2,1.5,-1.7,0.0
2005,16.0,2069,MIA,Miami Heat,34.0,NBA,C,19.0,245.0,18.9,0.55,0.0,0.89,10.9,22.4,16.9,2.5,0.6,9.9,12.2,18.7,0.3,0.5,0.9,0.17,-0.5,3.2,2.7,0.3
2006,16.0,2069,MIA,Miami Heat,35.0,NBA,C,65.0,1302.0,19.4,0.62,0.0,0.71,11.8,20.3,16.2,1.4,0.5,10.2,16.0,17.5,2.1,2.6,4.8,0.18,-0.7,2.5,1.8,1.2
2007,16.0,2069,MIA,Miami Heat,36.0,NBA,C,77.0,1572.0,16.7,0.59,0.0,0.72,9.7,16.4,13.1,2.0,0.4,9.0,18.7,20.8,1.0,2.5,3.5,0.11,-3.1,1.2,-1.9,0.0
2008,16.0,2069,MIA,Miami Heat,37.0,NBA,C,25.0,389.0,16.2,0.58,0.0,0.8,10.3,18.5,14.3,3.1,0.5,8.6,16.3,18.7,0.3,0.5,0.8,0.1,-2.5,1.1,-1.5,0.1
