Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1985,22.0,SAS,NBA,SG,79.0,9.0,1685.0,8.2,16.4,0.498,0.1,0.3,0.364,8.1,16.1,0.501,3.4,4.6,0.734,3.2,4.1,7.3,7.5,3.5,0.7,4.6,5.9,19.9,,104.0,107.0
1986,23.0,SAS,NBA,SG,82.0,82.0,2878.0,9.0,17.6,0.514,0.1,0.5,0.276,8.9,17.1,0.521,4.2,5.3,0.795,3.0,5.3,8.3,7.2,4.8,0.6,4.1,4.8,22.4,,109.0,103.0
1987,24.0,SAS,NBA,SG,81.0,78.0,2697.0,10.3,22.1,0.466,0.2,0.8,0.271,10.1,21.3,0.474,4.3,5.7,0.753,3.3,4.2,7.4,7.4,4.6,0.6,4.3,4.6,25.1,,104.0,106.0
1988,25.0,SAS,NBA,SG,82.0,82.0,2978.0,10.1,21.7,0.465,0.4,1.5,0.284,9.7,20.3,0.478,4.2,5.6,0.748,2.5,5.1,7.7,8.6,3.8,1.1,3.9,4.6,24.9,,106.0,109.0
1989,26.0,SAS,NBA,SG,65.0,65.0,2287.0,9.4,19.4,0.483,0.2,0.9,0.2,9.2,18.5,0.497,3.7,5.1,0.723,3.2,4.6,7.7,7.9,4.0,0.7,4.7,5.2,22.6,,103.0,105.0
1990,27.0,MIL,NBA,SG,81.0,81.0,2599.0,9.0,17.8,0.503,0.1,0.5,0.154,8.9,17.3,0.513,3.7,5.0,0.741,4.3,6.2,10.5,8.4,3.9,0.3,4.1,5.3,21.7,,110.0,104.0
1991,28.0,MIL,NBA,SG,81.0,81.0,2598.0,8.4,17.4,0.485,0.4,1.2,0.365,8.0,16.2,0.493,3.8,5.1,0.757,3.7,5.2,8.8,8.5,4.7,0.3,4.1,5.2,21.1,,109.0,103.0
1992,29.0,MIL,NBA,SG,82.0,79.0,2463.0,8.1,18.8,0.43,1.4,4.3,0.319,6.7,14.5,0.462,3.1,4.0,0.763,3.6,3.6,7.1,7.3,4.3,0.7,4.6,5.4,20.6,,103.0,108.0
1993,30.0,TOT,NBA,SG,69.0,54.0,2006.0,6.2,13.6,0.458,1.0,3.1,0.328,5.2,10.5,0.496,2.1,3.2,0.656,2.7,4.1,6.8,6.6,3.9,0.5,3.4,5.5,15.6,,104.0,107.0
1993,30.0,MIL,NBA,SG,39.0,32.0,1065.0,6.5,13.6,0.479,0.8,2.6,0.309,5.7,11.0,0.519,2.1,3.3,0.629,2.2,4.2,6.4,7.3,4.2,0.4,3.6,5.6,15.9,,103.0,107.0
1993,30.0,DET,NBA,SG,30.0,22.0,941.0,5.9,13.6,0.434,1.3,3.7,0.343,4.6,10.0,0.467,2.2,3.2,0.69,3.3,3.9,7.2,5.9,3.6,0.5,3.1,5.4,15.3,,106.0,106.0
1996,33.0,TOR,NBA,SG,77.0,69.0,2478.0,5.9,12.6,0.47,0.9,3.1,0.272,5.1,9.5,0.535,2.2,3.3,0.677,2.3,4.8,7.1,6.7,3.5,0.7,3.8,5.6,14.9,,103.0,110.0
