Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,8,1989,DEN,Denver Nuggets,Andre Miller,"March 19, 1976",27.0,NBA,PG,5.0,5.0,174.0,34.0,72.0,0.47,0.0,2.0,0.0,34.0,70.0,0.49,0.47,9.0,11.0,0.82,15.0,8.0,23.0,16.0,8.0,0.0,10.0,16.0,77.0
2005,8,1989,DEN,Denver Nuggets,Andre Miller,"March 19, 1976",28.0,NBA,PG,5.0,5.0,184.0,28.0,66.0,0.42,2.0,4.0,0.5,26.0,62.0,0.42,0.44,23.0,32.0,0.72,9.0,17.0,26.0,26.0,10.0,1.0,12.0,22.0,81.0
2006,8,1989,DEN,Denver Nuggets,Andre Miller,"March 19, 1976",29.0,NBA,PG,5.0,5.0,182.0,34.0,77.0,0.44,0.0,0.0,,34.0,77.0,0.44,0.44,14.0,17.0,0.82,8.0,14.0,22.0,36.0,5.0,1.0,16.0,12.0,82.0
2008,23,1989,PHI,Philadelphia 76Ers,Andre Miller,"March 19, 1976",31.0,NBA,PG,6.0,6.0,229.0,39.0,89.0,0.44,0.0,3.0,0.0,39.0,86.0,0.45,0.44,14.0,22.0,0.64,7.0,12.0,19.0,20.0,5.0,0.0,14.0,12.0,92.0
2009,23,1989,PHI,Philadelphia 76Ers,Andre Miller,"March 19, 1976",32.0,NBA,PG,6.0,6.0,258.0,48.0,101.0,0.48,3.0,10.0,0.3,45.0,91.0,0.5,0.49,28.0,34.0,0.82,9.0,29.0,38.0,32.0,7.0,1.0,19.0,17.0,127.0
2010,25,1989,POR,Portland Trail Blazers,Andre Miller,"March 19, 1976",33.0,NBA,PG,6.0,6.0,210.0,30.0,74.0,0.4,3.0,7.0,0.43,27.0,67.0,0.4,0.43,31.0,40.0,0.78,5.0,14.0,19.0,36.0,7.0,1.0,19.0,12.0,94.0
2011,25,1989,POR,Portland Trail Blazers,Andre Miller,"March 19, 1976",34.0,NBA,PG,6.0,6.0,194.0,33.0,67.0,0.49,4.0,10.0,0.4,29.0,57.0,0.51,0.52,19.0,24.0,0.79,5.0,14.0,19.0,33.0,2.0,0.0,13.0,17.0,89.0
2012,8,1989,DEN,Denver Nuggets,Andre Miller,"March 19, 1976",35.0,NBA,SG,7.0,0.0,200.0,31.0,73.0,0.42,4.0,7.0,0.57,27.0,66.0,0.41,0.45,13.0,15.0,0.87,14.0,25.0,39.0,42.0,9.0,1.0,17.0,19.0,79.0
2013,8,1989,DEN,Denver Nuggets,Andre Miller,"March 19, 1976",36.0,NBA,PG,6.0,0.0,154.0,29.0,69.0,0.42,5.0,11.0,0.46,24.0,58.0,0.41,0.46,21.0,27.0,0.78,11.0,9.0,20.0,23.0,2.0,0.0,16.0,8.0,84.0
2014,30,1989,WAS,Washington Wizards,Andre Miller,"March 19, 1976",37.0,NBA,SG,11.0,0.0,108.0,19.0,41.0,0.46,1.0,3.0,0.33,18.0,38.0,0.47,0.48,5.0,9.0,0.56,2.0,9.0,11.0,9.0,3.0,0.0,8.0,12.0,44.0
2016,27,1989,SAS,San Antonio Spurs,Andre Miller,"March 19, 1976",39.0,NBA,PG,5.0,0.0,35.0,3.0,7.0,0.43,1.0,3.0,0.33,2.0,4.0,0.5,0.5,2.0,2.0,1.0,2.0,3.0,5.0,7.0,0.0,0.0,0.0,4.0,9.0
