Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2005,18.0,GSW,NBA,C,30.0,384.0,14.8,0.57,0.013,0.513,12.7,21.1,16.7,4.9,1.6,4.4,11.2,12.4,,0.7,0.6,1.2,0.154,,-3.2,1.5,-1.7,0.0
2006,19.0,GSW,NBA,C,68.0,1000.0,13.6,0.595,0.0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,,1.6,1.3,2.9,0.137,,-2.3,0.6,-1.6,0.1
2007,20.0,GSW,NBA,C,82.0,2382.0,16.2,0.598,0.0,0.287,11.3,24.0,17.5,5.4,1.4,4.3,15.4,13.8,,3.5,3.3,6.7,0.136,,-1.0,0.6,-0.3,1.0
2008,21.0,GSW,NBA,C,76.0,2078.0,19.2,0.637,0.0,0.344,12.7,26.2,19.1,5.2,1.3,3.3,12.0,14.4,,5.4,2.6,8.0,0.185,,1.1,0.1,1.1,1.6
2009,22.0,GSW,NBA,C,62.0,1863.0,19.1,0.585,0.002,0.405,13.0,27.4,20.2,10.0,1.7,3.6,14.9,16.9,,3.3,2.1,5.4,0.139,,0.9,0.4,1.3,1.5
2010,23.0,GSW,NBA,C,33.0,763.0,13.0,0.561,0.0,0.182,9.1,29.0,18.9,10.1,1.3,4.1,17.8,10.1,,0.7,0.9,1.6,0.101,,-1.9,1.7,-0.2,0.4
2011,24.0,GSW,NBA,C,59.0,1397.0,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,,1.1,1.5,2.6,0.088,,-2.5,0.2,-2.3,-0.1
2012,25.0,GSW,NBA,C,47.0,739.0,8.8,0.581,0.0,0.141,6.9,20.0,13.5,3.0,1.6,4.7,17.1,5.1,,0.6,0.7,1.3,0.085,,-3.8,1.5,-2.3,0.0
2013,26.0,GSW,NBA,C,53.0,495.0,7.7,0.449,0.0,0.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,,0.1,1.0,1.1,0.102,,-4.8,3.8,-1.0,0.1
2014,27.0,UTA,NBA,C,6.0,45.0,2.4,0.412,0.0,6.0,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,,-0.1,0.0,0.0,-0.033,,-6.2,-2.0,-8.2,-0.1
