Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1996,,1052,CHH,None,24.0,NBA,PG,42.0,621.0,10.4,0.54,0.44,0.32,1.5,7.0,4.2,27.4,1.4,0.0,22.6,20.3,0.2,0.1,0.3,0.02,-1.8,-2.5,-4.3,-0.3
1997,31.0,1052,TOT,Total After Trade,25.0,NBA,PG,60.0,1188.0,12.1,0.53,0.46,0.24,1.2,7.0,4.1,29.1,1.5,0.1,17.3,17.0,1.4,0.3,1.7,0.07,-0.4,-1.4,-1.8,0.1
1997,,1052,CHH,None,25.0,NBA,PG,33.0,576.0,11.6,0.55,0.53,0.26,0.7,7.1,4.0,25.2,1.8,0.1,19.3,17.4,0.6,0.2,0.8,0.07,-0.4,-0.8,-1.1,0.1
1997,8.0,1052,DEN,Denver Nuggets,25.0,NBA,PG,27.0,612.0,12.6,0.51,0.4,0.22,1.7,6.8,4.3,32.8,1.2,0.1,15.4,16.6,0.8,0.0,0.8,0.07,-0.4,-2.1,-2.5,-0.1
1998,8.0,1052,DEN,Denver Nuggets,26.0,NBA,PG,82.0,2212.0,13.6,0.52,0.26,0.29,2.1,5.9,3.9,22.5,2.1,0.2,10.6,16.5,3.3,-0.4,3.0,0.06,-0.2,-1.6,-1.7,0.1
2001,8.0,1052,DEN,Denver Nuggets,29.0,NBA,PG,20.0,201.0,12.6,0.47,0.42,0.21,0.5,6.0,3.2,28.0,2.3,0.0,14.6,22.7,0.0,0.1,0.1,0.02,-0.9,-1.3,-2.2,0.0
2003,31.0,1052,TOT,Total After Trade,31.0,NBA,PG,15.0,85.0,5.4,0.44,0.36,0.28,0.0,8.1,4.1,7.5,1.9,0.0,17.6,18.7,-0.1,0.1,-0.1,-0.04,-5.1,-0.2,-5.3,-0.1
2003,27.0,1052,SAS,San Antonio Spurs,31.0,NBA,PG,10.0,51.0,2.5,0.32,0.44,0.11,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,-0.1,0.1,-0.1,-0.07,-7.0,1.2,-5.8,0.0
2003,30.0,1052,WAS,Washington Wizards,31.0,NBA,PG,5.0,34.0,9.6,0.71,0.14,0.71,0.0,10.5,5.2,5.0,0.0,0.0,30.3,18.3,0.0,0.0,0.0,0.02,-2.3,-2.4,-4.7,0.0
2004,31.0,1052,TOT,Total After Trade,32.0,NBA,PG,11.0,85.0,8.8,0.38,0.36,0.04,1.4,7.8,4.7,18.9,3.2,0.0,11.8,14.1,0.0,0.1,0.1,0.04,-3.6,2.1,-1.5,0.0
2004,18.0,1052,MIN,Minnesota Timberwolves,32.0,NBA,PG,5.0,66.0,10.7,0.45,0.43,0.07,1.8,8.2,5.2,21.9,2.5,0.0,12.2,11.7,0.1,0.1,0.1,0.1,-1.8,2.6,0.8,0.0
2004,3.0,1052,NJN,New Jersey Nets,32.0,NBA,PG,6.0,19.0,2.4,0.25,0.25,0.0,0.0,6.2,3.1,8.6,5.6,0.0,11.1,22.2,-0.1,0.0,-0.1,-0.16,-9.7,0.3,-9.4,0.0
2005,31.0,1052,TOT,Total After Trade,33.0,NBA,PG,33.0,537.0,15.1,0.57,0.59,0.23,2.2,10.8,6.4,22.7,1.5,0.0,9.1,14.0,1.3,0.2,1.5,0.14,2.1,-0.1,1.9,0.5
2005,9.0,1052,DET,Detroit Pistons,33.0,NBA,PG,9.0,55.0,7.4,0.49,0.6,0.53,2.2,14.8,8.5,0.0,0.0,0.0,5.1,16.7,0.0,0.1,0.1,0.09,-3.4,-1.2,-4.5,0.0
2005,17.0,1052,MIL,Milwaukee Bucks,33.0,NBA,PG,24.0,482.0,15.9,0.59,0.59,0.19,2.2,10.3,6.2,25.3,1.6,0.0,9.6,13.7,1.3,0.2,1.4,0.14,2.7,0.0,2.7,0.6
2006,13.0,1052,LAC,Los Angeles Clippers,34.0,NBA,PG,3.0,22.0,-5.5,0.14,0.29,0.0,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,-0.1,0.0,-0.1,-0.24,-9.0,-4.0,-13.0,-0.1
