Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975,25.0,3016,POR,Portland Trail Blazers,22.0,NBA,C,35,,32.9,5.1,9.9,0.513,,,,5.1,9.9,0.513,0.513,2.7,3.9,0.686,2.6,10.0,12.6,4.8,0.8,2.7,,3.3,12.8
1976,25.0,3016,POR,Portland Trail Blazers,23.0,NBA,C,51,,33.1,6.8,14.4,0.471,,,,6.8,14.4,0.471,0.471,2.6,4.5,0.583,2.6,10.8,13.4,4.3,1.0,1.6,,2.8,16.1
1977,25.0,3016,POR,Portland Trail Blazers,24.0,NBA,C,65,,34.8,7.6,14.3,0.528,,,,7.6,14.3,0.528,0.528,3.5,5.0,0.697,3.2,11.1,14.4,3.8,1.0,3.2,,2.7,18.6
1978,25.0,3016,POR,Portland Trail Blazers,25.0,NBA,C,58,,33.3,7.9,15.2,0.522,,,,7.9,15.2,0.522,0.522,3.1,4.2,0.72,2.0,11.2,13.2,5.0,1.0,2.5,3.6,2.5,18.9
1980,13.0,3016,SDC,San Diego Clippers,27.0,NBA,C,14,,24.1,5.8,11.5,0.503,0.0,0.0,,5.8,11.5,0.503,0.503,2.3,3.9,0.593,2.0,7.0,9.0,2.4,0.6,2.7,2.6,2.6,13.9
1983,13.0,3016,SDC,San Diego Clippers,30.0,NBA,C,33,32.0,33.3,6.1,11.5,0.528,0.0,0.0,,6.1,11.5,0.528,0.528,2.0,3.5,0.556,2.3,7.5,9.8,3.6,1.0,3.6,3.2,3.4,14.1
1984,13.0,3016,SDC,San Diego Clippers,31.0,NBA,C,55,46.0,26.8,5.2,9.4,0.556,0.0,0.0,0.0,5.2,9.4,0.558,0.556,1.7,2.8,0.597,2.4,6.3,8.7,3.3,0.8,1.6,3.2,2.8,12.1
1985,13.0,3016,LAC,Los Angeles Clippers,32.0,NBA,C,67,37.0,24.6,4.0,7.7,0.521,0.0,0.0,0.0,4.0,7.7,0.523,0.521,2.1,3.0,0.68,2.5,6.4,9.0,2.3,0.7,2.1,2.6,2.7,10.1
1986,2.0,3016,BOS,Boston Celtics,33.0,NBA,C,80,2.0,19.3,2.9,5.1,0.562,0.0,0.0,,2.9,5.1,0.562,0.562,1.8,2.5,0.713,1.7,5.1,6.8,2.1,0.5,1.3,1.9,2.6,7.6
1987,2.0,3016,BOS,Boston Celtics,34.0,NBA,C,10,0.0,11.2,1.0,2.6,0.385,0.0,0.0,,1.0,2.6,0.385,0.385,0.8,1.5,0.533,1.1,2.0,3.1,0.9,0.1,1.0,1.5,2.3,2.8
