Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,30.0,2633,WAS,Washington Wizards,Bobby Simmons,"June 2, 1980",21.0,NBA,SF,30,3,11.4,1.4,3.2,0.453,0.1,0.5,0.286,1.3,2.7,0.481,0.474,0.7,1.0,0.733,0.8,0.9,1.7,0.6,0.4,0.2,0.5,1.0,3.7
2003,30.0,2633,WAS,Washington Wizards,Bobby Simmons,"June 2, 1980",22.0,NBA,SG,36,2,10.5,1.2,3.1,0.393,0.0,0.1,0.0,1.2,3.0,0.411,0.393,0.9,1.0,0.914,0.9,1.2,2.1,0.6,0.3,0.1,0.2,1.4,3.3
2004,13.0,2633,LAC,Los Angeles Clippers,Bobby Simmons,"June 2, 1980",23.0,NBA,SF,56,8,24.6,2.6,6.7,0.394,0.0,0.2,0.167,2.6,6.4,0.402,0.397,2.5,3.0,0.834,2.1,2.6,4.7,1.7,0.9,0.3,1.3,3.0,7.8
2005,13.0,2633,LAC,Los Angeles Clippers,Bobby Simmons,"June 2, 1980",24.0,NBA,SF,75,74,37.3,6.3,13.6,0.466,0.7,1.5,0.435,5.7,12.0,0.47,0.491,3.1,3.6,0.846,1.7,4.2,5.9,2.7,1.4,0.2,1.8,3.0,16.4
2006,17.0,2633,MIL,Milwaukee Bucks,Bobby Simmons,"June 2, 1980",25.0,NBA,SF,75,74,33.8,4.9,10.8,0.453,1.4,3.3,0.42,3.5,7.4,0.468,0.518,2.2,2.7,0.825,1.2,3.2,4.4,2.3,1.1,0.3,1.6,3.4,13.4
2008,17.0,2633,MIL,Milwaukee Bucks,Bobby Simmons,"June 2, 1980",27.0,NBA,SF,70,21,21.7,3.0,7.1,0.421,0.9,2.4,0.351,2.1,4.6,0.458,0.482,0.8,1.0,0.757,1.0,2.3,3.2,1.1,0.7,0.1,1.1,2.0,7.6
2009,3.0,2633,NJN,New Jersey Nets,Bobby Simmons,"June 2, 1980",28.0,NBA,SF,71,44,24.4,2.8,6.2,0.449,1.6,3.7,0.447,1.1,2.5,0.453,0.582,0.6,0.8,0.741,1.0,2.9,3.9,1.3,0.7,0.1,0.9,2.6,7.8
2010,3.0,2633,NJN,New Jersey Nets,Bobby Simmons,"June 2, 1980",29.0,NBA,PF,23,2,17.2,1.8,5.1,0.359,0.9,2.7,0.317,1.0,2.3,0.407,0.444,0.8,0.9,0.9,0.5,2.3,2.7,0.7,0.7,0.1,0.8,2.3,5.3
2011,27.0,2633,SAS,San Antonio Spurs,Bobby Simmons,"June 2, 1980",30.0,NBA,SF,2,0,8.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2012,13.0,2633,LAC,Los Angeles Clippers,Bobby Simmons,"June 2, 1980",31.0,NBA,SF,28,0,14.9,1.0,3.2,0.311,0.7,2.1,0.333,0.3,1.1,0.267,0.422,0.1,0.3,0.571,0.6,1.4,2.0,0.4,0.5,0.1,0.4,1.5,2.9
