Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2008,22.0,NOH,NBA,PG,12.0,486.0,30.7,0.565,0.095,0.357,3.7,9.8,6.8,50.1,3.2,0.4,7.9,27.8,,2.4,0.5,2.9,0.289,,8.2,3.1,11.3,1.6
2009,23.0,NOH,NBA,PG,5.0,201.0,16.1,0.505,0.219,0.288,2.3,11.4,6.7,60.2,2.1,0.0,22.6,25.1,,0.0,-0.1,-0.1,-0.035,,2.8,-1.3,1.5,0.2
2011,25.0,NOH,NBA,PG,6.0,250.0,28.9,0.67,0.247,0.636,1.6,18.6,10.3,53.5,2.5,0.0,18.2,24.1,,1.1,0.1,1.3,0.242,,8.0,2.5,10.5,0.8
2012,26.0,LAC,NBA,PG,11.0,423.0,20.0,0.525,0.238,0.287,1.8,14.5,8.1,37.7,3.8,0.2,18.9,26.0,,0.5,0.4,0.9,0.103,,2.6,1.1,3.7,0.6
2013,27.0,LAC,NBA,PG,6.0,224.0,29.2,0.633,0.207,0.402,1.8,11.6,6.9,33.0,2.7,0.0,7.7,25.4,,1.2,0.0,1.2,0.267,,8.3,1.4,9.7,0.7
2014,28.0,LAC,NBA,PG,13.0,472.0,23.6,0.583,0.355,0.269,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,,1.5,0.5,1.9,0.195,,6.4,2.4,8.8,1.3
2015,29.0,LAC,NBA,PG,12.0,445.0,25.7,0.627,0.344,0.27,1.7,10.7,6.3,39.1,2.4,0.6,11.0,23.2,,2.0,0.3,2.3,0.248,,7.2,1.5,8.7,1.2
2016,30.0,LAC,NBA,PG,4.0,125.0,33.2,0.575,0.263,0.197,3.2,9.4,6.3,48.5,3.7,0.0,4.6,30.9,,0.7,0.2,0.8,0.322,,9.1,4.9,14.0,0.5
2017,31.0,LAC,NBA,PG,7.0,260.0,27.8,0.592,0.281,0.244,1.9,15.6,8.6,52.9,2.5,0.4,11.3,31.2,,1.0,0.4,1.3,0.246,,8.0,2.3,10.4,0.8
2018,32.0,HOU,NBA,PG,15.0,517.0,22.8,0.565,0.385,0.206,1.9,17.4,9.5,30.8,2.9,0.7,9.1,26.7,,1.4,0.7,2.1,0.193,,4.2,2.5,6.6,1.1
2019,33.0,HOU,NBA,PG,11.0,397.0,17.6,0.557,0.426,0.304,4.1,15.4,9.9,25.1,3.0,1.6,18.1,22.7,,0.5,0.6,1.1,0.132,,0.7,1.7,2.5,0.4
2020,34.0,OKC,NBA,PG,7.0,261.0,19.3,0.604,0.384,0.232,1.2,18.9,10.4,26.1,2.0,1.4,15.7,24.2,,0.4,0.4,0.8,0.141,,1.9,2.2,4.2,0.4
