Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2011,21,33,OKC,Oklahoma City Thunder,Cole Aldrich,"October 31, 1988",22.0,NBA,C,18.0,0.0,142.0,2.9,5.5,0.53,0.0,0.0,,2.9,5.5,0.53,0.7,1.5,0.5,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,,98.0,104.0
2012,21,33,OKC,Oklahoma City Thunder,Cole Aldrich,"October 31, 1988",23.0,NBA,C,26.0,0.0,173.0,6.6,12.5,0.52,0.0,0.0,,6.6,12.5,0.52,3.9,4.2,0.93,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17.0,,113.0,96.0
2013,31,33,TOT,Total After Trade,Cole Aldrich,"October 31, 1988",24.0,NBA,C,45.0,0.0,388.0,5.7,10.4,0.55,0.0,0.0,,5.7,10.4,0.55,1.6,2.6,0.6,3.9,11.7,15.6,1.2,0.7,3.0,3.0,7.8,13.0,,102.0,105.0
2013,11,33,HOU,Houston Rockets,Cole Aldrich,"October 31, 1988",24.0,NBA,C,30.0,0.0,213.0,5.4,10.1,0.54,0.0,0.0,,5.4,10.1,0.54,0.9,2.1,0.44,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,,92.0,105.0
2013,26,33,SAC,Sacramento Kings,Cole Aldrich,"October 31, 1988",24.0,NBA,C,15.0,0.0,175.0,6.2,10.8,0.57,0.0,0.0,,6.2,10.8,0.57,2.3,3.2,0.73,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,,112.0,106.0
2014,20,33,NYK,New York Knicks,Cole Aldrich,"October 31, 1988",25.0,NBA,C,46.0,2.0,330.0,5.3,9.8,0.54,0.0,0.0,,5.3,9.8,0.54,4.2,4.8,0.87,6.0,14.8,20.8,2.3,1.3,4.8,2.9,6.4,14.8,,120.0,100.0
2015,20,33,NYK,New York Knicks,Cole Aldrich,"October 31, 1988",26.0,NBA,C,61.0,16.0,976.0,7.8,16.2,0.48,0.0,0.0,,7.8,16.2,0.48,2.7,3.5,0.78,5.4,12.8,18.2,4.0,2.0,3.5,3.2,6.6,18.2,,104.0,102.0
2016,13,33,LAC,Los Angeles Clippers,Cole Aldrich,"October 31, 1988",27.0,NBA,C,60.0,5.0,800.0,8.4,14.1,0.6,0.0,0.0,,8.4,14.1,0.6,3.8,5.3,0.71,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,,113.0,94.0
2017,18,33,MIN,Minnesota Timberwolves,Cole Aldrich,"October 31, 1988",28.0,NBA,C,62.0,0.0,531.0,4.3,8.2,0.52,0.0,0.0,,4.3,8.2,0.52,1.4,2.1,0.68,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10.0,,118.0,107.0
2018,18,33,MIN,Minnesota Timberwolves,Cole Aldrich,"October 31, 1988",29.0,NBA,C,21.0,0.0,49.0,5.1,15.3,0.33,0.0,0.0,,5.1,15.3,0.33,2.0,6.1,0.33,3.1,12.2,15.3,3.1,2.0,1.0,1.0,11.2,12.2,,85.0,107.0
