Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",24.0,NBA,C,49.0,760.0,11.2,0.5,0.01,0.39,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,0.4,0.7,1.2,0.08,-3.6,0.1,-3.5,-0.3
2004,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",25.0,NBA,C,75.0,1260.0,17.0,0.53,0.0,0.34,11.4,19.8,15.6,3.7,2.1,6.1,10.1,16.0,1.7,2.0,3.7,0.14,-1.0,1.6,0.7,0.8
2005,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",26.0,NBA,C,81.0,1783.0,18.1,0.55,0.0,0.44,17.0,27.4,22.2,2.7,1.4,4.4,13.1,15.8,2.8,2.4,5.2,0.14,0.3,-0.2,0.1,1.0
2006,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",27.0,NBA,C,74.0,885.0,17.2,0.55,0.0,0.29,12.0,19.3,15.6,4.9,1.5,3.9,9.1,19.8,1.3,1.1,2.5,0.13,-1.6,-0.1,-1.7,0.0
2007,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",28.0,NBA,C,54.0,840.0,11.9,0.48,0.0,0.4,13.0,21.6,17.2,5.3,1.4,2.9,15.5,17.0,0.1,0.7,0.8,0.04,-3.9,-1.5,-5.4,-0.7
2008,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",29.0,NBA,C,51.0,534.0,10.7,0.44,0.01,0.41,14.2,17.7,15.9,3.2,2.0,3.5,15.8,18.2,-0.4,0.4,0.1,0.01,-4.8,-1.3,-6.1,-0.6
2009,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",30.0,NBA,C,67.0,941.0,12.2,0.5,0.01,0.28,11.4,21.0,16.0,6.5,1.8,3.8,13.0,15.0,0.4,1.4,1.8,0.09,-3.2,0.7,-2.5,-0.1
2010,17,975,MIL,Milwaukee Bucks,Dan Gadzuric,"February 2, 1978",31.0,NBA,C,32.0,314.0,10.5,0.44,0.0,0.28,13.1,20.5,16.6,6.0,1.5,3.3,13.0,16.6,-0.1,0.6,0.5,0.08,-5.2,0.7,-4.5,-0.2
2011,31,975,TOT,Total After Trade,Dan Gadzuric,"February 2, 1978",32.0,NBA,"C,PF",42.0,463.0,9.9,0.42,0.01,0.21,17.2,16.4,16.8,4.5,1.4,4.8,17.1,16.5,-0.3,0.4,0.1,0.01,-5.7,-1.3,-7.0,-0.6
2011,10,975,GSW,Golden State Warriors,Dan Gadzuric,"February 2, 1978",32.0,NBA,C,28.0,297.0,10.2,0.42,0.01,0.16,19.8,12.9,16.4,5.3,1.7,4.6,18.2,17.1,-0.2,0.2,0.1,0.01,-5.4,-1.3,-6.8,-0.4
2011,3,975,NJN,New Jersey Nets,Dan Gadzuric,"February 2, 1978",32.0,NBA,PF,14.0,166.0,9.1,0.42,0.0,0.32,12.5,22.7,17.4,2.9,1.0,5.1,14.6,15.3,-0.2,0.2,0.1,0.02,-6.2,-1.2,-7.3,-0.2
2012,20,975,NYK,New York Knicks,Dan Gadzuric,"February 2, 1978",33.0,NBA,C,2.0,13.0,-4.3,0.0,0.0,1.0,8.8,35.9,22.2,0.0,4.0,6.1,25.8,13.4,-0.1,0.0,0.0,-0.17,-15.9,0.3,-15.7,0.0
