Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",23.0,NBA,C,8.0,,20.4,2.6,5.4,0.49,0.0,0.0,,2.6,5.4,0.49,0.49,1.9,1.9,1.0,1.4,3.6,5.0,1.8,0.3,0.6,2.1,3.1,7.1
1984,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",24.0,NBA,C,5.0,,16.2,2.2,3.6,0.61,0.0,0.0,,2.2,3.6,0.61,0.61,1.2,1.6,0.75,0.6,4.2,4.8,0.8,0.8,0.6,1.4,4.0,5.6
1985,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",25.0,NBA,C,9.0,0.0,13.1,1.2,2.9,0.42,0.0,0.0,,1.2,2.9,0.42,0.42,1.6,2.2,0.7,0.9,2.4,3.3,1.3,0.3,0.4,0.6,2.4,4.0
1986,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",26.0,NBA,C,10.0,6.0,29.5,4.6,8.6,0.54,0.0,0.0,,4.6,8.6,0.54,0.54,2.4,3.0,0.8,3.4,4.8,8.2,0.9,0.4,1.7,2.1,3.7,11.6
1987,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",27.0,NBA,C,3.0,0.0,25.0,4.0,5.7,0.71,0.0,0.0,,4.0,5.7,0.71,0.71,2.0,3.0,0.67,2.0,3.7,5.7,0.7,0.3,0.7,1.0,3.3,10.0
1988,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",28.0,NBA,PF,11.0,11.0,28.5,5.0,8.0,0.62,0.0,0.0,,5.0,8.0,0.62,0.62,6.4,7.5,0.84,2.7,4.5,7.2,1.6,0.3,0.9,2.2,4.2,16.4
1989,8,2568,DEN,Denver Nuggets,Danny Schayes,"May 10, 1959",29.0,NBA,C,2.0,0.0,18.0,0.5,3.5,0.14,0.0,0.0,,0.5,3.5,0.14,0.14,3.0,4.0,0.75,1.0,4.5,5.5,0.5,0.5,0.5,0.5,2.0,4.0
1991,17,2568,MIL,Milwaukee Bucks,Danny Schayes,"May 10, 1959",31.0,NBA,C,3.0,3.0,23.7,3.0,7.7,0.39,0.0,0.3,0.0,3.0,7.3,0.41,0.39,3.3,3.7,0.91,1.3,2.7,4.0,1.0,1.0,0.3,2.0,2.7,9.3
1995,24,2568,PHO,Phoenix Suns,Danny Schayes,"May 10, 1959",35.0,NBA,C,10.0,0.0,14.6,1.1,2.9,0.38,0.0,0.1,0.0,1.1,2.8,0.39,0.38,0.7,0.8,0.88,0.4,1.6,2.0,0.8,0.3,0.3,0.8,3.8,2.9
1996,16,2568,MIA,Miami Heat,Danny Schayes,"May 10, 1959",36.0,NBA,C,2.0,0.0,8.5,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,3.5
1997,22,2568,ORL,Orlando Magic,Danny Schayes,"May 10, 1959",37.0,NBA,PF,5.0,2.0,18.4,1.8,4.6,0.39,0.0,0.0,,1.8,4.6,0.39,0.39,0.8,0.8,1.0,0.8,1.6,2.4,1.0,0.4,0.2,0.8,3.2,4.4
1999,22,2568,ORL,Orlando Magic,Danny Schayes,"May 10, 1959",39.0,NBA,C,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
