Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1990,24.0,SAS,NBA,C,10,10,375,89,167,0.533,0,0,,89,167,0.533,0.533,65,96,0.677,36,84,120,23,11,40,24,35,243,,0
1991,25.0,SAS,NBA,C,4,4,166,35,51,0.686,0,1,0.0,35,50,0.7,0.686,33,38,0.868,11,43,54,8,6,15,15,11,103,,0
1993,27.0,SAS,NBA,C,10,10,421,79,170,0.465,0,1,0.0,79,169,0.467,0.465,73,110,0.664,29,97,126,40,10,36,25,39,231,,1
1994,28.0,SAS,NBA,C,4,4,146,30,73,0.411,0,1,0.0,30,72,0.417,0.411,20,27,0.741,13,27,40,14,3,10,9,14,80,,0
1995,29.0,SAS,NBA,C,15,15,623,129,289,0.446,1,5,0.2,128,284,0.451,0.448,121,149,0.812,57,125,182,47,22,39,56,63,380,,0
1996,30.0,SAS,NBA,C,10,10,353,83,161,0.516,0,0,,83,161,0.516,0.516,70,105,0.667,37,64,101,24,15,25,24,38,236,,0
1998,32.0,SAS,NBA,C,9,9,353,57,134,0.425,0,0,,57,134,0.425,0.425,61,96,0.635,41,86,127,23,11,30,25,28,175,,0
1999,33.0,SAS,NBA,C,17,17,600,87,180,0.483,0,0,,87,180,0.483,0.483,91,126,0.722,36,132,168,43,28,40,40,61,265,,0
2001,35.0,SAS,NBA,C,13,13,409,75,159,0.472,0,1,0.0,75,158,0.475,0.472,66,95,0.695,39,114,153,22,17,31,28,42,216,,0
2002,36.0,SAS,NBA,C,4,4,81,9,19,0.474,0,0,,9,19,0.474,0.474,0,4,0.0,6,17,23,5,3,3,2,14,18,,0
2003,37.0,SAS,NBA,C,23,23,539,64,118,0.542,0,0,,64,118,0.542,0.542,52,78,0.667,45,107,152,21,18,31,24,63,180,,0
