Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,26,618,SAC,Sacramento Kings,20.0,NBA,C,81.0,62.0,28.5,5.3,12.4,0.43,0.0,0.2,0.17,5.3,12.2,0.44,0.43,3.4,5.0,0.69,2.7,6.0,8.6,2.5,1.0,0.8,3.3,4.1,14.1
2012,26,618,SAC,Sacramento Kings,21.0,NBA,C,64.0,62.0,30.5,7.0,15.6,0.45,0.0,0.2,0.14,7.0,15.4,0.45,0.45,4.1,5.8,0.7,4.1,6.8,11.0,1.6,1.5,1.2,2.7,4.0,18.1
2013,26,618,SAC,Sacramento Kings,22.0,NBA,C,75.0,74.0,30.5,6.4,13.8,0.46,0.1,0.3,0.18,6.4,13.5,0.47,0.47,4.2,5.6,0.74,3.0,7.0,9.9,2.7,1.4,0.7,3.0,3.6,17.1
2014,26,618,SAC,Sacramento Kings,23.0,NBA,C,71.0,71.0,32.4,8.3,16.8,0.5,0.0,0.1,0.0,8.3,16.7,0.5,0.5,6.1,8.4,0.73,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7
2015,26,618,SAC,Sacramento Kings,24.0,NBA,C,59.0,59.0,34.1,8.4,18.1,0.47,0.0,0.1,0.25,8.4,17.9,0.47,0.47,7.2,9.2,0.78,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1
2016,26,618,SAC,Sacramento Kings,25.0,NBA,C,65.0,65.0,34.6,9.2,20.5,0.45,1.1,3.2,0.33,8.2,17.3,0.47,0.48,7.3,10.2,0.72,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
2017,31,618,TOT,Total After Trade,26.0,NBA,C,72.0,72.0,34.2,9.0,19.9,0.45,1.8,5.0,0.36,7.2,14.8,0.48,0.5,7.2,9.3,0.77,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0
2017,26,618,SAC,Sacramento Kings,26.0,NBA,C,55.0,55.0,34.4,9.2,20.3,0.45,1.7,4.9,0.36,7.5,15.5,0.48,0.49,7.7,10.0,0.77,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8
2017,19,618,NOP,New Orleans Pelicans,26.0,NBA,C,17.0,17.0,33.8,8.4,18.5,0.45,2.1,5.6,0.38,6.2,12.8,0.49,0.51,5.5,7.1,0.78,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4
2018,19,618,NOP,New Orleans Pelicans,27.0,NBA,C,48.0,48.0,36.2,8.5,18.0,0.47,2.2,6.1,0.35,6.3,11.9,0.53,0.53,6.1,8.2,0.75,2.2,10.7,12.9,5.4,1.6,1.6,5.0,3.8,25.2
2019,10,618,GSW,Golden State Warriors,28.0,NBA,C,30.0,30.0,25.7,5.9,12.4,0.48,0.9,3.2,0.27,5.1,9.2,0.55,0.52,3.5,4.8,0.74,1.4,6.8,8.2,3.6,1.3,1.5,2.4,3.6,16.3
2021,11,618,HOU,Houston Rockets,30.0,NBA,C,11.0,2.0,15.9,1.9,7.3,0.26,0.8,3.5,0.24,1.1,3.8,0.29,0.32,1.5,2.0,0.73,1.1,5.6,6.7,2.5,0.5,1.0,1.7,2.3,6.1
