Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,26.0,1484,KCK,Kansas City Kings,22.0,NBA,SF,74,27,20.5,4.0,8.7,.459,0.0,0.1,.091,4.0,8.5,.465,.460,1.3,2.0,.664,1.7,2.6,4.4,1.5,0.7,0.2,1.3,2.8,9.3
1983,26.0,1484,KCK,Kansas City Kings,23.0,NBA,SF,82,82,35.8,8.3,16.7,.494,0.2,0.9,.282,8.0,15.8,.506,.501,3.0,3.9,.779,2.3,3.8,6.1,2.6,0.9,0.2,2.2,3.2,19.8
1984,26.0,1484,KCK,Kansas City Kings,24.0,NBA,SF,82,82,35.6,9.2,18.9,.485,0.2,0.8,.313,8.9,18.1,.493,.492,3.3,4.0,.810,2.0,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9
1985,26.0,1484,KCK,Kansas City Kings,25.0,NBA,SF,82,81,36.9,9.4,19.1,.491,0.2,0.7,.241,9.2,18.4,.500,.496,4.0,4.5,.871,1.8,3.1,5.0,3.3,1.0,0.3,2.7,2.9,22.9
1986,26.0,1484,SAC,Sacramento Kings,26.0,NBA,SF,82,30,30.7,7.6,16.0,.475,0.0,0.2,.200,7.5,15.7,.479,.477,3.4,4.2,.816,2.1,3.0,5.1,2.6,0.7,0.2,2.3,2.9,18.7
1987,26.0,1484,SAC,Sacramento Kings,27.0,NBA,SF,81,30,30.3,7.5,16.2,.463,0.5,1.5,.314,7.0,14.7,.478,.477,3.3,4.0,.829,1.8,2.6,4.4,3.1,0.5,0.2,2.0,2.7,18.7
1988,24.0,1484,PHO,Phoenix Suns,28.0,NBA,SF,73,59,29.8,7.3,15.2,.480,0.3,1.3,.255,7.0,13.9,.501,.491,2.8,3.3,.850,1.7,2.7,4.4,2.5,0.5,0.1,1.9,2.6,17.7
1989,24.0,1484,PHO,Phoenix Suns,29.0,NBA,SF,70,7,29.2,8.7,17.5,.497,1.0,2.5,.413,7.7,15.0,.510,.526,3.1,3.6,.868,1.3,3.1,4.4,2.3,0.7,0.1,1.7,2.8,21.5
1990,24.0,1484,PHO,Phoenix Suns,30.0,NBA,SF,64,4,28.3,6.4,14.2,.453,1.1,2.9,.380,5.3,11.3,.472,.492,2.9,3.2,.917,1.1,2.8,3.8,1.7,0.5,0.2,1.7,2.7,16.9
1991,31.0,1484,TOT,Total After Trade,31.0,NBA,SG,81,27,25.7,6.7,13.9,.484,0.5,1.5,.325,6.2,12.4,.503,.501,2.8,3.2,.891,1.3,2.0,3.3,1.4,0.7,0.1,1.5,2.2,16.7
1991,24.0,1484,PHO,Phoenix Suns,31.0,NBA,SG,15,0,20.8,5.9,12.4,.473,0.4,1.4,.286,5.5,11.0,.497,.489,1.4,1.9,.724,1.1,2.0,3.1,1.1,0.6,0.1,1.6,2.5,13.5
1991,21.0,1484,SEA,Seattle Supersonics,31.0,NBA,SG,66,27,26.9,6.9,14.2,.486,0.5,1.5,.333,6.4,12.7,.504,.504,3.2,3.5,.912,1.4,2.0,3.4,1.4,0.7,0.1,1.5,2.2,17.4
1992,21.0,1484,SEA,Seattle Supersonics,32.0,NBA,SF,81,19,29.2,6.6,14.4,.459,0.3,1.3,.252,6.3,13.0,.480,.470,3.6,4.2,.861,1.5,2.1,3.6,2.0,0.7,0.1,1.6,2.5,17.1
1993,21.0,1484,SEA,Seattle Supersonics,33.0,NBA,SF,82,0,22.8,5.6,12.1,.467,0.2,0.7,.304,5.4,11.4,.477,.476,2.9,3.1,.911,1.5,1.8,3.3,1.6,0.4,0.0,1.6,2.1,14.4
1994,,1484,CHH,None,34.0,NBA,SF,73,27,20.0,4.6,10.1,.459,0.8,2.1,.393,3.8,8.1,.476,.499,1.4,1.7,.780,1.1,2.0,3.1,1.7,0.5,0.1,1.2,2.0,11.5
1996,12.0,1484,IND,Indiana Pacers,36.0,NBA,SF,62,1,16.2,2.9,7.0,.413,0.7,2.1,.352,2.2,5.0,.438,.464,1.1,1.3,.886,0.7,1.7,2.5,1.1,0.3,0.1,0.9,1.7,7.7
1997,31.0,1484,TOT,Total After Trade,37.0,NBA,SF,52,2,17.6,3.1,7.0,.442,0.9,2.5,.374,2.1,4.4,.481,.510,1.1,1.3,.809,0.5,2.1,2.7,1.0,0.3,0.0,0.9,1.6,8.2
1997,12.0,1484,IND,Indiana Pacers,37.0,NBA,SF,28,0,10.9,2.1,4.9,.434,0.3,1.0,.321,1.8,3.9,.463,.467,0.7,1.0,.741,0.1,1.3,1.4,0.6,0.2,0.0,0.6,1.2,5.3
1997,11.0,1484,HOU,Houston Rockets,37.0,NBA,SF,24,2,25.3,4.2,9.4,.447,1.7,4.3,.388,2.5,5.1,.496,.535,1.5,1.7,.854,1.0,3.1,4.1,1.5,0.4,0.0,1.3,2.0,11.5
1998,11.0,1484,HOU,Houston Rockets,38.0,NBA,SF,75,1,19.9,3.0,7.3,.417,0.9,2.6,.333,2.1,4.6,.465,.478,1.5,1.8,.831,0.7,1.4,2.0,1.2,0.4,0.0,0.8,1.2,8.4
1999,11.0,1484,HOU,Houston Rockets,39.0,NBA,SF,3,0,6.0,2.0,4.3,.462,0.0,0.3,.000,2.0,4.0,.500,.462,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.7,1.0,4.0
