Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,2,1251,BOS,Boston Celtics,Gerald Henderson,"January 16, 1956",24.0,NBA,PG,76.0,1061.0,12.7,0.54,0.02,0.34,3.9,4.8,4.4,19.0,2.0,0.8,19.9,20.5,0.5,1.2,1.7,0.08,-0.5,0.1,-0.4,0.4
1981,2,1251,BOS,Boston Celtics,Gerald Henderson,"January 16, 1956",25.0,NBA,PG,82.0,1608.0,10.4,0.49,0.03,0.27,3.2,6.1,4.7,17.8,2.3,0.4,19.8,20.5,-0.6,1.8,1.3,0.04,-2.8,0.2,-2.6,-0.2
1982,2,1251,BOS,Boston Celtics,Gerald Henderson,"January 16, 1956",26.0,NBA,PG,82.0,1844.0,13.2,0.53,0.02,0.24,2.9,6.1,4.5,18.6,2.1,0.3,16.1,20.2,1.4,2.2,3.6,0.09,-1.1,0.5,-0.6,0.6
1983,2,1251,BOS,Boston Celtics,Gerald Henderson,"January 16, 1956",27.0,NBA,PG,82.0,1551.0,12.1,0.5,0.03,0.22,4.0,4.6,4.3,16.7,2.8,0.1,15.9,20.3,0.5,1.8,2.3,0.07,-2.1,0.6,-1.5,0.2
1984,2,1251,BOS,Boston Celtics,Gerald Henderson,"January 16, 1956",28.0,NBA,PG,78.0,2088.0,14.7,0.57,0.08,0.25,3.8,4.1,4.0,19.8,2.7,0.4,16.8,18.8,2.7,2.6,5.3,0.12,0.2,0.9,1.1,1.6
1985,21,1251,SEA,Seattle Supersonics,Gerald Henderson,"January 16, 1956",29.0,NBA,PG,79.0,2648.0,14.3,0.53,0.04,0.29,3.1,5.2,4.2,31.5,2.6,0.2,18.7,19.5,1.4,2.3,3.7,0.07,-0.2,-0.1,-0.3,1.1
1986,21,1251,SEA,Seattle Supersonics,Gerald Henderson,"January 16, 1956",30.0,NBA,PG,82.0,2568.0,15.7,0.54,0.06,0.25,4.0,4.6,4.3,28.4,2.6,0.3,15.6,19.3,3.6,2.6,6.2,0.12,1.0,0.3,1.3,2.1
1987,31,1251,TOT,Total After Trade,Gerald Henderson,"January 16, 1956",31.0,NBA,PG,74.0,2045.0,14.5,0.52,0.11,0.34,2.7,6.9,4.8,32.9,2.4,0.3,18.2,19.2,1.7,1.2,2.9,0.07,0.3,-0.5,-0.2,0.9
1987,21,1251,SEA,Seattle Supersonics,Gerald Henderson,"January 16, 1956",31.0,NBA,PG,6.0,155.0,14.0,0.58,0.06,0.36,4.2,2.1,3.2,27.8,1.8,0.0,20.6,18.5,0.3,0.0,0.3,0.09,0.2,-1.2,-0.9,0.0
1987,20,1251,NYK,New York Knicks,Gerald Henderson,"January 16, 1956",31.0,NBA,PG,68.0,1890.0,14.6,0.51,0.12,0.34,2.6,7.3,4.9,33.3,2.4,0.3,18.0,19.3,1.5,1.1,2.6,0.07,0.3,-0.4,-0.1,0.9
1988,31,1251,TOT,Total After Trade,Gerald Henderson,"January 16, 1956",32.0,NBA,PG,75.0,1505.0,12.1,0.56,0.36,0.38,2.1,6.2,4.1,22.5,2.3,0.2,20.1,18.5,1.3,0.9,2.2,0.07,-0.8,-0.6,-1.4,0.2
1988,20,1251,NYK,New York Knicks,Gerald Henderson,"January 16, 1956",32.0,NBA,PG,6.0,69.0,4.4,0.47,0.29,0.14,1.6,15.4,8.3,24.3,1.4,0.0,35.0,13.5,-0.1,0.1,0.0,-0.01,-5.1,1.0,-4.1,0.0
1988,23,1251,PHI,Philadelphia 76Ers,Gerald Henderson,"January 16, 1956",32.0,NBA,PG,69.0,1436.0,12.5,0.57,0.36,0.38,2.1,5.8,3.9,22.5,2.3,0.2,19.6,18.8,1.4,0.8,2.2,0.08,-0.6,-0.7,-1.3,0.3
1989,23,1251,PHI,Philadelphia 76Ers,Gerald Henderson,"January 16, 1956",33.0,NBA,PG,65.0,986.0,12.1,0.53,0.31,0.36,1.9,5.8,3.9,19.2,2.1,0.2,15.3,20.1,0.8,0.3,1.1,0.06,-1.4,-0.9,-2.3,-0.1
1990,31,1251,TOT,Total After Trade,Gerald Henderson,"January 16, 1956",34.0,NBA,PG,57.0,464.0,11.9,0.58,0.35,0.14,2.7,7.9,5.3,22.0,1.7,0.3,17.2,12.9,0.7,0.5,1.2,0.13,-0.3,1.6,1.3,0.4
1990,17,1251,MIL,Milwaukee Bucks,Gerald Henderson,"January 16, 1956",34.0,NBA,PG,11.0,129.0,7.4,0.5,0.27,0.08,2.6,8.1,5.3,13.1,3.0,0.0,22.9,11.3,0.0,0.1,0.1,0.03,-3.5,1.3,-2.2,0.0
1990,9,1251,DET,Detroit Pistons,Gerald Henderson,"January 16, 1956",34.0,NBA,PG,46.0,335.0,13.6,0.61,0.37,0.16,2.7,7.8,5.3,25.4,1.2,0.4,15.3,13.5,0.7,0.4,1.1,0.16,0.9,1.7,2.6,0.4
1991,9,1251,DET,Detroit Pistons,Gerald Henderson,"January 16, 1956",35.0,NBA,PG,23.0,392.0,10.1,0.49,0.18,0.18,2.3,8.5,5.4,23.3,1.6,0.3,18.2,17.3,0.0,0.5,0.5,0.06,-2.3,0.7,-1.6,0.0
1992,31,1251,TOT,Total After Trade,Gerald Henderson,"January 16, 1956",36.0,NBA,PG,16.0,96.0,8.0,0.49,0.25,0.34,1.2,8.1,4.7,15.1,1.6,0.0,17.8,20.4,0.0,0.1,0.0,0.02,-4.8,-0.5,-5.3,-0.1
1992,11,1251,HOU,Houston Rockets,Gerald Henderson,"January 16, 1956",36.0,NBA,PG,8.0,34.0,4.3,0.44,0.27,0.55,3.4,3.2,3.3,20.8,0.0,0.0,22.7,22.5,-0.1,0.0,-0.1,-0.09,-6.4,-4.7,-11.1,-0.1
1992,9,1251,DET,Detroit Pistons,Gerald Henderson,"January 16, 1956",36.0,NBA,PG,8.0,62.0,10.1,0.52,0.24,0.24,0.0,10.8,5.5,11.9,2.5,0.0,14.7,19.3,0.0,0.1,0.1,0.08,-3.9,1.8,-2.1,0.0
