Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1984,22.0,BOS,NBA,C,35.0,1.0,197.0,7.3,16.1,0.455,0.0,0.0,,7.3,16.1,0.455,1.2,3.9,0.313,6.6,8.6,15.1,1.7,0.2,1.2,4.9,10.3,15.9,,87.0,105.0
1985,23.0,BOS,NBA,C,55.0,4.0,424.0,3.7,9.8,0.375,0.0,0.0,,3.7,9.8,0.375,2.5,3.6,0.688,4.2,5.7,9.9,1.9,0.3,1.1,3.2,9.4,9.8,,89.0,109.0
1986,24.0,BOS,NBA,C,64.0,2.0,464.0,3.5,9.3,0.374,0.0,0.1,0.0,3.5,9.2,0.378,1.5,4.0,0.385,3.6,9.5,13.1,1.7,0.3,2.9,3.3,8.3,8.5,,79.0,101.0
1987,25.0,BOS,NBA,C,74.0,1.0,745.0,3.1,7.2,0.427,0.0,0.1,0.0,3.1,7.1,0.431,1.9,5.0,0.382,4.0,7.1,11.0,1.8,1.1,3.0,2.2,9.7,8.0,,92.0,105.0
1988,26.0,TOT,NBA,C,53.0,19.0,1063.0,4.1,9.2,0.449,0.0,0.0,0.0,4.1,9.2,0.451,1.8,3.5,0.506,3.8,8.0,11.9,2.1,0.9,2.6,3.3,6.9,10.1,,88.0,107.0
1988,26.0,BOS,NBA,C,13.0,0.0,86.0,5.1,13.1,0.391,0.0,0.0,,5.1,13.1,0.391,0.6,3.4,0.167,5.7,8.0,13.7,1.1,1.7,4.6,5.1,9.1,10.8,,73.0,104.0
1988,26.0,LAC,NBA,C,40.0,19.0,977.0,4.0,8.9,0.456,0.0,0.0,0.0,4.0,8.8,0.459,1.9,3.6,0.534,3.7,8.0,11.7,2.2,0.8,2.4,3.1,6.7,10.0,,89.0,107.0
1989,27.0,TOT,NBA,C,70.0,24.0,942.0,3.2,7.4,0.43,0.0,0.0,,3.2,7.4,0.43,1.0,2.0,0.488,4.0,8.0,12.0,1.8,1.3,2.7,2.9,7.9,7.4,,86.0,109.0
1989,27.0,LAC,NBA,C,58.0,12.0,729.0,3.1,7.6,0.405,0.0,0.0,,3.1,7.6,0.405,0.9,2.0,0.452,4.2,7.8,12.0,1.8,1.5,2.9,2.9,7.4,7.1,,83.0,108.0
1989,27.0,CHH,NBA,C,12.0,12.0,213.0,3.6,6.7,0.533,0.0,0.0,,3.6,6.7,0.533,1.3,2.2,0.6,3.4,8.5,11.9,1.6,0.9,1.8,2.7,9.7,8.5,,96.0,110.0
1990,28.0,SAC,NBA,C,71.0,47.0,1515.0,3.3,7.7,0.432,0.0,0.0,1.0,3.3,7.6,0.429,0.9,1.8,0.5,4.3,8.1,12.4,2.5,1.0,1.7,2.5,6.6,7.5,,93.0,109.0
1991,29.0,ORL,NBA,C,82.0,82.0,2225.0,3.6,7.3,0.491,0.0,0.0,,3.6,7.3,0.491,1.4,2.7,0.512,4.1,8.7,12.8,1.3,0.5,1.8,2.2,6.5,8.6,,99.0,109.0
1992,30.0,ORL,NBA,C,72.0,44.0,1479.0,3.1,7.1,0.437,0.0,0.0,0.0,3.1,7.1,0.439,1.3,2.3,0.588,5.2,8.1,13.3,1.5,1.0,1.9,2.0,7.0,7.5,,100.0,109.0
1993,31.0,ORL,NBA,C,64.0,1.0,640.0,3.0,6.5,0.452,0.0,0.1,0.0,3.0,6.5,0.458,1.0,1.9,0.542,5.1,9.9,15.0,0.8,1.0,0.9,2.7,10.4,6.9,,93.0,105.0
1994,32.0,ORL,NBA,C,29.0,0.0,309.0,2.1,5.7,0.371,0.0,0.0,,2.1,5.7,0.371,1.3,3.6,0.364,3.6,7.8,11.4,0.7,0.3,2.0,2.8,10.0,5.5,,76.0,108.0
1995,33.0,TOT,NBA,C,11.0,0.0,77.0,2.1,11.7,0.176,0.0,0.0,,2.1,11.7,0.176,1.4,6.9,0.2,8.3,6.9,15.2,0.7,0.0,0.0,4.1,10.4,5.5,,58.0,109.0
1995,33.0,NYK,NBA,C,2.0,0.0,16.0,0.0,9.9,0.0,0.0,0.0,,0.0,9.9,0.0,0.0,0.0,,6.6,6.6,13.2,0.0,0.0,0.0,3.3,6.6,0.0,,34.0,108.0
1995,33.0,IND,NBA,C,9.0,0.0,61.0,2.6,12.2,0.214,0.0,0.0,,2.6,12.2,0.214,1.7,8.7,0.2,8.7,7.0,15.7,0.9,0.0,0.0,4.4,11.4,7.0,,62.0,109.0
