Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",23.0,NBA,PF,71.0,1193.0,10.6,0.48,0.0,0.15,6.6,8.4,7.5,9.0,1.4,1.4,6.3,14.9,0.9,0.9,1.7,0.07,-1.9,-0.1,-2.0,0.0
1990,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",24.0,NBA,PF,81.0,1846.0,12.0,0.5,0.01,0.23,8.0,12.0,10.0,9.4,1.4,1.3,11.4,16.5,1.1,1.4,2.6,0.07,-1.6,-0.5,-2.2,-0.1
1991,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",25.0,NBA,PF,77.0,2842.0,16.5,0.53,0.01,0.2,6.9,14.6,10.7,11.2,1.6,1.3,8.6,21.4,3.7,3.0,6.7,0.11,0.7,-0.1,0.7,1.9
1992,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",26.0,NBA,SF,64.0,2388.0,15.3,0.52,0.01,0.22,7.0,12.9,9.9,11.1,1.5,0.7,8.9,21.7,2.3,2.0,4.3,0.09,0.4,-0.8,-0.4,1.0
1993,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",27.0,NBA,SF,72.0,2667.0,16.1,0.52,0.01,0.26,5.5,12.0,8.7,12.3,1.3,1.0,6.6,21.9,3.6,1.4,5.0,0.09,0.9,-1.2,-0.3,1.1
1994,25,1082,POR,Portland Trail Blazers,Harvey Grant,"July 4, 1965",28.0,NBA,SF,77.0,2112.0,12.3,0.48,0.01,0.17,5.4,13.0,9.0,7.4,1.6,1.5,6.3,17.1,1.7,2.2,3.9,0.09,-1.5,0.3,-1.2,0.4
1995,25,1082,POR,Portland Trail Blazers,Harvey Grant,"July 4, 1965",29.0,NBA,PF,75.0,1771.0,13.2,0.5,0.04,0.24,6.3,12.1,9.1,7.1,1.6,2.2,8.3,17.8,1.7,2.2,4.0,0.11,-1.1,0.9,-0.2,0.8
1996,25,1082,POR,Portland Trail Blazers,Harvey Grant,"July 4, 1965",30.0,NBA,PF,76.0,2394.0,10.4,0.49,0.1,0.16,5.6,11.6,8.6,7.3,1.3,1.3,10.1,14.8,0.9,3.1,4.0,0.08,-1.9,1.0,-0.9,0.6
1997,30,1082,WSB,Washington Bullets,Harvey Grant,"July 4, 1965",31.0,NBA,PF,78.0,1604.0,8.8,0.48,0.28,0.12,4.7,13.9,9.3,5.8,1.5,2.2,8.3,10.1,0.8,1.9,2.7,0.08,-2.3,1.4,-0.9,0.4
1998,30,1082,WAS,Washington Wizards,Harvey Grant,"July 4, 1965",32.0,NBA,SF,65.0,895.0,7.5,0.41,0.03,0.15,7.4,14.2,10.7,6.3,1.3,1.2,11.1,11.7,-0.2,0.9,0.7,0.04,-3.9,0.4,-3.6,-0.4
1999,23,1082,PHI,Philadelphia 76Ers,Harvey Grant,"July 4, 1965",33.0,NBA,PF,47.0,798.0,6.6,0.4,0.04,0.17,5.1,11.0,8.0,4.8,1.4,1.6,10.4,11.5,-0.2,0.9,0.8,0.05,-3.3,0.5,-2.8,-0.2
