Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1980,24.0,SEA,NBA,C,82.0,2793.0,16.5,0.526,0.001,0.295,7.4,26.9,17.1,13.7,1.1,1.5,15.3,18.6,,3.3,5.3,8.6,0.148,,0.5,1.3,1.8,2.7
1981,25.0,SEA,NBA,C,82.0,2920.0,18.0,0.512,0.004,0.315,7.1,24.6,16.0,13.2,1.3,1.7,11.9,23.6,,3.5,4.5,8.0,0.132,,0.9,0.5,1.4,2.5
1982,26.0,SEA,NBA,C,82.0,3049.0,20.6,0.559,0.011,0.432,8.2,28.0,18.5,13.1,1.6,1.9,12.9,22.5,,5.9,6.7,12.6,0.199,,2.2,1.7,3.9,4.5
1983,27.0,SEA,NBA,C,75.0,2564.0,19.6,0.546,0.008,0.458,9.3,25.7,17.8,12.6,1.6,1.3,13.2,22.5,,5.2,4.6,9.8,0.183,,1.6,0.9,2.5,2.9
1984,28.0,SEA,NBA,C,82.0,2993.0,19.7,0.572,0.002,0.416,8.6,25.9,17.3,16.0,1.5,1.7,14.7,22.2,,5.3,4.4,9.7,0.156,,1.7,1.2,2.9,3.7
1985,29.0,SEA,NBA,C,68.0,2402.0,20.4,0.564,0.011,0.417,7.9,27.0,17.4,18.6,1.7,2.2,12.5,22.2,,4.6,3.7,8.3,0.166,,2.4,2.0,4.4,3.9
1986,30.0,SEA,NBA,C,80.0,2790.0,17.6,0.535,0.012,0.374,6.0,26.2,15.9,16.5,1.6,1.6,14.3,22.4,,3.4,4.4,7.8,0.134,,1.0,1.5,2.5,3.1
1987,31.0,MIL,NBA,C,82.0,2536.0,16.0,0.533,0.002,0.372,9.0,27.3,18.0,11.1,1.7,2.2,14.0,18.4,,2.7,4.7,7.4,0.141,,-0.1,1.2,1.1,2.0
1988,32.0,MIL,NBA,C,82.0,2923.0,17.4,0.558,0.013,0.329,7.5,19.8,13.7,14.1,1.6,1.6,11.5,19.7,,5.4,3.9,9.4,0.154,,1.3,1.1,2.3,3.2
1989,33.0,MIL,NBA,C,80.0,2587.0,15.8,0.554,0.259,0.352,6.2,21.9,13.9,15.5,1.6,1.5,13.1,17.8,,4.5,3.7,8.1,0.151,,1.5,1.4,2.8,3.2
1990,34.0,MIL,NBA,C,71.0,2250.0,14.7,0.524,0.241,0.314,5.5,19.8,12.5,14.6,1.7,1.3,12.9,20.1,,2.3,2.7,5.0,0.107,,0.2,0.5,0.6,1.5
1991,35.0,MIL,NBA,C,77.0,1940.0,13.7,0.516,0.195,0.285,6.5,20.8,13.5,10.7,1.7,2.1,14.3,20.1,,1.0,2.6,3.5,0.088,,-0.8,0.3,-0.5,0.8
