Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1981,25.0,IND,NBA,C,2.0,,56.0,5.8,19.9,0.292,0.0,0.0,,5.8,19.9,0.292,0.0,0.0,,3.3,8.3,11.6,4.1,0.8,0.8,3.3,6.6,11.6,,69.0,106.0
1983,27.0,PHO,NBA,C,3.0,,54.0,9.6,22.7,0.423,0.0,0.0,,9.6,22.7,0.423,5.2,5.2,1.0,5.2,10.5,15.7,3.5,0.9,0.9,4.4,6.1,24.5,,99.0,107.0
1984,28.0,PHO,NBA,C,17.0,,463.0,9.9,20.0,0.492,0.0,0.0,,9.9,20.0,0.492,5.1,7.2,0.706,2.3,7.3,9.6,2.9,0.4,1.2,3.3,6.6,24.8,,105.0,111.0
1988,32.0,DET,NBA,C,22.0,2.0,308.0,9.6,18.8,0.509,0.0,0.2,0.0,9.6,18.7,0.514,4.6,7.0,0.659,3.9,7.7,11.6,1.9,0.3,1.7,1.7,9.4,23.8,,115.0,104.0
1989,33.0,DET,NBA,C,17.0,0.0,317.0,6.8,14.5,0.471,0.0,0.2,0.0,6.8,14.3,0.476,6.8,8.7,0.784,1.9,4.3,6.1,2.0,0.2,1.4,2.6,9.0,20.4,,111.0,107.0
1990,34.0,DET,NBA,C,20.0,20.0,536.0,11.1,22.4,0.494,0.0,0.1,0.0,11.1,22.3,0.496,5.6,9.3,0.604,2.3,4.6,6.9,1.3,0.5,1.1,3.0,7.2,27.8,,104.0,106.0
1991,35.0,DET,NBA,C,15.0,11.0,345.0,9.4,23.1,0.407,0.0,0.0,,9.4,23.1,0.407,5.9,8.5,0.691,2.3,3.4,5.7,1.4,0.3,0.5,3.7,6.6,24.7,,94.0,117.0
1992,36.0,LAC,NBA,C,5.0,0.0,87.0,6.1,14.6,0.417,0.0,0.0,,6.1,14.6,0.417,7.3,11.6,0.632,3.0,4.9,7.9,1.8,0.6,0.6,2.4,6.7,19.5,,103.0,115.0
1993,37.0,LAL,NBA,C,3.0,0.0,14.0,11.1,14.9,0.75,0.0,0.0,,11.1,14.9,0.75,0.0,0.0,,0.0,7.4,7.4,0.0,0.0,0.0,3.7,7.4,22.3,,107.0,111.0
1995,39.0,POR,NBA,C,1.0,0.0,4.0,0.0,13.1,0.0,0.0,0.0,,0.0,13.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,135.0
1996,40.0,CHI,NBA,C,6.0,0.0,28.0,7.9,17.8,0.444,0.0,0.0,,7.9,17.8,0.444,5.9,7.9,0.75,0.0,7.9,7.9,0.0,0.0,0.0,2.0,19.7,21.7,,105.0,103.0
