Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,23.0,SAC,NBA,PG,50.0,50.0,1805.0,231.0,617.0,0.374,100.0,323.0,0.31,131.0,294.0,0.446,0.455,79.0,105.0,0.752,14.0,139.0,153.0,299.0,95.0,1.0,143.0,91.0,641.0
2001,25.0,SAC,NBA,PG,77.0,77.0,2290.0,281.0,690.0,0.407,98.0,311.0,0.315,183.0,379.0,0.483,0.478,60.0,76.0,0.789,19.0,166.0,185.0,416.0,94.0,9.0,160.0,114.0,720.0
2002,26.0,MEM,NBA,PG,65.0,65.0,2236.0,376.0,985.0,0.382,127.0,430.0,0.295,249.0,555.0,0.449,0.446,80.0,101.0,0.792,22.0,173.0,195.0,519.0,111.0,7.0,214.0,102.0,959.0
2003,27.0,MEM,NBA,PG,76.0,76.0,2407.0,333.0,859.0,0.388,143.0,404.0,0.354,190.0,455.0,0.418,0.471,110.0,131.0,0.84,25.0,187.0,212.0,631.0,91.0,10.0,168.0,130.0,919.0
2004,28.0,MEM,NBA,PG,72.0,68.0,2115.0,290.0,713.0,0.407,120.0,364.0,0.33,170.0,349.0,0.487,0.491,82.0,98.0,0.837,25.0,122.0,147.0,492.0,92.0,5.0,136.0,97.0,782.0
2005,29.0,MEM,NBA,PG,71.0,68.0,1952.0,266.0,644.0,0.413,107.0,330.0,0.324,159.0,314.0,0.506,0.496,80.0,101.0,0.792,19.0,103.0,122.0,399.0,75.0,5.0,130.0,91.0,719.0
2006,30.0,MIA,NBA,PG,59.0,56.0,1874.0,268.0,606.0,0.442,107.0,288.0,0.372,161.0,318.0,0.506,0.531,85.0,98.0,0.867,6.0,133.0,139.0,287.0,53.0,5.0,100.0,101.0,728.0
2007,31.0,MIA,NBA,PG,61.0,55.0,1865.0,235.0,569.0,0.413,100.0,295.0,0.339,135.0,274.0,0.493,0.501,94.0,103.0,0.913,18.0,123.0,141.0,322.0,58.0,1.0,100.0,68.0,664.0
2008,32.0,MIA,NBA,PG,67.0,53.0,1886.0,211.0,550.0,0.384,97.0,275.0,0.353,114.0,275.0,0.415,0.472,69.0,80.0,0.863,12.0,118.0,130.0,307.0,83.0,5.0,91.0,93.0,588.0
2010,34.0,ORL,NBA,PG,82.0,18.0,1703.0,189.0,426.0,0.444,84.0,221.0,0.38,105.0,205.0,0.512,0.542,31.0,41.0,0.756,7.0,119.0,126.0,298.0,53.0,3.0,87.0,65.0,493.0
2011,35.0,TOT,NBA,PG,27.0,0.0,295.0,22.0,67.0,0.328,10.0,38.0,0.263,12.0,29.0,0.414,0.403,0.0,0.0,,3.0,27.0,30.0,52.0,11.0,1.0,18.0,8.0,54.0
2011,35.0,ORL,NBA,PG,16.0,0.0,171.0,13.0,38.0,0.342,7.0,23.0,0.304,6.0,15.0,0.4,0.434,0.0,0.0,,3.0,19.0,22.0,24.0,8.0,0.0,11.0,6.0,33.0
2011,35.0,MEM,NBA,PG,11.0,0.0,124.0,9.0,29.0,0.31,3.0,15.0,0.2,6.0,14.0,0.429,0.362,0.0,0.0,,0.0,8.0,8.0,28.0,3.0,1.0,7.0,2.0,21.0
