Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,22.0,PHO,NBA,SG,80.0,39.0,2062.0,4.9,10.9,0.446,0.1,0.3,0.2,4.8,10.6,0.454,2.5,3.0,0.829,0.6,2.3,2.9,6.1,1.9,0.1,2.9,3.6,12.3
1986,23.0,PHO,NBA,PG,82.0,82.0,2733.0,4.6,9.7,0.479,0.1,0.4,0.138,4.6,9.3,0.493,2.6,3.4,0.767,0.7,2.7,3.4,6.9,1.7,0.1,2.5,2.9,11.9
1987,24.0,PHO,NBA,PG,82.0,82.0,2579.0,5.0,10.5,0.477,0.1,0.4,0.185,4.9,10.1,0.488,2.8,3.6,0.769,0.9,2.8,3.6,8.8,1.6,0.1,2.7,3.3,12.9
1988,25.0,TOT,NBA,PG,68.0,33.0,1809.0,5.7,10.7,0.528,0.1,0.4,0.167,5.6,10.3,0.54,2.2,3.0,0.732,1.0,2.5,3.5,7.9,1.6,0.1,2.5,3.5,13.6
1988,25.0,PHO,NBA,PG,50.0,33.0,1557.0,6.1,11.2,0.545,0.1,0.4,0.188,6.0,10.8,0.558,2.4,3.2,0.741,1.0,2.5,3.5,8.2,1.4,0.1,2.5,3.6,14.7
1988,25.0,MIL,NBA,PG,18.0,0.0,252.0,2.9,7.7,0.37,0.0,0.3,0.0,2.9,7.4,0.385,1.3,2.0,0.643,0.7,2.6,3.3,5.9,2.9,0.1,2.7,3.3,7.0
1989,26.0,MIL,NBA,PG,73.0,50.0,2220.0,5.6,11.6,0.483,0.4,1.5,0.266,5.2,10.1,0.516,2.1,2.6,0.816,1.1,1.9,3.1,6.6,2.3,0.1,2.6,3.0,13.7
1990,27.0,MIL,NBA,PG,81.0,81.0,2818.0,6.3,12.8,0.494,0.3,0.9,0.3,6.1,11.9,0.508,2.9,3.6,0.786,1.0,2.4,3.4,6.0,2.0,0.1,1.9,3.2,15.8
1991,28.0,MIL,NBA,PG,80.0,80.0,2726.0,6.4,12.7,0.502,0.8,2.1,0.373,5.6,10.6,0.528,2.5,3.2,0.799,0.8,2.2,2.9,7.1,1.7,0.1,2.0,3.1,16.0
1992,29.0,MIL,NBA,PG,71.0,71.0,2261.0,6.0,12.8,0.469,0.7,2.3,0.292,5.3,10.5,0.508,3.1,4.0,0.783,0.7,2.2,2.9,7.4,1.9,0.2,2.4,3.3,15.8
1993,30.0,UTA,NBA,SG,78.0,20.0,2034.0,5.1,11.7,0.436,0.3,1.3,0.2,4.8,10.3,0.466,1.8,2.3,0.777,0.7,1.8,2.5,5.6,1.8,0.2,2.3,4.2,12.2
1994,31.0,UTA,NBA,SG,75.0,19.0,1619.0,5.2,11.9,0.436,0.8,2.1,0.396,4.3,9.8,0.444,1.3,1.7,0.75,0.8,2.0,2.8,4.9,1.4,0.2,2.1,3.7,12.5
1995,32.0,TOT,NBA,"PG,SG",18.0,0.0,201.0,1.4,6.1,0.235,0.4,0.7,0.5,1.1,5.4,0.2,0.4,0.7,0.5,0.7,1.6,2.3,3.4,1.6,0.0,3.0,6.3,3.6
1995,32.0,UTA,NBA,SG,12.0,0.0,149.0,1.0,6.0,0.16,0.5,0.7,0.667,0.5,5.3,0.091,0.0,0.0,,0.5,1.9,2.4,2.2,1.7,0.0,2.9,6.0,2.4
1995,32.0,BOS,NBA,PG,6.0,0.0,52.0,2.8,6.2,0.444,0.0,0.7,0.0,2.8,5.5,0.5,1.4,2.8,0.5,1.4,0.7,2.1,6.9,1.4,0.0,3.5,6.9,6.9
