Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,22.0,WSB,NBA,SG,81,2,24.4,5.0,11.3,.444,0.3,0.9,.324,4.7,10.4,.455,.458,1.8,2.1,.826,0.7,1.2,1.9,1.9,0.3,0.2,1.4,2.0,12.1
1984-85,23.0,WSB,NBA,SG,76,61,34.4,8.0,16.0,.499,0.2,0.9,.208,7.8,15.0,.517,.505,2.8,3.3,.844,0.8,1.9,2.7,2.4,0.7,0.1,1.4,2.3,18.9
1985-86,24.0,WSB,NBA,SG,80,80,37.4,9.2,19.0,.483,0.0,0.2,.176,9.2,18.8,.486,.484,4.0,4.6,.868,0.8,2.8,3.6,2.4,0.9,0.2,2.1,2.3,22.4
1986-87,25.0,WSB,NBA,SG,80,79,34.5,8.6,18.9,.457,0.1,0.3,.154,8.6,18.5,.462,.458,4.7,5.3,.885,0.6,2.1,2.7,3.7,0.9,0.2,2.3,1.9,22.0
1987-88,26.0,WSB,NBA,SG,80,80,33.2,8.1,17.0,.476,0.1,0.3,.417,8.0,16.7,.478,.480,4.2,4.8,.882,0.6,2.0,2.6,3.0,0.6,0.2,2.2,2.5,20.5
1988-89,27.0,WSB,NBA,SG,76,75,31.8,8.9,18.6,.480,0.0,0.3,.053,8.9,18.3,.486,.480,3.9,4.5,.871,0.7,1.6,2.4,2.9,0.5,0.2,2.2,2.0,21.7
1989-90,28.0,WSB,NBA,SG,75,74,34.2,10.4,21.2,.491,0.0,0.1,.167,10.4,21.1,.492,.491,3.4,3.9,.877,0.7,2.0,2.7,3.2,0.6,0.1,1.7,1.5,24.3
1990-91,29.0,UTA,NBA,SG,69,69,35.7,7.6,15.0,.508,0.0,0.1,.167,7.6,14.9,.510,.508,3.3,3.7,.917,0.5,2.5,3.0,2.1,0.7,0.1,1.6,1.9,18.6
1991-92,30.0,UTA,NBA,SG,81,81,36.1,8.5,16.7,.511,0.0,0.1,.083,8.5,16.6,.515,.511,3.2,3.5,.898,0.6,2.3,2.9,2.2,0.7,0.1,1.7,1.6,20.2
1992-93,31.0,UTA,NBA,SG,79,59,32.4,7.5,15.3,.494,0.0,0.1,.333,7.5,15.1,.495,.495,3.0,3.5,.852,0.4,1.8,2.2,1.6,0.5,0.1,1.6,1.5,18.1
1993-94,32.0,TOT,NBA,SG,77,73,33.2,6.8,14.0,.486,0.1,0.2,.583,6.7,13.9,.485,.489,2.7,3.2,.830,0.7,1.9,2.6,1.6,0.5,0.1,1.1,1.6,16.4
1993-94,32.0,UTA,NBA,SG,50,50,33.1,6.8,13.8,.488,0.1,0.1,.500,6.7,13.7,.488,.491,2.6,3.1,.843,0.6,1.7,2.3,1.3,0.5,0.1,1.1,1.5,16.2
1993-94,32.0,PHI,NBA,SG,27,23,33.4,6.9,14.4,.481,0.1,0.2,.667,6.8,14.2,.478,.486,2.8,3.5,.809,0.9,2.3,3.1,2.2,0.5,0.0,1.0,1.7,16.8
1994-95,33.0,PHI,NBA,SG,19,19,34.7,7.6,14.9,.507,0.6,1.5,.393,7.0,13.5,.520,.526,2.7,3.1,.864,0.6,2.3,2.9,1.5,0.8,0.0,1.5,1.8,18.4
1995-96,34.0,TOT,NBA,SG,32,3,15.9,2.4,6.0,.394,0.2,0.5,.313,2.2,5.5,.401,.407,0.9,1.0,.906,0.3,1.0,1.3,0.8,0.5,0.0,0.7,0.8,5.8
1995-96,34.0,Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece)
1995-96,34.0,PHI,NBA,SG,25,3,16.3,2.5,6.4,.394,0.2,0.6,.313,2.3,5.8,.403,.409,1.0,1.0,.923,0.3,1.0,1.3,0.8,0.5,0.0,0.8,0.8,6.2
1995-96,34.0,MIA,NBA,SG,7,0,14.7,1.9,4.7,.394,0.0,0.0,,1.9,4.7,.394,.394,0.7,0.9,.833,0.0,1.1,1.1,1.0,0.4,0.0,0.4,0.9,4.4
