Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,22.0,POR,NBA,SF,77.0,0.0,958.0,6.7,14.0,0.478,0.0,0.1,0.0,6.7,13.9,0.482,4.4,6.8,0.646,3.6,4.2,7.7,2.4,1.8,1.1,2.5,5.5,17.8
1986,23.0,POR,NBA,SF,79.0,2.0,1217.0,7.6,13.9,0.549,0.0,0.2,0.0,7.6,13.7,0.556,4.6,6.8,0.681,4.1,4.6,8.7,2.5,2.5,0.9,3.3,6.2,19.9
1987,24.0,POR,NBA,SF,82.0,8.0,2088.0,6.4,12.6,0.509,0.0,0.4,0.043,6.4,12.2,0.524,4.5,6.3,0.72,3.5,5.1,8.6,3.3,2.1,1.3,2.6,5.7,17.4
1988,25.0,POR,NBA,SF,79.0,75.0,2888.0,7.6,15.3,0.499,0.0,0.2,0.2,7.6,15.1,0.502,3.6,4.9,0.735,2.6,5.6,8.2,3.0,1.6,0.8,2.0,3.8,18.9
1989,26.0,POR,NBA,SF,76.0,76.0,2716.0,7.1,15.1,0.469,0.1,0.3,0.286,7.0,14.8,0.472,3.4,4.9,0.694,3.3,5.1,8.3,3.2,1.8,1.1,2.2,3.7,17.6
1990,27.0,POR,NBA,SF,82.0,82.0,2843.0,6.6,13.7,0.478,0.0,0.3,0.15,6.5,13.5,0.485,3.4,4.9,0.69,3.2,5.6,8.7,2.4,1.5,0.8,1.8,3.8,16.6
1991,28.0,POR,NBA,SF,73.0,72.0,2359.0,6.5,13.5,0.478,0.1,0.2,0.308,6.4,13.3,0.481,3.5,5.0,0.709,2.6,4.8,7.3,3.5,1.5,1.2,2.3,3.8,16.5
1992,29.0,POR,NBA,SF,77.0,76.0,2553.0,5.6,12.0,0.467,0.0,0.1,0.125,5.6,11.9,0.47,2.5,3.7,0.664,3.4,5.5,8.9,3.4,1.6,1.0,2.1,3.6,13.7
1993,30.0,POR,NBA,SF,65.0,50.0,1719.0,5.9,13.4,0.438,0.2,0.6,0.286,5.7,12.9,0.445,2.4,3.8,0.634,2.6,5.9,8.5,2.5,1.7,0.9,1.8,3.8,14.4
1994,31.0,POR,NBA,SF,78.0,6.0,1276.0,5.7,13.2,0.433,0.0,0.2,0.125,5.7,13.0,0.438,2.8,3.8,0.748,3.7,5.7,9.3,2.1,2.0,1.4,1.8,6.0,14.3
1995,32.0,POR,NBA,SF,63.0,0.0,1143.0,6.4,15.4,0.415,0.2,0.9,0.259,6.2,14.6,0.424,3.0,3.9,0.766,2.9,5.1,8.1,2.6,1.6,1.1,2.0,5.4,16.0
1996,33.0,GSW,NBA,SF,76.0,58.0,1620.0,4.6,11.1,0.41,0.1,0.4,0.176,4.5,10.7,0.418,2.2,3.3,0.66,3.4,4.6,8.1,2.5,2.0,1.0,1.7,4.6,11.3
1997,34.0,LAL,NBA,SF,70.0,44.0,1766.0,4.0,9.2,0.432,0.3,1.3,0.262,3.6,7.8,0.461,1.4,2.4,0.602,2.3,5.1,7.4,1.8,2.4,1.0,1.5,4.5,9.7
1998,35.0,SEA,NBA,SF,37.0,2.0,717.0,4.9,11.7,0.416,0.1,0.5,0.1,4.8,11.2,0.43,2.0,3.3,0.6,2.8,4.0,6.8,2.2,2.6,0.7,1.8,5.2,11.7
1999,36.0,SAS,NBA,SF,45.0,0.0,699.0,3.5,10.3,0.34,0.2,0.7,0.214,3.3,9.6,0.349,0.3,0.7,0.429,2.2,4.5,6.7,2.1,1.9,0.7,1.5,4.7,7.5
2001,38.0,MIL,NBA,SF,22.0,2.0,243.0,4.7,10.2,0.464,0.0,0.1,0.0,4.7,10.1,0.471,1.2,2.4,0.5,1.2,5.5,6.7,2.2,2.1,1.2,0.9,5.3,10.7
