Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973,,531,NYA,None,23.0,ABA,PF,82,,26.3,4.8,9.4,0.514,0.0,0.0,0.0,4.8,9.4,0.514,0.514,1.7,2.9,0.592,1.7,5.4,7.1,1.2,,,2.6,3.5,11.4
1974,,531,CAR,None,24.0,ABA,C,83,,28.8,6.4,12.3,0.526,0.0,0.0,0.0,6.4,12.2,0.527,0.526,1.9,3.0,0.615,2.3,5.5,7.8,1.4,0.7,1.6,2.5,4.2,14.8
1975,6.0,531,CLE,Cleveland Cavaliers,25.0,NBA,C,72,,33.7,6.2,12.7,0.487,,,,6.2,12.7,0.487,0.487,2.1,3.1,0.679,2.2,7.2,9.4,1.8,0.7,1.7,,3.4,14.5
1976,6.0,531,CLE,Cleveland Cavaliers,26.0,NBA,C,82,,33.4,6.9,15.3,0.448,,,,6.9,15.3,0.448,0.448,2.1,3.2,0.662,2.4,6.6,9.0,2.0,0.5,1.1,,2.9,15.8
1977,6.0,531,CLE,Cleveland Cavaliers,27.0,NBA,C,82,,29.0,5.5,11.9,0.463,,,,5.5,11.9,0.463,0.463,1.9,2.6,0.731,2.5,5.9,8.4,1.3,0.4,0.9,,3.1,12.9
1978,6.0,531,CLE,Cleveland Cavaliers,28.0,NBA,C,82,,35.4,6.4,13.6,0.472,,,,6.4,13.6,0.472,0.472,2.2,3.0,0.72,2.7,7.6,10.3,1.6,0.6,0.7,2.2,2.9,15.0
1979,6.0,531,CLE,Cleveland Cavaliers,29.0,NBA,C,82,,34.8,5.8,13.1,0.44,,,,5.8,13.1,0.44,0.44,1.9,2.6,0.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4
1980,14.0,531,LAL,Los Angeles Lakers,30.0,NBA,C,82,,29.2,4.5,9.3,0.489,0.0,0.0,0.0,4.5,9.2,0.491,0.489,1.5,2.1,0.74,1.7,5.1,6.9,1.8,0.7,0.8,2.1,3.3,10.6
1981,14.0,531,LAL,Los Angeles Lakers,31.0,NBA,PF,82,,31.2,4.6,9.2,0.503,0.0,0.0,0.0,4.6,9.1,0.506,0.503,1.5,2.4,0.653,2.2,5.8,8.0,1.9,0.5,1.2,1.9,4.0,10.8
1982,30.0,531,WSB,Washington Bullets,32.0,NBA,C,59,13.0,14.7,1.3,2.9,0.433,0.0,0.0,,1.3,2.9,0.433,0.433,0.6,0.8,0.783,0.7,2.5,3.1,1.1,0.3,0.5,0.7,1.9,3.1
