Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23.0,DAL,NBA,SF,67.0,29.0,1589.0,229.0,532.0,0.43,20.0,66.0,0.303,209.0,466.0,0.448,0.449,97.0,138.0,0.703,149.0,219.0,368.0,97.0,69.0,54.0,67.0,168.0,575.0
2004-05,24.0,DAL,NBA,SF,76.0,76.0,2446.0,377.0,793.0,0.475,34.0,115.0,0.296,343.0,678.0,0.506,0.497,170.0,232.0,0.733,169.0,315.0,484.0,109.0,116.0,49.0,122.0,211.0,958.0
2005-06,25.0,DAL,NBA,SF,59.0,58.0,1915.0,350.0,743.0,0.471,27.0,63.0,0.429,323.0,680.0,0.475,0.489,196.0,267.0,0.734,123.0,248.0,371.0,111.0,68.0,26.0,79.0,167.0,923.0
2006-07,26.0,DAL,NBA,SF,70.0,69.0,2455.0,493.0,1075.0,0.459,92.0,239.0,0.385,401.0,836.0,0.48,0.501,243.0,294.0,0.827,130.0,345.0,475.0,127.0,82.0,56.0,123.0,180.0,1321.0
2007-08,27.0,DAL,NBA,SF,76.0,76.0,2757.0,567.0,1247.0,0.455,67.0,210.0,0.319,500.0,1037.0,0.482,0.482,312.0,384.0,0.813,120.0,412.0,532.0,164.0,59.0,32.0,114.0,202.0,1513.0
2008-09,28.0,DAL,NBA,SF,52.0,51.0,1663.0,353.0,783.0,0.451,58.0,168.0,0.345,295.0,615.0,0.48,0.488,172.0,220.0,0.782,59.0,204.0,263.0,83.0,55.0,30.0,89.0,135.0,936.0
2009-10,29.0,TOT,NBA,SF,35.0,12.0,918.0,157.0,388.0,0.405,23.0,86.0,0.267,134.0,302.0,0.444,0.434,109.0,139.0,0.784,30.0,95.0,125.0,48.0,26.0,11.0,46.0,91.0,446.0
2009-10,29.0,DAL,NBA,SF,31.0,9.0,827.0,137.0,342.0,0.401,20.0,75.0,0.267,117.0,267.0,0.438,0.43,94.0,119.0,0.79,26.0,86.0,112.0,44.0,23.0,9.0,43.0,78.0,388.0
2009-10,29.0,WAS,NBA,SF,4.0,3.0,91.0,20.0,46.0,0.435,3.0,11.0,0.273,17.0,35.0,0.486,0.467,15.0,20.0,0.75,4.0,9.0,13.0,4.0,3.0,2.0,3.0,13.0,58.0
2010-11,30.0,WAS,NBA,SF,18.0,10.0,409.0,58.0,162.0,0.358,7.0,29.0,0.241,51.0,133.0,0.383,0.38,29.0,47.0,0.617,18.0,56.0,74.0,24.0,13.0,5.0,20.0,34.0,152.0
2011-12,31.0,UTA,NBA,SF,43.0,18.0,991.0,144.0,361.0,0.399,9.0,37.0,0.243,135.0,324.0,0.417,0.411,75.0,97.0,0.773,39.0,119.0,158.0,50.0,32.0,10.0,53.0,91.0,372.0
2012-13,32.0,MIN,NBA,SF,11.0,4.0,207.0,31.0,77.0,0.403,5.0,16.0,0.313,26.0,61.0,0.426,0.435,7.0,12.0,0.583,9.0,27.0,36.0,4.0,10.0,3.0,10.0,18.0,74.0
