Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21.0,VIR,ABA,SF,84.0,,41.8,10.8,21.7,0.498,0.0,0.2,0.188,10.8,21.5,0.501,0.499,5.6,7.5,0.745,5.7,10.0,15.7,4.0,,,4.1,3.1,27.3
1972-73,22.0,VIR,ABA,SF,71.0,,42.2,12.6,25.4,0.496,0.1,0.3,0.208,12.5,25.1,0.499,0.497,6.7,8.6,0.776,3.7,8.5,12.2,4.2,2.5,1.8,4.6,2.8,31.9
1973-74,23.0,NYA,ABA,SF,84.0,,40.5,10.9,21.3,0.512,0.2,0.5,0.395,10.7,20.7,0.515,0.517,5.4,7.1,0.766,3.1,7.6,10.7,5.2,2.3,2.4,4.1,3.2,27.4
1974-75,24.0,NYA,ABA,SF,84.0,,40.5,10.9,21.5,0.506,0.3,1.0,0.333,10.5,20.5,0.515,0.514,5.8,7.2,0.799,3.4,7.5,10.9,5.5,2.2,1.9,3.6,3.0,27.9
1975-76,25.0,NYA,ABA,SF,84.0,,38.6,11.3,22.3,0.507,0.4,1.2,0.33,10.9,21.1,0.517,0.516,6.3,7.9,0.801,4.0,7.0,11.0,5.0,2.5,1.9,3.7,2.6,29.3
1976-77,26.0,PHI,NBA,SF,82.0,77.0,35.9,8.4,16.7,0.499,,,,8.4,16.7,0.499,0.499,4.9,6.3,0.777,2.3,6.1,8.5,3.7,1.9,1.4,,3.1,21.6
1977-78,27.0,PHI,NBA,SF,74.0,68.0,32.8,8.3,16.4,0.502,,,,8.3,16.4,0.502,0.502,4.1,4.9,0.845,2.4,4.1,6.5,3.8,1.8,1.3,3.2,2.8,20.6
1978-79,28.0,PHI,NBA,SF,78.0,76.0,35.9,9.2,18.7,0.491,,,,9.2,18.7,0.491,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4.0,2.7,23.1
1979-80,29.0,PHI,NBA,SF,78.0,78.0,36.1,10.7,20.7,0.519,0.1,0.3,0.2,10.7,20.4,0.523,0.52,5.4,6.8,0.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9
1980-81,30.0,PHI,NBA,SF,82.0,82.0,35.0,9.7,18.6,0.521,0.0,0.2,0.222,9.6,18.4,0.525,0.522,5.1,6.5,0.787,3.0,5.0,8.0,4.4,2.1,1.8,3.2,2.8,24.6
1981-82,31.0,PHI,NBA,SF,81.0,81.0,34.4,9.6,17.6,0.546,0.0,0.1,0.273,9.6,17.5,0.548,0.547,5.1,6.7,0.763,2.7,4.2,6.9,3.9,2.0,1.7,2.6,2.8,24.4
1982-83,32.0,PHI,NBA,SF,72.0,72.0,33.6,8.4,16.3,0.517,0.0,0.1,0.286,8.4,16.2,0.518,0.518,4.6,6.0,0.759,2.4,4.4,6.8,3.7,1.6,1.8,2.7,2.8,21.4
1983-84,33.0,PHI,NBA,SF,77.0,77.0,34.8,8.8,17.2,0.512,0.1,0.3,0.333,8.7,16.9,0.515,0.515,4.7,6.3,0.754,2.5,4.4,6.9,4.0,1.8,1.8,3.0,2.8,22.4
1984-85,34.0,PHI,NBA,SF,78.0,78.0,32.5,7.8,15.8,0.494,0.0,0.2,0.214,7.8,15.7,0.497,0.495,4.3,5.7,0.765,2.2,3.1,5.3,3.0,1.7,1.4,2.7,2.6,20.0
1985-86,35.0,PHI,NBA,SF,74.0,74.0,33.4,7.0,14.7,0.48,0.1,0.4,0.281,6.9,14.2,0.486,0.484,3.9,5.0,0.785,2.3,2.7,5.0,3.4,1.5,1.1,2.9,2.6,18.1
1986-87,36.0,PHI,NBA,SF,60.0,60.0,32.0,6.7,14.2,0.471,0.2,0.9,0.264,6.4,13.3,0.484,0.479,3.2,3.9,0.813,1.9,2.5,4.4,3.2,1.3,1.6,2.6,2.3,16.8
