Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,29,1822,UTA,Utah Jazz,22.0,NBA,PF,4.0,4.0,144.0,9.5,18.0,0.53,0.0,0.0,,9.5,18.0,0.53,2.7,6.5,0.42,1.5,6.0,7.5,1.0,2.0,0.0,1.5,4.5,21.7
1987,29,1822,UTA,Utah Jazz,23.0,NBA,PF,5.0,5.0,200.0,6.7,15.8,0.42,0.0,0.0,,6.7,15.8,0.42,4.7,6.5,0.72,2.7,5.9,8.6,1.1,2.0,0.7,3.1,3.6,18.0
1988,29,1822,UTA,Utah Jazz,24.0,NBA,PF,11.0,11.0,494.0,9.0,18.6,0.48,0.0,0.1,0.0,9.0,18.5,0.48,5.9,8.2,0.72,2.4,7.1,9.5,1.2,0.9,0.5,2.8,2.6,23.8
1989,29,1822,UTA,Utah Jazz,25.0,NBA,PF,3.0,3.0,136.0,8.7,17.5,0.5,0.0,0.0,,8.7,17.5,0.5,6.9,8.5,0.81,5.8,7.1,13.0,1.1,0.8,0.3,3.4,4.2,24.4
1990,29,1822,UTA,Utah Jazz,26.0,NBA,PF,5.0,5.0,203.0,8.2,18.6,0.44,0.0,0.2,0.0,8.2,18.4,0.44,6.0,8.0,0.76,2.8,6.2,9.0,2.0,2.0,0.9,2.1,3.9,22.3
1991,29,1822,UTA,Utah Jazz,27.0,NBA,PF,9.0,9.0,383.0,8.9,19.6,0.46,0.0,0.8,0.0,8.9,18.9,0.47,7.2,8.6,0.85,2.2,9.1,11.3,2.7,0.8,1.0,2.4,3.3,25.1
1992,29,1822,UTA,Utah Jazz,28.0,NBA,PF,16.0,16.0,688.0,7.7,14.9,0.52,0.0,0.1,0.0,7.7,14.8,0.52,8.8,11.0,0.8,2.3,7.2,9.5,2.2,1.2,1.0,2.4,3.0,24.3
1993,29,1822,UTA,Utah Jazz,29.0,NBA,PF,5.0,5.0,216.0,7.3,16.2,0.45,0.2,0.3,0.5,7.2,15.8,0.45,5.2,6.3,0.82,2.0,6.7,8.7,1.7,1.0,0.3,3.3,3.5,20.0
1994,29,1822,UTA,Utah Jazz,30.0,NBA,PF,16.0,16.0,703.0,8.1,17.3,0.47,0.0,0.2,0.0,8.1,17.1,0.47,6.0,8.2,0.74,2.7,7.5,10.1,2.8,1.2,0.7,1.7,3.0,22.2
1995,29,1822,UTA,Utah Jazz,31.0,NBA,PF,5.0,5.0,216.0,8.0,17.2,0.47,0.2,0.5,0.33,7.8,16.7,0.47,9.0,13.0,0.69,2.5,8.5,11.0,3.2,1.2,0.3,2.3,3.0,25.2
1996,29,1822,UTA,Utah Jazz,32.0,NBA,PF,18.0,18.0,725.0,9.3,19.9,0.47,0.0,0.1,0.0,9.3,19.8,0.47,5.0,8.7,0.57,2.3,6.9,9.2,3.9,1.7,0.5,2.2,3.0,23.7
1997,29,1822,UTA,Utah Jazz,33.0,NBA,PF,20.0,20.0,816.0,8.2,19.0,0.44,0.0,0.1,0.5,8.2,18.9,0.44,6.4,8.8,0.72,2.6,7.4,10.1,2.5,1.2,0.7,2.4,2.6,22.9
1998,29,1822,UTA,Utah Jazz,34.0,NBA,PF,20.0,20.0,795.0,9.0,19.0,0.47,0.0,0.1,0.0,9.0,18.9,0.48,5.9,7.5,0.79,2.1,7.7,9.8,3.1,1.0,0.9,2.7,3.1,23.8
1999,29,1822,UTA,Utah Jazz,35.0,NBA,PF,11.0,11.0,451.0,6.9,16.4,0.42,0.0,0.1,0.0,6.9,16.4,0.42,5.4,6.9,0.79,2.9,7.0,9.9,4.2,1.0,0.6,3.2,3.0,19.2
2001,29,1822,UTA,Utah Jazz,37.0,NBA,PF,5.0,5.0,199.0,8.9,21.9,0.4,0.2,0.4,0.5,8.7,21.5,0.4,7.1,8.9,0.8,1.6,6.3,8.0,3.1,0.9,0.7,3.4,2.4,25.0
2002,29,1822,UTA,Utah Jazz,38.0,NBA,PF,4.0,4.0,163.0,6.6,16.1,0.41,0.0,0.2,0.0,6.6,15.9,0.42,4.4,6.2,0.71,0.7,6.0,6.6,4.0,1.1,0.7,2.4,2.4,17.7
2003,29,1822,UTA,Utah Jazz,39.0,NBA,PF,5.0,5.0,191.0,6.4,15.8,0.4,0.0,0.2,0.0,6.4,15.6,0.41,5.7,7.7,0.73,1.3,5.1,6.4,3.8,1.5,0.4,3.8,2.8,18.5
2004,14,1822,LAL,Los Angeles Lakers,40.0,NBA,PF,21.0,21.0,798.0,4.4,9.8,0.45,0.0,0.0,0.0,4.4,9.8,0.45,2.1,3.3,0.63,1.7,6.7,8.3,3.2,1.1,0.1,2.1,2.9,10.9
