Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,23.0,MIL,NBA,C,69,,18.7,3.2,6.9,.465,,,,3.2,6.9,.465,.465,1.3,2.0,.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7
1978-79,24.0,MIL,NBA,C,82,,26.0,5.0,9.7,.518,,,,5.0,9.7,.518,.518,2.2,3.0,.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3
1979-80,25.0,TOT,NBA,C,73,,25.9,4.1,8.5,.484,0.0,0.1,.200,4.1,8.4,.486,.485,1.4,1.9,.702,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6
1979-80,25.0,MIL,NBA,C,56,,24.8,3.8,7.7,.494,0.0,0.0,.000,3.8,7.7,.495,.494,1.2,1.7,.680,1.7,4.2,5.9,2.3,1.0,1.3,1.9,3.2,8.8
1979-80,25.0,DET,NBA,C,17,,29.5,5.1,11.0,.460,0.1,0.2,.250,5.0,10.8,.464,.463,1.9,2.6,.750,1.8,5.3,7.1,3.0,1.1,1.1,3.0,4.0,12.1
1980-81,26.0,DET,NBA,C,59,,33.2,6.2,13.1,.473,0.0,0.1,.000,6.2,13.0,.475,.473,3.3,4.3,.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
1981-82,27.0,DET,NBA,C,75,72,32.9,5.4,10.7,.505,0.0,0.1,.273,5.4,10.5,.508,.507,1.7,2.1,.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
1982-83,28.0,DET,NBA,C,21,15,28.5,4.0,8.7,.467,0.0,0.0,.000,4.0,8.6,.470,.467,1.8,2.4,.760,2.5,4.9,7.4,2.3,0.7,0.8,1.7,2.9,9.9
1983-84,29.0,DET,NBA,C,82,58,21.1,3.0,5.5,.550,0.0,0.0,.000,3.0,5.5,.551,.550,1.0,1.2,.822,1.4,3.6,5.0,1.6,0.9,0.6,1.0,2.8,7.1
1984-85,30.0,DET,NBA,C,72,35,19.5,2.8,5.5,.506,0.0,0.0,.000,2.8,5.5,.510,.506,1.1,1.3,.809,1.4,3.1,4.5,1.3,0.7,0.6,0.9,2.9,6.6
1985-86,31.0,DET,NBA,C,72,51,18.7,2.8,5.8,.484,0.0,0.0,.500,2.8,5.7,.484,.486,0.9,1.2,.795,1.6,3.6,5.2,1.1,0.8,0.7,0.8,2.7,6.5
1986-87,32.0,UTA,NBA,C,73,2,12.3,1.9,4.3,.443,0.0,0.1,.286,1.9,4.2,.447,.446,0.6,0.8,.810,1.1,2.1,3.2,0.5,0.5,0.4,0.6,1.9,4.5
1987-88,33.0,CLE,NBA,C,2,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,2.5
1988-89,34.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
