Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1997,18.0,LAL,NBA,SF,9,0,133,8.8,23.0,0.382,2.5,9.6,0.261,6.3,13.4,0.469,10.9,12.5,0.867,0.4,4.2,4.6,4.6,1.3,0.8,5.8,9.6,30.9,,100,110
1998,19.0,LAL,NBA,SF,11,0,220,7.6,18.7,0.408,0.7,3.5,0.214,6.9,15.3,0.452,7.6,11.1,0.689,1.7,3.5,5.2,3.9,0.7,2.0,2.7,6.9,23.7,,106,116
1999,20.0,LAL,NBA,SG,8,8,315,10.2,23.8,0.43,1.3,3.9,0.348,8.9,20.0,0.445,4.7,5.9,0.8,2.2,7.0,9.2,6.2,2.5,1.7,5.2,4.0,26.5,,96,104
2001,22.0,LAL,NBA,SG,16,16,694,12.6,26.9,0.469,0.8,2.6,0.324,11.8,24.4,0.485,9.3,11.4,0.821,2.2,6.5,8.7,7.3,1.9,0.9,3.8,4.0,35.4,,116,99
2002,23.0,LAL,NBA,SG,19,19,833,11.8,27.1,0.434,1.4,3.7,0.379,10.4,23.5,0.442,6.9,9.1,0.759,1.8,5.2,7.0,5.5,1.7,1.1,3.4,4.1,31.9,,106,103
2003,24.0,LAL,NBA,SG,12,12,531,13.3,30.9,0.432,2.4,6.0,0.403,10.9,24.8,0.439,8.4,10.1,0.827,1.6,4.4,5.9,6.0,1.4,0.1,4.1,3.4,37.5,,108,110
2004,25.0,LAL,NBA,SG,22,22,973,10.8,26.2,0.413,1.4,5.5,0.247,9.5,20.7,0.457,7.7,9.5,0.813,1.0,4.9,5.9,6.9,2.4,0.4,3.5,3.4,30.7,,103,101
2006,27.0,LAL,NBA,SG,7,7,314,12.0,24.2,0.497,2.3,5.8,0.4,9.7,18.3,0.527,6.2,8.0,0.771,0.7,6.7,7.3,6.0,1.3,0.5,5.5,4.2,32.5,,108,114
2007,28.0,LAL,NBA,SG,5,5,215,14.2,30.7,0.462,2.4,6.6,0.357,11.8,24.1,0.49,8.0,8.7,0.919,0.2,5.9,6.1,5.2,1.2,0.5,5.2,2.4,38.8,,111,116
2008,29.0,LAL,NBA,SG,21,21,863,13.3,27.8,0.479,1.9,6.4,0.302,11.4,21.4,0.532,9.4,11.6,0.809,1.1,6.1,7.1,7.0,2.1,0.5,4.2,3.5,38.0,,113,108
2009,30.0,LAL,NBA,SG,23,23,940,13.6,29.7,0.457,2.1,5.9,0.349,11.5,23.8,0.483,9.8,11.0,0.883,1.1,5.8,6.9,7.1,2.1,1.2,3.3,3.3,39.0,,117,104
2010,31.0,LAL,NBA,SG,23,23,923,13.6,29.7,0.458,2.8,7.6,0.374,10.7,22.1,0.487,8.9,10.6,0.842,1.5,6.5,8.0,7.3,1.8,0.9,4.6,4.4,38.9,,115,109
2011,32.0,LAL,NBA,SG,10,10,354,13.0,29.2,0.446,1.9,6.4,0.293,11.1,22.7,0.49,7.8,9.6,0.82,1.3,4.1,5.3,5.2,2.5,0.5,4.9,3.6,35.8,,105,110
2012,33.0,LAL,NBA,SG,12,12,476,14.9,34.0,0.439,1.9,6.8,0.283,13.0,27.2,0.477,8.9,10.7,0.832,1.8,4.7,6.6,5.9,1.8,0.2,3.8,3.7,40.7,,109,112
