Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,19.0,CHI,NBA,SF,61.0,45.0,1663.0,280.0,645.0,0.434,31.0,117.0,0.265,249.0,528.0,0.472,0.458,120.0,162.0,0.741,92.0,230.0,322.0,135.0,48.0,27.0,118.0,98.0,711.0
2006,20.0,CHI,NBA,SF,78.0,56.0,2604.0,442.0,954.0,0.463,21.0,78.0,0.269,421.0,876.0,0.481,0.474,207.0,276.0,0.75,127.0,389.0,516.0,147.0,72.0,50.0,105.0,128.0,1112.0
2007,21.0,CHI,NBA,SF,82.0,82.0,3071.0,630.0,1218.0,0.517,1.0,7.0,0.143,629.0,1211.0,0.519,0.518,279.0,359.0,0.777,148.0,431.0,579.0,204.0,97.0,48.0,153.0,167.0,1540.0
2008,22.0,CHI,NBA,SF,63.0,59.0,2128.0,429.0,896.0,0.479,8.0,22.0,0.364,421.0,874.0,0.482,0.483,204.0,265.0,0.77,136.0,258.0,394.0,155.0,57.0,29.0,120.0,117.0,1070.0
2009,23.0,CHI,NBA,SF,49.0,46.0,1665.0,265.0,591.0,0.448,8.0,20.0,0.4,257.0,571.0,0.45,0.455,152.0,191.0,0.796,80.0,215.0,295.0,94.0,60.0,25.0,72.0,85.0,690.0
2010,24.0,CHI,NBA,SF,70.0,69.0,2651.0,473.0,1014.0,0.466,32.0,83.0,0.386,441.0,931.0,0.474,0.482,252.0,330.0,0.764,131.0,381.0,512.0,143.0,66.0,61.0,134.0,129.0,1230.0
2011,25.0,CHI,NBA,SF,82.0,82.0,3208.0,531.0,1155.0,0.46,115.0,333.0,0.345,416.0,822.0,0.506,0.51,253.0,336.0,0.753,116.0,360.0,476.0,230.0,78.0,48.0,156.0,162.0,1430.0
2012,26.0,CHI,NBA,SF,54.0,54.0,2129.0,311.0,755.0,0.412,79.0,215.0,0.367,232.0,540.0,0.43,0.464,127.0,165.0,0.77,77.0,273.0,350.0,157.0,56.0,36.0,96.0,81.0,828.0
2013,27.0,CHI,NBA,SF,75.0,75.0,2903.0,466.0,1093.0,0.426,75.0,233.0,0.322,391.0,860.0,0.455,0.461,230.0,282.0,0.816,162.0,314.0,476.0,222.0,81.0,32.0,144.0,105.0,1237.0
2014,28.0,TOT,NBA,SF,63.0,63.0,2213.0,371.0,860.0,0.431,57.0,189.0,0.302,314.0,671.0,0.468,0.465,212.0,268.0,0.791,99.0,262.0,361.0,183.0,62.0,9.0,114.0,111.0,1011.0
2014,28.0,CHI,NBA,SF,23.0,23.0,860.0,160.0,354.0,0.452,17.0,62.0,0.274,143.0,292.0,0.49,0.476,101.0,124.0,0.815,40.0,118.0,158.0,85.0,24.0,4.0,59.0,53.0,438.0
2014,28.0,CLE,NBA,SF,40.0,40.0,1353.0,211.0,506.0,0.417,40.0,127.0,0.315,171.0,379.0,0.451,0.457,111.0,144.0,0.771,59.0,144.0,203.0,98.0,38.0,5.0,55.0,58.0,573.0
2015,29.0,MIA,NBA,SF,72.0,72.0,2421.0,369.0,787.0,0.469,78.0,220.0,0.355,291.0,567.0,0.513,0.518,191.0,251.0,0.761,103.0,273.0,376.0,139.0,65.0,22.0,108.0,109.0,1007.0
2016,30.0,MIA,NBA,PF,74.0,73.0,2394.0,339.0,745.0,0.455,88.0,256.0,0.344,251.0,489.0,0.513,0.514,145.0,192.0,0.755,108.0,335.0,443.0,140.0,74.0,29.0,81.0,122.0,911.0
2017,31.0,LAL,NBA,SF,56.0,49.0,1486.0,164.0,424.0,0.387,51.0,165.0,0.309,113.0,259.0,0.436,0.447,46.0,63.0,0.73,63.0,232.0,295.0,74.0,48.0,20.0,43.0,61.0,425.0
2018,32.0,LAL,NBA,SF,1.0,1.0,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2019,33.0,MIN,NBA,SF,22.0,2.0,392.0,59.0,118.0,0.5,14.0,44.0,0.318,45.0,74.0,0.608,0.559,25.0,35.0,0.714,20.0,53.0,73.0,18.0,15.0,8.0,14.0,24.0,157.0
