Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1988,22.0,NYK,NBA,PG,4.0,4.0,171.0,6.5,17.8,0.367,1.5,3.6,0.417,5.1,14.3,0.354,2.4,3.3,0.727,1.8,3.9,5.7,11.6,3.0,0.0,4.2,3.9,17.0,,98.0,117.0
1989,23.0,NYK,NBA,PG,9.0,9.0,336.0,7.7,15.1,0.51,1.7,4.2,0.393,6.0,10.9,0.556,2.9,4.2,0.679,1.1,3.6,4.7,13.7,1.5,0.5,4.2,1.4,19.9,,117.0,114.0
1990,24.0,NYK,NBA,PG,9.0,0.0,81.0,8.1,19.3,0.419,0.0,1.2,0.0,8.1,18.1,0.448,5.0,6.8,0.727,0.6,2.5,3.1,13.1,1.2,0.0,4.4,3.1,21.2,,101.0,120.0
1991,25.0,NYK,NBA,PG,3.0,0.0,36.0,1.5,4.4,0.333,0.0,0.0,,1.5,4.4,0.333,0.0,0.0,,0.0,0.0,0.0,11.6,1.5,1.5,7.3,1.5,2.9,,61.0,118.0
1992,26.0,NYK,NBA,PG,12.0,12.0,368.0,5.7,14.2,0.402,0.6,3.2,0.19,5.1,10.9,0.465,3.4,4.2,0.815,1.8,2.3,4.2,13.3,1.5,0.0,4.6,4.0,15.4,,103.0,108.0
1993,27.0,LAC,NBA,PG,5.0,5.0,188.0,7.6,17.3,0.438,0.3,0.5,0.5,7.3,16.8,0.435,5.1,6.0,0.864,2.2,5.7,7.8,10.3,2.2,0.3,3.5,2.2,20.6,,108.0,104.0
1995,29.0,IND,NBA,PG,17.0,17.0,554.0,5.9,12.9,0.454,1.6,4.0,0.4,4.3,9.0,0.478,3.4,4.6,0.739,2.7,6.2,8.9,12.1,1.5,0.0,4.1,3.4,16.7,,116.0,112.0
1996,30.0,IND,NBA,PG,5.0,5.0,186.0,5.6,15.8,0.353,1.2,5.6,0.222,4.3,10.2,0.424,4.0,5.3,0.765,0.9,6.8,7.8,9.3,1.9,0.0,4.0,2.8,16.5,,100.0,105.0
1998,32.0,IND,NBA,PG,16.0,16.0,494.0,6.0,14.5,0.417,1.6,4.2,0.378,4.4,10.3,0.433,3.1,3.9,0.794,2.1,6.3,8.3,15.2,2.6,0.0,5.4,3.2,16.8,,106.0,103.0
1999,33.0,IND,NBA,PG,13.0,13.0,451.0,6.3,12.6,0.495,1.7,4.2,0.412,4.5,8.5,0.536,3.7,5.2,0.714,1.7,5.5,7.2,13.7,1.7,0.1,4.3,3.9,17.9,,119.0,105.0
2001,35.0,NYK,NBA,PG,5.0,5.0,156.0,7.0,14.0,0.5,0.7,2.8,0.25,6.3,11.2,0.563,1.1,1.1,1.0,1.1,8.1,9.1,9.1,2.8,0.0,3.5,2.1,15.8,,106.0,102.0
2003,37.0,UTA,NBA,PG,5.0,0.0,83.0,9.7,19.4,0.5,3.2,5.8,0.556,6.5,13.6,0.476,0.6,0.6,1.0,1.3,1.9,3.2,10.4,1.9,0.0,2.6,7.1,23.3,,123.0,120.0
2004,38.0,HOU,NBA,PG,5.0,0.0,38.0,1.4,8.6,0.167,0.0,4.3,0.0,1.4,4.3,0.333,0.0,0.0,,0.0,4.3,4.3,7.2,2.9,0.0,2.9,1.4,2.9,,54.0,100.0
