Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20.0,MEM,NBA,PG,53.0,46.0,1381.0,189.0,442.0,0.428,30.0,91.0,0.33,159.0,351.0,0.453,0.462,90.0,123.0,0.732,21.0,118.0,139.0,222.0,44.0,2.0,89.0,85.0,498.0
2008-09,21.0,MEM,NBA,PG,82.0,61.0,2508.0,323.0,730.0,0.442,88.0,217.0,0.406,235.0,513.0,0.458,0.503,161.0,197.0,0.817,25.0,251.0,276.0,354.0,90.0,8.0,143.0,146.0,895.0
2009-10,22.0,MEM,NBA,PG,80.0,80.0,2569.0,369.0,830.0,0.445,82.0,212.0,0.387,287.0,618.0,0.464,0.494,139.0,187.0,0.743,30.0,161.0,191.0,425.0,109.0,12.0,170.0,178.0,959.0
2010-11,23.0,MEM,NBA,PG,81.0,81.0,2872.0,423.0,953.0,0.444,80.0,217.0,0.369,343.0,736.0,0.466,0.486,181.0,247.0,0.733,32.0,215.0,247.0,528.0,144.0,18.0,176.0,182.0,1107.0
2011-12,24.0,MEM,NBA,PG,62.0,61.0,2174.0,296.0,684.0,0.433,60.0,159.0,0.377,236.0,525.0,0.45,0.477,136.0,158.0,0.861,22.0,134.0,156.0,404.0,136.0,11.0,125.0,133.0,788.0
2012-13,25.0,MEM,NBA,PG,80.0,80.0,2757.0,414.0,940.0,0.44,106.0,293.0,0.362,308.0,647.0,0.476,0.497,234.0,282.0,0.83,43.0,182.0,225.0,487.0,174.0,24.0,189.0,171.0,1168.0
2013-14,26.0,MEM,NBA,PG,73.0,73.0,2446.0,463.0,1030.0,0.45,105.0,291.0,0.361,358.0,739.0,0.484,0.5,225.0,276.0,0.815,41.0,172.0,213.0,441.0,110.0,13.0,150.0,141.0,1256.0
2014-15,27.0,MEM,NBA,PG,70.0,70.0,2225.0,393.0,882.0,0.446,107.0,277.0,0.386,286.0,605.0,0.473,0.506,214.0,249.0,0.859,29.0,180.0,209.0,375.0,89.0,14.0,156.0,139.0,1107.0
2015-16,28.0,MEM,NBA,PG,56.0,56.0,1761.0,294.0,696.0,0.422,78.0,215.0,0.363,216.0,481.0,0.449,0.478,191.0,229.0,0.834,26.0,138.0,164.0,342.0,67.0,16.0,84.0,100.0,857.0
2016-17,29.0,MEM,NBA,PG,69.0,68.0,2292.0,464.0,1009.0,0.46,171.0,419.0,0.408,293.0,590.0,0.497,0.545,316.0,368.0,0.859,31.0,210.0,241.0,433.0,92.0,19.0,156.0,126.0,1415.0
2017-18,30.0,MEM,NBA,PG,12.0,12.0,373.0,64.0,168.0,0.381,24.0,77.0,0.312,40.0,91.0,0.44,0.452,53.0,66.0,0.803,0.0,27.0,27.0,49.0,12.0,3.0,18.0,24.0,205.0
2018-19,31.0,MEM,NBA,PG,70.0,70.0,2342.0,490.0,1120.0,0.438,155.0,426.0,0.364,335.0,694.0,0.483,0.507,343.0,406.0,0.845,40.0,199.0,239.0,449.0,94.0,22.0,130.0,123.0,1478.0
2019-20,32.0,UTA,NBA,PG,47.0,41.0,1363.0,232.0,567.0,0.409,96.0,256.0,0.375,136.0,311.0,0.437,0.494,115.0,139.0,0.827,33.0,118.0,151.0,208.0,36.0,5.0,92.0,104.0,675.0
2020-21,33.0,UTA,NBA,PG,11.0,11.0,333.0,66.0,146.0,0.452,34.0,79.0,0.43,32.0,67.0,0.478,0.568,24.0,31.0,0.774,11.0,36.0,47.0,62.0,12.0,1.0,25.0,22.0,190.0
