Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014,1,2095,ATL,Atlanta Hawks,Mike Muscala,"July 1, 1991",22.0,NBA,PF,20.0,215.0,10.8,0.48,0.04,0.19,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,0.04,-4.5,-1.0,-5.5,-0.2
2015,1,2095,ATL,Atlanta Hawks,Mike Muscala,"July 1, 1991",23.0,NBA,PF,40.0,502.0,18.0,0.61,0.15,0.17,12.2,14.8,13.5,8.0,1.6,3.2,11.5,16.7,1.2,0.7,1.9,0.18,0.3,-0.2,0.1,0.3
2016,1,2095,ATL,Atlanta Hawks,Mike Muscala,"July 1, 1991",24.0,NBA,C,60.0,565.0,13.6,0.58,0.26,0.26,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,0.7,0.9,1.6,0.14,-2.1,1.2,-0.9,0.2
2017,1,2095,ATL,Atlanta Hawks,Mike Muscala,"July 1, 1991",25.0,NBA,C,70.0,1237.0,14.4,0.6,0.33,0.19,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,1.8,1.6,3.4,0.13,-0.1,1.2,1.1,1.0
2018,1,2095,ATL,Atlanta Hawks,Mike Muscala,"July 1, 1991",26.0,NBA,C,53.0,1060.0,14.4,0.6,0.54,0.2,5.9,18.3,12.1,7.3,1.4,2.2,11.0,15.7,1.5,0.9,2.4,0.11,0.3,0.1,0.3,0.6
2019,31,2095,TOT,Total After Trade,Mike Muscala,"July 1, 1991",27.0,NBA,PF,64.0,1306.0,10.8,0.56,0.71,0.24,4.7,14.7,9.8,7.7,0.8,2.3,10.8,14.3,1.2,1.2,2.5,0.09,-0.8,-0.3,-1.1,0.3
2019,23,2095,PHI,Philadelphia 76Ers,Mike Muscala,"July 1, 1991",27.0,NBA,PF,47.0,1041.0,10.4,0.56,0.72,0.28,5.3,14.7,10.2,7.9,0.8,2.0,12.1,14.3,0.9,1.0,1.9,0.09,-1.1,-0.4,-1.5,0.1
2019,14,2095,LAL,Los Angeles Lakers,Mike Muscala,"July 1, 1991",27.0,NBA,PF,17.0,265.0,12.5,0.58,0.69,0.1,2.4,14.5,8.6,7.1,0.7,3.4,5.5,14.3,0.3,0.3,0.6,0.11,0.3,0.4,0.7,0.2
2020,21,2095,OKC,Oklahoma City Thunder,Mike Muscala,"July 1, 1991",28.0,NBA,C,47.0,572.0,12.5,0.57,0.76,0.12,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,0.7,0.6,1.3,0.11,0.1,-0.2,-0.1,0.3
2021,21,2095,OKC,Oklahoma City Thunder,Mike Muscala,"July 1, 1991",29.0,NBA,C,20.0,359.0,13.9,0.6,0.74,0.12,3.2,16.8,10.1,5.2,0.8,1.7,8.4,20.2,0.3,0.3,0.6,0.08,0.6,-1.7,-1.1,0.1
