Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,20,3165,NYK,New York Knicks,Monty Williams,"October 8, 1971",23.0,NBA,SF,41.0,23.0,12.3,1.5,3.2,0.45,0.0,0.2,0.0,1.5,3.0,0.48,0.45,0.4,0.9,0.45,1.0,1.4,2.4,1.2,0.5,0.1,1.0,2.1,3.3
1996,31,3165,TOT,Total After Trade,Monty Williams,"October 8, 1971",24.0,NBA,SF,31.0,0.0,5.9,0.9,2.2,0.4,0.0,0.0,0.0,0.9,2.2,0.4,0.4,0.5,0.6,0.7,0.6,0.6,1.3,0.3,0.2,0.1,0.6,0.8,2.2
1996,20,3165,NYK,New York Knicks,Monty Williams,"October 8, 1971",24.0,NBA,SF,14.0,0.0,4.4,0.5,1.6,0.32,0.0,0.0,,0.5,1.6,0.32,0.32,0.4,0.6,0.62,0.6,0.6,1.2,0.3,0.1,0.0,0.4,0.6,1.4
1996,27,3165,SAS,San Antonio Spurs,Monty Williams,"October 8, 1971",24.0,NBA,SF,17.0,0.0,7.2,1.2,2.7,0.44,0.0,0.1,0.0,1.2,2.6,0.44,0.44,0.5,0.7,0.75,0.6,0.7,1.4,0.2,0.2,0.1,0.8,1.0,2.9
1997,27,3165,SAS,San Antonio Spurs,Monty Williams,"October 8, 1971",25.0,NBA,SF,65.0,26.0,20.7,3.6,7.1,0.51,0.0,0.0,0.0,3.6,7.1,0.51,0.51,1.8,2.9,0.64,1.5,1.7,3.2,1.4,0.8,0.8,1.8,2.5,9.0
1998,27,3165,SAS,San Antonio Spurs,Monty Williams,"October 8, 1971",26.0,NBA,SF,72.0,16.0,18.3,2.3,5.1,0.45,0.0,0.0,0.5,2.3,5.1,0.45,0.45,1.7,2.5,0.67,0.9,1.6,2.5,1.2,0.5,0.3,1.1,1.8,6.3
1999,8,3165,DEN,Denver Nuggets,Monty Williams,"October 8, 1971",27.0,NBA,SF,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001,22,3165,ORL,Orlando Magic,Monty Williams,"October 8, 1971",29.0,NBA,SF,82.0,0.0,14.8,2.0,4.4,0.44,0.0,0.2,0.08,2.0,4.3,0.46,0.45,1.0,1.6,0.64,1.0,1.9,3.0,1.0,0.4,0.2,1.0,1.7,5.0
2002,22,3165,ORL,Orlando Magic,Monty Williams,"October 8, 1971",30.0,NBA,SF,68.0,19.0,18.9,2.9,5.3,0.55,0.0,0.1,0.0,2.9,5.3,0.55,0.55,1.3,2.0,0.66,1.2,2.3,3.5,1.4,0.7,0.3,1.3,2.0,7.1
2003,23,3165,PHI,Philadelphia 76Ers,Monty Williams,"October 8, 1971",31.0,NBA,SF,21.0,2.0,13.1,1.6,3.8,0.42,0.0,0.1,0.0,1.6,3.7,0.44,0.42,1.1,1.5,0.75,0.6,1.6,2.1,1.2,0.6,0.2,0.8,1.6,4.4
