Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,22.0,ORL,NBA,SG,81.0,9.0,1785.0,7.5,15.2,0.494,0.0,0.3,0.059,7.5,14.8,0.504,3.8,5.3,0.705,2.2,4.2,6.4,2.5,1.4,0.7,2.8,2.8,18.8
1991,23.0,ORL,NBA,SG,70.0,42.0,1971.0,7.3,15.7,0.467,0.3,1.1,0.293,7.0,14.6,0.479,3.2,4.7,0.668,1.7,5.4,7.1,1.9,1.4,0.8,2.1,2.6,18.1
1992,24.0,ORL,NBA,SG,60.0,59.0,2203.0,7.9,17.0,0.463,0.5,1.4,0.353,7.4,15.6,0.472,3.3,5.0,0.667,1.6,4.7,6.3,2.7,1.6,0.5,2.1,2.2,19.5
1993,25.0,ORL,NBA,SG,79.0,76.0,2920.0,7.3,16.3,0.449,1.1,3.1,0.353,6.2,13.3,0.471,3.7,5.0,0.741,1.5,4.4,5.9,3.3,1.6,0.7,2.0,2.5,19.4
1994,26.0,ORL,NBA,SG,81.0,81.0,2811.0,6.5,13.5,0.478,1.3,4.0,0.322,5.2,9.5,0.545,2.2,3.2,0.672,1.4,4.6,6.1,3.8,1.7,0.4,2.1,1.9,16.4
1995,27.0,ORL,NBA,SG,76.0,76.0,2588.0,6.1,12.8,0.476,2.5,6.0,0.415,3.6,6.8,0.528,2.0,2.8,0.704,1.2,3.5,4.7,4.4,1.7,0.3,2.0,1.7,16.7
1996,28.0,ORL,NBA,SG,77.0,77.0,2717.0,5.3,12.0,0.442,2.2,5.7,0.391,3.1,6.3,0.489,2.2,3.2,0.692,1.2,4.3,5.5,3.7,1.6,0.6,1.9,1.8,15.0
1997,29.0,ORL,NBA,SG,63.0,61.0,2163.0,4.8,12.1,0.397,2.4,6.7,0.353,2.4,5.3,0.453,0.6,1.6,0.404,1.1,4.0,5.1,3.0,2.0,0.5,1.4,2.7,12.6
1998,30.0,ORL,NBA,SF,58.0,44.0,1701.0,7.3,16.0,0.455,1.6,4.5,0.36,5.6,11.4,0.493,2.7,4.2,0.638,2.1,4.2,6.3,2.5,1.5,0.5,1.8,2.1,18.8
1999,31.0,ORL,NBA,SF,47.0,39.0,1581.0,5.8,14.6,0.395,2.2,6.3,0.347,3.6,8.3,0.433,2.3,3.7,0.611,1.2,5.1,6.3,2.1,1.5,0.3,1.9,1.6,16.0
2001,33.0,SAC,NBA,SG,21.0,0.0,169.0,3.0,12.1,0.246,2.1,8.3,0.256,0.9,3.8,0.222,0.0,0.0,,0.6,4.7,5.3,2.8,2.1,0.9,1.5,2.8,8.1
2002,34.0,MEM,NBA,SG,15.0,0.0,219.0,3.5,12.5,0.276,2.1,7.9,0.271,1.3,4.6,0.286,0.8,1.5,0.556,0.2,5.3,5.4,2.3,1.0,1.0,2.3,2.8,9.9
