Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,18,2445,MIN,Minnesota Timberwolves,23.0,NBA,PG,82.0,48.0,2581.0,5.9,12.9,0.46,0.3,1.2,0.28,5.6,11.7,0.48,0.9,1.5,0.59,0.8,2.3,3.0,7.7,1.9,0.3,2.0,2.0,13.1
1991,18,2445,MIN,Minnesota Timberwolves,24.0,NBA,PG,82.0,82.0,3154.0,7.2,15.4,0.47,0.5,1.5,0.33,6.8,13.9,0.48,1.0,1.9,0.54,0.9,2.3,3.3,8.4,1.5,0.1,2.0,1.3,16.0
1992,18,2445,MIN,Minnesota Timberwolves,25.0,NBA,PG,82.0,82.0,2922.0,7.2,15.5,0.47,0.7,1.9,0.34,6.6,13.6,0.48,1.5,2.2,0.69,1.1,2.6,3.7,8.4,1.5,0.3,2.5,1.9,16.6
1993,12,2445,IND,Indiana Pacers,26.0,NBA,PG,74.0,73.0,2396.0,5.1,10.6,0.48,0.0,0.4,0.1,5.0,10.1,0.5,1.4,1.9,0.74,0.9,3.1,4.0,8.6,1.4,0.2,2.5,2.0,11.6
1994,12,2445,IND,Indiana Pacers,27.0,NBA,PG,37.0,25.0,1022.0,5.6,12.5,0.45,0.1,0.4,0.25,5.5,12.0,0.46,1.7,2.7,0.61,1.0,2.9,3.9,8.3,1.1,0.1,3.1,2.7,13.0
1995,13,2445,LAC,Los Angeles Clippers,28.0,NBA,PG,80.0,77.0,2864.0,4.4,11.3,0.39,1.1,3.1,0.36,3.3,8.2,0.41,1.0,1.6,0.65,0.5,2.8,3.3,7.9,1.6,0.2,2.1,2.7,11.0
1996,13,2445,LAC,Los Angeles Clippers,29.0,NBA,PG,63.0,61.0,2013.0,5.0,11.9,0.42,1.7,4.4,0.38,3.3,7.5,0.45,1.4,1.9,0.74,0.6,2.2,2.8,6.1,1.4,0.2,1.7,2.4,13.1
1997,13,2445,LAC,Los Angeles Clippers,30.0,NBA,PG,59.0,18.0,1065.0,4.4,11.6,0.38,1.4,4.3,0.33,3.0,7.3,0.41,0.9,1.5,0.6,0.8,2.5,3.3,5.7,1.8,0.2,2.1,2.8,11.2
1998,13,2445,LAC,Los Angeles Clippers,31.0,NBA,PG,69.0,17.0,1252.0,3.6,9.6,0.37,0.3,1.6,0.19,3.2,7.9,0.41,0.9,1.2,0.7,0.5,2.3,2.8,6.5,1.3,0.1,1.6,2.0,8.3
1999,13,2445,LAC,Los Angeles Clippers,32.0,NBA,PG,11.0,0.0,130.0,3.3,10.0,0.33,0.0,1.7,0.0,3.3,8.3,0.4,1.1,1.1,1.0,0.3,3.3,3.6,8.3,1.1,0.0,2.5,1.4,7.8
