Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,23.0,MIN,NBA,PG,82.0,48.0,2581.0,8.7,18.9,0.461,0.5,1.7,0.277,8.2,17.2,0.479,1.3,2.2,0.589,1.1,3.3,4.4,11.3,2.7,0.5,2.9,2.9,19.2,,106.0,109.0
1991,24.0,MIN,NBA,PG,82.0,82.0,3154.0,10.5,22.3,0.47,0.7,2.1,0.328,9.8,20.1,0.485,1.5,2.7,0.539,1.4,3.4,4.7,12.1,2.2,0.2,2.9,1.9,23.1,,110.0,113.0
1992,25.0,MIN,NBA,PG,82.0,82.0,2922.0,10.1,21.8,0.466,0.9,2.7,0.342,9.2,19.1,0.483,2.1,3.1,0.691,1.6,3.6,5.2,11.8,2.1,0.4,3.5,2.6,23.3,,107.0,114.0
1993,26.0,IND,NBA,PG,74.0,73.0,2396.0,7.0,14.7,0.479,0.1,0.6,0.103,7.0,14.1,0.496,1.9,2.6,0.742,1.3,4.3,5.6,12.0,2.0,0.3,3.5,2.8,16.1,,109.0,111.0
1994,27.0,IND,NBA,PG,37.0,25.0,1022.0,8.1,17.8,0.452,0.2,0.6,0.25,7.9,17.2,0.459,2.4,3.9,0.61,1.4,4.1,5.5,11.9,1.6,0.2,4.4,3.9,18.6,,101.0,107.0
1995,28.0,LAC,NBA,PG,80.0,77.0,2864.0,6.3,15.9,0.394,1.5,4.3,0.357,4.7,11.6,0.407,1.4,2.2,0.648,0.7,4.0,4.6,11.2,2.3,0.2,3.0,3.9,15.5,,102.0,112.0
1996,29.0,LAC,NBA,PG,63.0,61.0,2013.0,7.2,17.0,0.423,2.4,6.3,0.384,4.8,10.7,0.446,2.0,2.7,0.743,0.9,3.1,4.0,8.7,2.0,0.3,2.4,3.4,18.8,,112.0,113.0
1997,30.0,LAC,NBA,PG,59.0,18.0,1065.0,6.5,17.0,0.381,2.1,6.3,0.328,4.4,10.7,0.412,1.3,2.1,0.605,1.2,3.6,4.8,8.3,2.7,0.2,3.1,4.0,16.3,,99.0,109.0
1998,31.0,LAC,NBA,PG,69.0,17.0,1252.0,5.1,13.8,0.372,0.5,2.4,0.193,4.7,11.5,0.409,1.2,1.8,0.698,0.7,3.3,4.0,9.4,1.8,0.1,2.2,2.9,12.0,,99.0,114.0
1999,32.0,LAC,NBA,PG,11.0,0.0,130.0,5.0,14.9,0.333,0.0,2.5,0.0,5.0,12.4,0.4,1.7,1.7,1.0,0.4,5.0,5.4,12.4,1.7,0.0,3.7,2.1,11.6,,89.0,112.0
