Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2001,17,60,MIL,Milwaukee Bucks,Rafer Alston,"July 24, 1976",24.0,NBA,PG,37.0,2.0,288.0,30.0,84.0,0.36,8.0,30.0,0.27,22.0,54.0,0.41,0.4,9.0,13.0,0.69,4.0,27.0,31.0,68.0,13.0,0.0,20.0,27.0,77.0,,0.0
2002,17,60,MIL,Milwaukee Bucks,Rafer Alston,"July 24, 1976",25.0,NBA,PG,50.0,7.0,600.0,66.0,191.0,0.35,27.0,71.0,0.38,39.0,120.0,0.32,0.42,18.0,29.0,0.62,10.0,62.0,72.0,143.0,32.0,2.0,40.0,42.0,177.0,,0.0
2003,28,60,TOR,Toronto Raptors,Rafer Alston,"July 24, 1976",26.0,NBA,PG,47.0,4.0,980.0,139.0,335.0,0.42,51.0,130.0,0.39,88.0,205.0,0.43,0.49,37.0,54.0,0.68,21.0,86.0,107.0,192.0,38.0,15.0,86.0,120.0,366.0,,0.0
2004,16,60,MIA,Miami Heat,Rafer Alston,"July 24, 1976",27.0,NBA,PG,82.0,28.0,2581.0,287.0,764.0,0.38,161.0,434.0,0.37,126.0,330.0,0.38,0.48,103.0,134.0,0.77,26.0,200.0,226.0,372.0,114.0,18.0,128.0,212.0,838.0,,0.0
2005,28,60,TOR,Toronto Raptors,Rafer Alston,"July 24, 1976",28.0,NBA,PG,80.0,78.0,2717.0,403.0,974.0,0.41,139.0,389.0,0.36,264.0,585.0,0.45,0.48,191.0,258.0,0.74,42.0,237.0,279.0,514.0,118.0,7.0,170.0,212.0,1136.0,,0.0
2006,11,60,HOU,Houston Rockets,Rafer Alston,"July 24, 1976",29.0,NBA,PG,63.0,63.0,2431.0,280.0,738.0,0.38,102.0,312.0,0.33,178.0,426.0,0.42,0.45,99.0,143.0,0.69,36.0,219.0,255.0,425.0,101.0,15.0,157.0,194.0,761.0,,0.0
2007,11,60,HOU,Houston Rockets,Rafer Alston,"July 24, 1976",30.0,NBA,PG,82.0,82.0,3040.0,383.0,1020.0,0.38,192.0,529.0,0.36,191.0,491.0,0.39,0.47,130.0,177.0,0.73,29.0,253.0,282.0,444.0,129.0,10.0,170.0,195.0,1088.0,,0.0
2008,11,60,HOU,Houston Rockets,Rafer Alston,"July 24, 1976",31.0,NBA,PG,74.0,74.0,2526.0,364.0,924.0,0.39,143.0,407.0,0.35,221.0,517.0,0.43,0.47,98.0,137.0,0.72,28.0,232.0,260.0,392.0,98.0,18.0,160.0,139.0,969.0,,0.0
2009,31,60,TOT,Total After Trade,Rafer Alston,"July 24, 1976",32.0,NBA,PG,77.0,76.0,2447.0,316.0,820.0,0.38,112.0,331.0,0.34,204.0,489.0,0.42,0.45,156.0,208.0,0.75,33.0,194.0,227.0,406.0,108.0,10.0,140.0,135.0,900.0,,0.0
2009,11,60,HOU,Houston Rockets,Rafer Alston,"July 24, 1976",32.0,NBA,PG,48.0,48.0,1591.0,193.0,522.0,0.37,80.0,230.0,0.35,113.0,292.0,0.39,0.45,86.0,109.0,0.79,25.0,119.0,144.0,258.0,57.0,7.0,88.0,72.0,552.0,,0.0
2009,22,60,ORL,Orlando Magic,Rafer Alston,"July 24, 1976",32.0,NBA,PG,29.0,28.0,856.0,123.0,298.0,0.41,32.0,101.0,0.32,91.0,197.0,0.46,0.47,70.0,99.0,0.71,8.0,75.0,83.0,148.0,51.0,3.0,52.0,63.0,348.0,,0.0
2010,31,60,TOT,Total After Trade,Rafer Alston,"July 24, 1976",33.0,NBA,PG,52.0,38.0,1421.0,155.0,446.0,0.35,58.0,168.0,0.34,97.0,278.0,0.35,0.41,59.0,81.0,0.73,13.0,116.0,129.0,176.0,50.0,10.0,95.0,103.0,427.0,,1.0
2010,3,60,NJN,New Jersey Nets,Rafer Alston,"July 24, 1976",33.0,NBA,PG,27.0,13.0,766.0,95.0,277.0,0.34,28.0,87.0,0.32,67.0,190.0,0.35,0.39,44.0,54.0,0.82,9.0,66.0,75.0,104.0,27.0,5.0,61.0,50.0,262.0,,1.0
2010,16,60,MIA,Miami Heat,Rafer Alston,"July 24, 1976",33.0,NBA,PG,25.0,25.0,655.0,60.0,169.0,0.36,30.0,81.0,0.37,30.0,88.0,0.34,0.44,15.0,27.0,0.56,4.0,50.0,54.0,72.0,23.0,5.0,34.0,53.0,165.0,,0.0
