Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",21.0,NBA,PG,41.0,31.0,1404.0,3.6,10.0,0.36,0.8,2.4,0.34,2.7,7.6,0.36,3.2,4.0,0.8,0.5,3.8,4.4,8.6,2.3,0.2,3.4,2.5,11.2
2013,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",22.0,NBA,PG,57.0,47.0,1691.0,3.9,10.9,0.36,0.6,2.0,0.29,3.4,9.0,0.37,4.5,5.6,0.8,0.9,3.9,4.9,8.9,2.9,0.1,3.7,3.0,12.9
2014,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",23.0,NBA,PG,82.0,82.0,2638.0,3.5,9.1,0.38,0.6,1.8,0.33,2.9,7.3,0.39,3.1,3.9,0.8,0.8,3.8,4.7,9.6,2.6,0.2,3.0,3.0,10.7
2015,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",24.0,NBA,PG,22.0,22.0,692.0,4.1,11.4,0.36,0.7,2.7,0.26,3.4,8.7,0.39,3.0,3.7,0.8,1.0,5.5,6.5,10.0,2.0,0.1,3.3,3.1,11.8
2016,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",25.0,NBA,PG,76.0,76.0,2323.0,3.4,9.1,0.37,1.0,2.9,0.33,2.4,6.1,0.4,4.1,4.9,0.85,0.6,4.4,5.1,10.2,2.5,0.2,3.0,3.1,11.9
2017,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",26.0,NBA,PG,75.0,75.0,2469.0,3.8,9.5,0.4,0.9,2.9,0.31,2.9,6.6,0.44,3.7,4.2,0.89,1.0,3.5,4.4,9.9,1.9,0.1,2.8,2.9,12.2
2018,29,2525,UTA,Utah Jazz,Ricky Rubio,"October 21, 1990",27.0,NBA,PG,77.0,77.0,2254.0,5.5,13.2,0.42,1.5,4.4,0.35,4.0,8.8,0.45,3.5,4.1,0.87,0.7,4.9,5.6,6.5,1.9,0.2,3.3,3.3,16.1
2019,29,2525,UTA,Utah Jazz,Ricky Rubio,"October 21, 1990",28.0,NBA,PG,68.0,67.0,1899.0,5.6,13.8,0.4,1.5,4.8,0.31,4.1,9.0,0.45,3.7,4.3,0.86,0.6,4.0,4.6,7.9,1.7,0.2,3.4,3.4,16.4
2020,24,2525,PHO,Phoenix Suns,Ricky Rubio,"October 21, 1990",29.0,NBA,PG,65.0,65.0,2016.0,5.1,12.4,0.42,1.4,3.9,0.36,3.7,8.5,0.44,3.5,4.0,0.86,0.8,4.6,5.4,10.2,1.7,0.2,3.1,3.0,15.1
2021,18,2525,MIN,Minnesota Timberwolves,Ricky Rubio,"October 21, 1990",30.0,NBA,PG,28.0,13.0,705.0,3.5,9.5,0.37,0.9,3.2,0.27,2.7,6.4,0.42,2.3,2.9,0.82,0.6,4.2,4.8,9.2,1.8,0.0,3.0,3.2,10.3
