Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1987,23.0,CLE,NBA,SG,82.0,82.0,3064.0,11.4,25.0,0.455,0.3,1.5,0.213,11.0,23.5,0.47,6.0,8.7,0.684,2.6,3.4,6.1,6.1,3.2,1.3,5.3,3.8,29.0,,99.0,105.0
1988,24.0,CLE,NBA,SG,57.0,52.0,1830.0,9.2,19.7,0.464,0.1,0.5,0.15,9.1,19.2,0.473,5.3,7.5,0.705,1.7,4.3,6.0,7.6,3.3,1.4,4.3,4.2,23.7,,102.0,104.0
1989,25.0,CLE,NBA,SG,82.0,82.0,2851.0,10.1,19.7,0.511,0.5,2.0,0.25,9.6,17.7,0.54,5.5,7.4,0.751,2.1,4.9,7.0,7.5,3.2,1.3,4.0,3.8,26.2,,112.0,102.0
1990,26.0,TOT,NBA,SG,35.0,35.0,1367.0,10.7,22.7,0.473,0.5,1.8,0.275,10.2,20.9,0.49,6.5,8.2,0.788,2.6,4.7,7.4,6.5,2.9,1.5,3.6,3.7,28.5,,110.0,106.0
1990,26.0,CLE,NBA,SG,7.0,7.0,262.0,11.8,26.6,0.442,0.2,1.0,0.2,11.6,25.7,0.451,6.0,7.9,0.756,3.7,5.6,9.3,9.5,2.7,1.7,3.5,4.8,29.7,,108.0,105.0
1990,26.0,LAC,NBA,SG,28.0,28.0,1105.0,10.5,21.9,0.481,0.6,2.0,0.283,9.9,19.8,0.501,6.6,8.3,0.795,2.4,4.5,6.9,5.8,2.9,1.4,3.6,3.5,28.2,,111.0,106.0
1991,27.0,LAC,NBA,SG,39.0,34.0,1383.0,9.9,25.3,0.391,1.7,5.1,0.324,8.2,20.2,0.408,5.0,7.5,0.668,2.0,4.5,6.5,7.3,2.3,1.2,4.5,3.9,26.5,,96.0,107.0
1992,28.0,LAC,NBA,SG,82.0,82.0,3144.0,9.0,20.4,0.44,1.0,3.3,0.303,8.0,17.1,0.467,4.6,6.3,0.736,1.9,5.2,7.1,6.6,2.4,1.1,4.0,3.1,23.6,,102.0,105.0
1993,29.0,LAC,NBA,SG,80.0,77.0,2970.0,8.8,19.6,0.451,0.8,3.0,0.28,8.0,16.6,0.482,5.0,6.5,0.769,1.9,5.0,6.9,5.9,2.9,1.2,3.6,3.5,23.5,,105.0,106.0
1994,30.0,LAC,NBA,SG,75.0,75.0,2856.0,9.6,22.5,0.426,1.2,4.0,0.301,8.4,18.5,0.453,5.0,7.1,0.715,2.2,5.6,7.8,5.8,2.4,0.9,4.1,2.8,25.4,,99.0,108.0
1995,31.0,CHI,NBA,SG,77.0,53.0,1536.0,7.1,16.7,0.426,1.1,3.7,0.282,6.0,12.9,0.467,2.8,4.4,0.618,1.7,4.4,6.1,5.3,3.3,0.9,3.4,4.5,18.0,,98.0,103.0
1996,32.0,CHI,NBA,PG,80.0,80.0,1886.0,6.5,14.0,0.467,0.8,2.9,0.269,5.8,11.1,0.519,2.7,3.9,0.705,2.1,3.9,6.0,5.8,2.9,0.9,2.0,3.8,16.6,,117.0,102.0
1997,33.0,CHI,NBA,PG,76.0,74.0,1740.0,5.4,12.4,0.436,2.1,5.8,0.362,3.3,6.7,0.5,1.8,2.5,0.707,1.4,4.5,5.9,5.9,2.6,1.2,1.5,4.2,14.7,,120.0,102.0
1998,34.0,CHI,NBA,PG,82.0,82.0,2284.0,6.9,15.7,0.441,0.4,2.0,0.19,6.5,13.7,0.477,3.8,5.1,0.75,2.5,4.3,6.8,5.7,2.5,1.1,2.1,4.3,18.0,,111.0,100.0
1999,35.0,CHI,NBA,SG,35.0,35.0,1107.0,7.2,19.2,0.377,1.3,4.2,0.318,5.9,15.0,0.393,3.5,5.0,0.703,2.4,6.4,8.9,5.7,3.0,1.7,3.2,3.9,19.3,,93.0,100.0
2001,37.0,LAL,NBA,PG,47.0,46.0,1139.0,5.8,12.4,0.469,0.9,3.3,0.264,5.0,9.1,0.543,1.6,2.2,0.708,2.1,5.5,7.6,5.2,1.8,1.1,2.8,3.2,14.1,,104.0,105.0
