Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,26,2361,SAC,Sacramento Kings,22.0,NBA,PG,29.0,0.0,5.2,0.7,2.0,0.36,0.2,0.9,0.22,0.5,1.1,0.48,0.41,0.4,0.4,1.0,0.2,0.3,0.5,0.4,0.2,0.0,0.3,0.3,2.1
2007,26,2361,SAC,Sacramento Kings,23.0,NBA,PG,58.0,1.0,9.7,1.2,3.0,0.39,0.4,1.1,0.32,0.8,1.8,0.43,0.45,0.6,0.9,0.67,0.3,1.0,1.2,0.8,0.5,0.1,0.6,1.1,3.3
2008,29,2361,UTA,Utah Jazz,24.0,NBA,PG,61.0,3.0,9.6,1.4,3.3,0.43,0.4,1.2,0.35,1.0,2.1,0.48,0.5,0.4,0.6,0.68,0.1,0.6,0.8,1.3,0.5,0.0,0.5,1.4,3.7
2009,29,2361,UTA,Utah Jazz,25.0,NBA,PG,52.0,17.0,14.2,1.5,3.9,0.38,0.4,1.2,0.31,1.1,2.7,0.41,0.43,0.7,0.9,0.76,0.2,1.1,1.3,2.1,0.8,0.1,1.2,1.4,4.0
2010,29,2361,UTA,Utah Jazz,26.0,NBA,PG,60.0,4.0,13.4,1.6,4.0,0.4,0.3,1.1,0.29,1.3,3.0,0.45,0.44,0.7,1.0,0.7,0.5,0.8,1.2,2.1,0.7,0.2,0.9,1.8,4.3
2011,29,2361,UTA,Utah Jazz,27.0,NBA,SG,59.0,0.0,12.2,1.3,3.6,0.35,0.3,1.2,0.29,0.9,2.4,0.38,0.4,0.5,0.7,0.74,0.4,0.7,1.0,0.9,0.7,0.1,0.9,1.8,3.3
2012,24,2361,PHO,Phoenix Suns,28.0,NBA,PG,36.0,8.0,14.4,1.4,3.6,0.38,0.4,1.2,0.3,1.0,2.4,0.42,0.43,0.6,0.7,0.8,0.5,1.1,1.6,1.9,0.9,0.1,1.3,2.0,3.6
2013,25,2361,POR,Portland Trail Blazers,29.0,NBA,PG,39.0,0.0,13.1,1.0,3.1,0.32,0.3,1.0,0.26,0.7,2.1,0.36,0.37,0.4,0.6,0.71,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7
2014,22,2361,ORL,Orlando Magic,30.0,NBA,SG,31.0,2.0,12.2,0.9,3.0,0.3,0.3,1.4,0.21,0.6,1.6,0.39,0.35,0.3,0.4,0.69,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4
2015,14,2361,LAL,Los Angeles Lakers,31.0,NBA,PG,43.0,20.0,22.8,1.8,5.2,0.34,0.7,2.5,0.28,1.1,2.7,0.4,0.42,0.8,1.0,0.8,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1
2016,24,2361,PHO,Phoenix Suns,32.0,NBA,PG,62.0,18.0,19.5,1.9,4.9,0.38,1.1,3.2,0.35,0.8,1.7,0.45,0.5,0.5,0.7,0.76,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3
2017,24,2361,PHO,Phoenix Suns,33.0,NBA,PG,14.0,0.0,9.6,0.3,1.7,0.17,0.2,1.2,0.18,0.1,0.5,0.14,0.23,0.2,0.3,0.75,0.2,0.6,0.8,1.3,0.8,0.1,0.2,1.0,1.0
