Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1991,24.0,ATL,NBA,PG,47.0,16.0,674.0,108.0,242.0,0.446,2.0,11.0,0.182,106.0,231.0,0.459,0.45,47.0,80.0,0.588,20.0,51.0,71.0,132.0,32.0,8.0,76.0,65.0,265.0,,0.0
1992,25.0,ATL,NBA,PG,81.0,64.0,2220.0,423.0,928.0,0.456,34.0,104.0,0.327,389.0,824.0,0.472,0.474,175.0,275.0,0.636,64.0,155.0,219.0,446.0,105.0,24.0,206.0,178.0,1055.0,,0.0
1993,26.0,NJN,NBA,PG,80.0,28.0,1585.0,270.0,638.0,0.423,20.0,56.0,0.357,250.0,582.0,0.43,0.439,112.0,195.0,0.574,49.0,110.0,159.0,323.0,96.0,12.0,140.0,169.0,672.0,,2.0
1994,27.0,TOT,NBA,PG,31.0,0.0,396.0,55.0,152.0,0.362,8.0,20.0,0.4,47.0,132.0,0.356,0.388,13.0,29.0,0.448,6.0,26.0,32.0,63.0,18.0,3.0,43.0,48.0,131.0,,0.0
1994,27.0,NJN,NBA,PG,17.0,0.0,301.0,42.0,119.0,0.353,7.0,15.0,0.467,35.0,104.0,0.337,0.382,10.0,20.0,0.5,4.0,20.0,24.0,45.0,15.0,3.0,25.0,33.0,101.0,,0.0
1994,27.0,CHH,NBA,PG,14.0,0.0,95.0,13.0,33.0,0.394,1.0,5.0,0.2,12.0,28.0,0.429,0.409,3.0,9.0,0.333,2.0,6.0,8.0,18.0,3.0,0.0,18.0,15.0,30.0,,0.0
1996,29.0,POR,NBA,PG,43.0,14.0,715.0,92.0,221.0,0.416,30.0,79.0,0.38,62.0,142.0,0.437,0.484,33.0,51.0,0.647,19.0,59.0,78.0,142.0,26.0,5.0,72.0,79.0,247.0,,0.0
1997,30.0,TOT,NBA,PG,54.0,3.0,508.0,66.0,164.0,0.402,18.0,56.0,0.321,48.0,108.0,0.444,0.457,26.0,35.0,0.743,6.0,41.0,47.0,73.0,24.0,2.0,43.0,60.0,176.0,,0.0
1997,30.0,LAL,NBA,PG,15.0,3.0,126.0,17.0,48.0,0.354,6.0,23.0,0.261,11.0,25.0,0.44,0.417,5.0,8.0,0.625,2.0,8.0,10.0,13.0,5.0,2.0,11.0,12.0,45.0,,0.0
1997,30.0,PHO,NBA,PG,12.0,0.0,87.0,16.0,34.0,0.471,3.0,10.0,0.3,13.0,24.0,0.542,0.515,1.0,4.0,0.25,1.0,6.0,7.0,8.0,1.0,0.0,5.0,8.0,36.0,,0.0
1997,30.0,POR,NBA,PG,27.0,0.0,295.0,33.0,82.0,0.402,9.0,23.0,0.391,24.0,59.0,0.407,0.457,20.0,23.0,0.87,3.0,27.0,30.0,52.0,18.0,0.0,27.0,40.0,95.0,,0.0
