Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2009,20.0,OKC,NBA,PG,82.0,65.0,2668.0,8.4,21.0,0.398,0.7,2.5,0.271,7.7,18.6,0.415,6.7,8.2,0.815,3.4,4.2,7.7,8.4,2.1,0.3,5.3,3.7,24.1,,99.0,111.0
2010,21.0,OKC,NBA,PG,82.0,82.0,2813.0,8.9,21.3,0.418,0.4,1.9,0.221,8.5,19.4,0.438,6.0,7.7,0.78,2.6,4.7,7.4,12.0,2.0,0.6,4.9,3.7,24.2,,105.0,106.0
2011,22.0,OKC,NBA,PG,82.0,82.0,2847.0,11.2,25.3,0.442,0.6,1.9,0.33,10.5,23.4,0.451,9.7,11.5,0.842,2.2,4.7,6.9,12.2,2.8,0.5,5.7,3.8,32.6,,110.0,107.0
2012,23.0,OKC,NBA,PG,66.0,66.0,2331.0,12.8,28.0,0.457,1.4,4.3,0.316,11.4,23.7,0.482,7.5,9.1,0.823,2.1,4.5,6.7,8.0,2.5,0.5,5.3,3.3,34.5,,108.0,105.0
2013,24.0,OKC,NBA,PG,82.0,82.0,2861.0,12.1,27.6,0.438,1.7,5.4,0.323,10.4,22.2,0.466,8.3,10.3,0.8,2.0,5.7,7.7,10.9,2.6,0.4,4.9,3.4,34.2,,111.0,103.0
2014,25.0,OKC,NBA,PG,46.0,46.0,1412.0,12.3,28.2,0.437,2.4,7.6,0.318,9.9,20.6,0.482,8.6,10.4,0.826,2.0,7.4,9.4,11.4,3.1,0.2,6.3,3.7,35.7,,108.0,102.0
2015,26.0,OKC,NBA,PG,67.0,67.0,2302.0,13.7,32.0,0.426,1.9,6.3,0.299,11.8,25.8,0.457,11.9,14.2,0.835,2.7,7.9,10.6,12.5,3.0,0.3,6.4,4.0,41.1,,111.0,103.0
2016,27.0,OKC,NBA,PG,80.0,80.0,2750.0,11.8,26.1,0.454,1.8,6.2,0.296,10.0,19.9,0.503,8.4,10.3,0.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,,115.0,103.0
2017,28.0,OKC,NBA,PG,81.0,81.0,2802.0,14.4,34.0,0.425,3.5,10.2,0.343,10.9,23.8,0.459,12.4,14.7,0.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,,112.0,104.0
2018,29.0,OKC,NBA,PG,80.0,80.0,2914.0,12.9,28.7,0.449,1.7,5.6,0.298,11.2,23.2,0.485,7.1,9.6,0.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,,109.0,104.0
2019,30.0,OKC,NBA,PG,73.0,73.0,2630.0,11.2,26.1,0.428,2.1,7.3,0.29,9.1,18.8,0.481,5.3,8.0,0.656,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,,105.0,103.0
2020,31.0,HOU,NBA,PG,57.0,57.0,2049.0,13.6,28.9,0.472,1.2,4.8,0.258,12.4,24.1,0.514,6.5,8.6,0.763,2.3,7.9,10.2,9.1,2.1,0.5,5.8,4.5,35.1,,106.0,109.0
2021,32.0,WAS,NBA,PG,7.0,7.0,260.0,8.9,23.6,0.378,1.7,5.8,0.303,7.2,17.8,0.402,4.0,6.1,0.657,1.2,10.6,11.9,13.8,1.6,0.3,6.5,4.0,23.6,,93.0,113.0
