Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,7.0,2504,DAL,Dallas Mavericks,Sean Rooks,"September 9, 1969",23.0,NBA,C,72,68,29.0,5.1,10.4,0.493,0.0,0.0,0.0,5.1,10.3,0.494,0.493,3.3,5.4,0.602,2.7,4.7,7.4,1.3,0.5,1.1,2.2,2.8,13.5
1994,7.0,2504,DAL,Dallas Mavericks,Sean Rooks,"September 9, 1969",24.0,NBA,C,47,28,26.7,4.1,8.4,0.491,0.0,0.0,0.0,4.1,8.3,0.492,0.491,3.2,4.5,0.714,1.8,3.7,5.5,1.0,0.4,0.9,1.7,2.3,11.4
1995,18.0,2504,MIN,Minnesota Timberwolves,Sean Rooks,"September 9, 1969",25.0,NBA,C,80,70,30.1,3.6,7.7,0.47,0.0,0.1,0.0,3.6,7.6,0.474,0.47,3.6,4.8,0.761,2.1,4.0,6.1,1.2,0.4,0.9,1.8,2.6,10.9
1996,31.0,2504,TOT,Total After Trade,Sean Rooks,"September 9, 1969",26.0,NBA,C,65,7,17.2,2.2,4.4,0.505,0.0,0.1,0.143,2.2,4.3,0.514,0.507,2.1,3.1,0.668,1.2,2.7,3.9,0.7,0.4,0.6,1.2,2.2,6.5
1996,18.0,2504,MIN,Minnesota Timberwolves,Sean Rooks,"September 9, 1969",26.0,NBA,C,49,7,18.4,2.3,4.6,0.493,0.0,0.1,0.167,2.3,4.5,0.502,0.496,2.2,3.2,0.667,1.2,2.9,4.2,0.8,0.4,0.6,1.0,2.2,6.8
1996,1.0,2504,ATL,Atlanta Hawks,Sean Rooks,"September 9, 1969",26.0,NBA,C,16,0,13.4,2.0,3.6,0.552,0.0,0.1,0.0,2.0,3.6,0.561,0.552,1.8,2.7,0.674,1.3,1.9,3.2,0.6,0.3,0.9,1.9,2.2,5.8
1997,14.0,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",27.0,NBA,C,69,3,10.7,1.3,2.7,0.47,0.0,0.0,0.0,1.3,2.7,0.473,0.47,1.3,1.9,0.7,0.8,1.6,2.4,0.6,0.2,0.6,0.7,1.8,3.8
1998,14.0,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",28.0,NBA,C,41,1,10.4,1.1,2.5,0.455,0.0,0.0,,1.1,2.5,0.455,0.455,1.1,1.9,0.595,1.1,1.8,2.9,0.6,0.0,0.6,0.5,1.7,3.4
1999,14.0,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",29.0,NBA,C,36,0,8.8,0.9,2.2,0.405,0.0,0.1,0.0,0.9,2.1,0.416,0.405,0.9,1.3,0.708,0.9,1.1,2.0,0.3,0.1,0.3,0.6,1.7,2.7
1900,7.0,2504,DAL,Dallas Mavericks,Sean Rooks,"September 9, 1969",30.0,NBA,C,71,13,14.1,1.7,4.0,0.431,0.0,0.0,,1.7,4.0,0.431,0.431,0.9,1.3,0.73,1.2,2.3,3.5,1.0,0.4,0.7,1.0,2.4,4.4
2001,13.0,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",31.0,NBA,C,82,0,18.9,2.1,4.8,0.428,0.0,0.0,0.5,2.0,4.8,0.427,0.429,1.3,1.7,0.748,1.1,2.6,3.7,0.9,0.4,0.8,0.9,2.4,5.4
2002,13.0,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",32.0,NBA,C,61,2,11.9,1.3,3.2,0.418,0.0,0.0,,1.3,3.2,0.418,0.418,0.3,0.5,0.724,0.5,1.5,2.0,0.4,0.2,0.3,0.3,1.9,3.0
2003,13.0,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",33.0,NBA,C,70,38,19.2,1.8,4.2,0.421,0.0,0.0,0.0,1.8,4.2,0.422,0.421,0.7,0.8,0.81,0.8,2.3,3.1,1.0,0.5,0.6,0.9,2.5,4.2
2004,31.0,2504,TOT,Total After Trade,Sean Rooks,"September 9, 1969",34.0,NBA,C,55,0,10.8,1.0,2.7,0.358,0.0,0.0,0.0,1.0,2.7,0.36,0.358,0.6,0.7,0.892,0.4,1.3,1.8,0.5,0.3,0.2,0.4,1.6,2.6
2004,19.0,2504,NOH,New Orleans Hornets,Sean Rooks,"September 9, 1969",34.0,NBA,C,35,0,9.3,1.0,2.7,0.362,0.0,0.0,,1.0,2.7,0.362,0.362,0.3,0.4,0.8,0.3,1.1,1.4,0.3,0.3,0.1,0.4,1.4,2.3
2004,22.0,2504,ORL,Orlando Magic,Sean Rooks,"September 9, 1969",34.0,NBA,C,20,0,13.5,1.0,2.9,0.351,0.0,0.1,0.0,1.0,2.8,0.357,0.351,1.1,1.1,0.955,0.7,1.7,2.4,0.9,0.3,0.3,0.4,2.1,3.1
