Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1991,21,1592,SEA,Seattle Supersonics,21.0,NBA,PF,5.0,149.0,9.9,0.48,0.02,0.47,10.4,18.7,14.5,6.3,1.0,1.9,18.9,24.4,,-0.2,0.2,0.0,-0.01,,-3.4,-1.9,-5.3,-0.1
1992,21,1592,SEA,Seattle Supersonics,22.0,NBA,PF,9.0,338.0,16.8,0.58,0.0,0.79,17.0,23.4,20.2,1.7,0.8,2.7,16.5,21.0,,0.5,0.2,0.7,0.1,,0.3,-1.9,-1.6,0.0
1993,21,1592,SEA,Seattle Supersonics,23.0,NBA,PF,19.0,663.0,21.3,0.59,0.0,0.54,13.3,20.6,16.8,11.6,2.3,4.4,16.9,21.2,,1.5,0.9,2.4,0.17,,2.2,2.1,4.3,1.1
1994,21,1592,SEA,Seattle Supersonics,24.0,NBA,PF,5.0,206.0,15.9,0.44,0.0,0.47,10.7,16.2,13.4,15.5,2.6,4.5,14.2,22.2,,0.0,0.4,0.3,0.08,,0.8,1.2,2.0,0.2
1995,21,1592,SEA,Seattle Supersonics,25.0,NBA,PF,4.0,160.0,26.6,0.67,0.02,0.68,13.0,24.2,18.5,12.8,2.7,4.3,16.8,25.3,,0.5,0.3,0.9,0.26,,4.7,2.7,7.4,0.4
1996,21,1592,SEA,Seattle Supersonics,26.0,NBA,PF,20.0,720.0,23.6,0.64,0.01,0.6,12.6,22.9,18.2,8.7,1.8,4.7,19.7,27.3,,1.5,1.4,3.0,0.2,,2.5,2.3,4.8,1.2
1997,21,1592,SEA,Seattle Supersonics,27.0,NBA,PF,12.0,442.0,23.0,0.58,0.06,0.6,13.2,25.5,19.2,14.5,1.7,3.3,17.5,27.2,,1.0,0.6,1.7,0.18,,2.2,1.1,3.3,0.6
1998,6,1592,CLE,Cleveland Cavaliers,28.0,NBA,PF,4.0,152.0,25.9,0.57,0.0,0.63,15.3,23.9,19.6,15.5,1.9,2.3,15.0,35.4,,0.4,0.2,0.6,0.18,,5.3,1.1,6.4,0.3
2002,25,1592,POR,Portland Trail Blazers,32.0,NBA,PF,3.0,35.0,6.4,0.48,0.0,1.43,6.1,19.9,12.8,0.0,1.5,0.0,14.9,16.9,,0.0,0.0,0.0,0.04,,-5.8,-0.2,-6.1,0.0
2003,22,1592,ORL,Orlando Magic,33.0,NBA,C,7.0,72.0,3.4,0.44,0.0,0.29,1.7,22.8,12.4,0.0,0.0,0.0,14.5,18.4,,-0.1,0.1,-0.1,-0.04,,-6.1,-2.3,-8.4,-0.1
