Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,5,1624,CHI,Charlotte Bobcats,23.0,NBA,PF,82.0,2.0,1777.0,5.4,10.7,0.5,0.0,0.0,0.0,5.4,10.7,0.5,3.9,5.4,0.73,3.4,4.4,7.8,1.8,0.8,1.2,2.4,4.4,14.7
1991,5,1624,CHI,Charlotte Bobcats,24.0,NBA,PF,76.0,6.0,1198.0,4.7,10.0,0.47,0.0,0.1,0.0,4.7,10.0,0.47,3.2,4.6,0.7,2.2,4.1,6.3,2.0,0.7,1.3,2.7,4.0,12.6
1992,5,1624,CHI,Charlotte Bobcats,25.0,NBA,PF,79.0,12.0,1268.0,6.1,12.1,0.51,0.1,0.1,0.4,6.0,11.9,0.51,3.4,4.5,0.75,2.5,3.4,5.8,2.2,0.6,0.7,2.2,3.7,15.6
1993,5,1624,CHI,Charlotte Bobcats,26.0,NBA,C,76.0,3.0,1059.0,5.4,11.6,0.47,0.1,0.2,0.33,5.4,11.4,0.47,2.9,4.1,0.7,3.6,3.5,7.0,2.4,0.9,0.7,2.4,4.4,13.9
1994,31,1624,TOT,Total After Trade,27.0,NBA,C,49.0,30.0,1053.0,5.0,11.7,0.43,0.0,0.1,0.0,5.0,11.6,0.43,3.2,4.6,0.68,3.1,5.2,8.2,2.0,1.1,1.4,2.8,4.1,13.2
1994,5,1624,CHI,Charlotte Bobcats,27.0,NBA,C,31.0,15.0,537.0,4.6,11.5,0.4,0.0,0.1,0.0,4.6,11.3,0.4,2.4,3.6,0.68,3.4,5.5,8.8,2.6,1.2,0.8,2.9,4.3,11.5
1994,18,1624,MIN,Minnesota Timberwolves,27.0,NBA,C,18.0,15.0,516.0,5.4,11.9,0.46,0.0,0.0,,5.4,11.9,0.46,4.0,5.8,0.69,2.8,4.8,7.6,1.3,0.9,2.1,2.8,4.0,14.9
1995,18,1624,MIN,Minnesota Timberwolves,28.0,NBA,PF,50.0,10.0,792.0,4.5,9.6,0.47,0.0,0.0,0.0,4.5,9.6,0.47,3.1,4.6,0.67,2.5,5.0,7.5,1.2,1.1,0.9,2.9,5.7,12.1
1996,16,1624,MIA,Miami Heat,29.0,NBA,PF,15.0,0.0,156.0,3.9,8.3,0.47,0.0,0.0,,3.9,8.3,0.47,0.9,1.8,0.5,2.1,3.2,5.3,0.5,1.6,0.5,4.2,9.0,8.8
1997,31,1624,TOT,Total After Trade,30.0,NBA,C,11.0,0.0,103.0,3.8,7.7,0.5,0.0,0.0,,3.8,7.7,0.5,0.7,2.4,0.29,3.8,5.6,9.4,0.3,0.7,0.3,2.1,4.9,8.4
1997,2,1624,BOS,Boston Celtics,30.0,NBA,C,5.0,0.0,33.0,5.5,7.6,0.71,0.0,0.0,,5.5,7.6,0.71,2.2,3.3,0.67,1.1,8.7,9.8,1.1,0.0,1.1,1.1,3.3,13.1
1997,7,1624,DAL,Dallas Mavericks,30.0,NBA,C,6.0,0.0,70.0,3.1,7.7,0.4,0.0,0.0,,3.1,7.7,0.4,0.0,2.1,0.0,5.1,4.1,9.3,0.0,1.0,0.0,2.6,5.7,6.2
