Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,23.0,HOU,NBA,PG,80.0,79.0,3194.0,6.2,13.7,0.451,1.5,3.8,0.396,4.7,10.0,0.472,4.0,4.9,0.817,2.1,4.1,6.2,5.8,1.6,0.3,3.0,3.1,17.9
2002,24.0,HOU,NBA,PG,57.0,56.0,2343.0,6.5,15.5,0.417,1.0,3.2,0.324,5.4,12.2,0.442,5.0,6.5,0.773,1.6,4.6,6.2,5.6,1.1,0.4,3.4,2.6,19.0
2003,25.0,HOU,NBA,PG,81.0,81.0,3318.0,6.2,14.2,0.435,0.9,2.6,0.354,5.3,11.6,0.453,5.2,6.5,0.8,1.7,3.7,5.4,5.4,1.5,0.4,3.2,2.7,18.5
2004,26.0,HOU,NBA,PG,79.0,79.0,3194.0,5.1,12.6,0.403,0.8,2.8,0.292,4.2,9.8,0.435,3.8,4.9,0.775,1.3,3.6,4.9,5.6,1.6,0.4,3.3,2.9,14.8
2005,27.0,ORL,NBA,PG,78.0,78.0,2978.0,6.8,16.1,0.423,0.5,1.5,0.299,6.3,14.5,0.436,6.0,7.3,0.823,1.5,3.9,5.4,6.6,1.4,0.3,3.8,3.3,20.1
2006,28.0,TOT,NBA,"PG,SG",70.0,60.0,2393.0,5.0,11.5,0.435,0.4,1.2,0.301,4.6,10.3,0.452,4.7,6.0,0.787,1.1,3.2,4.4,5.2,1.1,0.3,3.2,3.1,15.1
2006,28.0,ORL,NBA,PG,46.0,45.0,1734.0,5.2,11.9,0.433,0.4,1.5,0.257,4.8,10.5,0.457,4.8,6.0,0.797,1.2,3.3,4.5,5.4,1.1,0.2,3.2,2.9,15.5
2006,28.0,NYK,NBA,SG,24.0,15.0,659.0,4.6,10.4,0.442,0.4,0.7,0.538,4.2,9.7,0.435,4.5,6.0,0.761,0.8,3.1,3.9,4.5,1.3,0.3,3.2,3.4,14.1
2007,29.0,NYK,NBA,SG,44.0,30.0,1237.0,4.1,10.0,0.408,1.2,3.2,0.378,2.9,6.8,0.422,5.1,6.1,0.829,1.0,3.6,4.6,4.9,1.2,0.3,2.9,3.7,14.5
2008,30.0,HOU,NBA,PG,10.0,3.0,199.0,3.4,10.3,0.333,0.7,3.1,0.235,2.7,7.2,0.375,2.4,4.2,0.565,1.4,2.7,4.2,5.4,1.6,0.9,2.5,4.5,9.9
