Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,31,2070,TOT,Total After Trade,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,45.0,14.0,524.0,4.3,9.1,0.47,0.0,0.0,,4.3,9.1,0.47,2.5,3.6,0.71,3.2,5.2,8.3,1.0,1.0,1.7,2.4,5.8,11.2
2011,20,2070,NYK,New York Knicks,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,34.0,14.0,458.0,4.1,8.8,0.46,0.0,0.0,,4.1,8.8,0.46,2.4,3.5,0.7,3.2,5.0,8.2,1.2,1.1,1.8,2.5,6.0,10.6
2011,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",24.0,NBA,C,11.0,0.0,66.0,6.0,11.5,0.52,0.0,0.0,,6.0,11.5,0.52,3.3,4.4,0.75,2.7,6.5,9.3,0.0,0.5,1.1,1.6,4.4,15.3
2012,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",25.0,NBA,C,44.0,35.0,687.0,5.2,10.0,0.53,0.0,0.0,,5.2,10.0,0.53,2.0,3.0,0.68,2.8,6.6,9.4,1.2,0.8,2.2,2.8,4.5,12.5
2013,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",26.0,NBA,C,41.0,1.0,366.0,4.3,8.6,0.51,0.0,0.2,0.0,4.3,8.4,0.52,2.0,2.6,0.77,4.9,5.6,10.5,0.9,0.6,1.8,2.5,5.6,10.6
2014,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",27.0,NBA,C,82.0,30.0,1770.0,5.8,11.1,0.52,0.1,0.5,0.17,5.7,10.6,0.54,4.0,5.3,0.75,3.5,7.3,10.7,1.3,0.5,2.0,2.5,4.3,15.7
2015,31,2070,TOT,Total After Trade,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,81.0,80.0,2045.0,5.5,10.0,0.56,0.0,0.1,0.33,5.5,9.9,0.56,2.7,3.8,0.72,3.6,6.8,10.4,1.0,0.6,1.7,2.0,4.0,13.8
2015,8,2070,DEN,Denver Nuggets,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,35.0,35.0,897.0,4.7,9.3,0.5,0.1,0.2,0.33,4.6,9.1,0.51,2.5,3.5,0.73,3.7,7.3,10.9,0.6,0.6,1.6,1.9,4.6,12.0
2015,6,2070,CLE,Cleveland Cavaliers,Timofey Mozgov,"July 16, 1986",28.0,NBA,C,46.0,45.0,1148.0,6.2,10.5,0.59,0.0,0.0,,6.2,10.5,0.59,2.9,4.1,0.71,3.5,6.5,10.0,1.2,0.6,1.8,2.2,3.5,15.2
2016,6,2070,CLE,Cleveland Cavaliers,Timofey Mozgov,"July 16, 1986",29.0,NBA,C,76.0,48.0,1326.0,5.5,9.7,0.56,0.0,0.2,0.14,5.5,9.6,0.57,1.8,2.6,0.72,3.0,6.2,9.1,0.9,0.6,1.5,1.9,4.3,12.9
2017,14,2070,LAL,Los Angeles Lakers,Timofey Mozgov,"July 16, 1986",30.0,NBA,C,54.0,52.0,1104.0,5.5,10.7,0.52,0.0,0.0,0.0,5.5,10.7,0.52,2.1,2.5,0.81,3.4,5.2,8.6,1.4,0.5,1.0,2.3,4.3,13.1
2018,3,2070,BRK,Brooklyn Nets,Timofey Mozgov,"July 16, 1986",31.0,NBA,C,31.0,13.0,359.0,5.2,9.3,0.56,0.4,1.8,0.22,4.8,7.5,0.64,2.3,3.0,0.77,3.2,6.6,9.8,1.1,0.5,1.3,3.3,3.9,13.1
