Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1991,27,1868,SAS,San Antonio Spurs,Tony Massenburg,"July 31, 1967",23.0,NBA,PF,35.0,0.0,161.0,8.2,18.1,0.45,0.0,0.0,,8.2,18.1,0.45,8.5,13.6,0.62,7.0,10.6,17.5,1.2,1.2,2.7,3.9,7.9,24.8,,104.0,100.0
1992,31,1868,TOT,Total After Trade,Tony Massenburg,"July 31, 1967",24.0,NBA,PF,18.0,0.0,90.0,5.4,13.5,0.4,0.0,0.0,,5.4,13.5,0.4,4.9,8.1,0.6,3.8,9.7,13.5,0.0,0.5,0.5,4.9,11.4,15.7,,82.0,108.0
1992,27,1868,SAS,San Antonio Spurs,Tony Massenburg,"July 31, 1967",24.0,NBA,PF,1.0,0.0,9.0,5.5,27.7,0.2,0.0,0.0,,5.5,27.7,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,11.1,,50.0,114.0
1992,4,1868,CHO,Charlotte Hornets,Tony Massenburg,"July 31, 1967",24.0,NBA,PF,3.0,0.0,13.0,0.0,10.9,0.0,0.0,0.0,,0.0,10.9,0.0,3.6,7.3,0.5,3.6,10.9,14.5,0.0,3.6,0.0,14.5,7.3,3.6,,22.0,104.0
1992,2,1868,BOS,Boston Celtics,Tony Massenburg,"July 31, 1967",24.0,NBA,PF,7.0,0.0,46.0,4.4,9.8,0.44,0.0,0.0,,4.4,9.8,0.44,2.2,4.4,0.5,2.2,7.6,9.8,0.0,0.0,1.1,2.2,7.6,10.9,,89.0,110.0
1992,10,1868,GSW,Golden State Warriors,Tony Massenburg,"July 31, 1967",24.0,NBA,PF,7.0,0.0,22.0,10.5,16.9,0.62,0.0,0.0,,10.5,16.9,0.62,12.7,19.0,0.67,8.4,16.9,25.3,0.0,0.0,0.0,6.3,21.1,33.8,,116.0,105.0
1995,13,1868,LAC,Los Angeles Clippers,Tony Massenburg,"July 31, 1967",27.0,NBA,C,80.0,50.0,2127.0,6.7,14.4,0.47,0.0,0.1,0.0,6.7,14.3,0.47,4.2,5.6,0.75,3.8,7.1,10.9,1.6,1.1,1.4,2.8,6.1,17.7,,103.0,111.0
1996,31,1868,TOT,Total After Trade,Tony Massenburg,"July 31, 1967",28.0,NBA,PF,54.0,28.0,1463.0,7.6,15.3,0.5,0.0,0.1,0.0,7.6,15.2,0.5,3.9,5.6,0.71,4.5,8.0,12.5,1.1,1.0,0.7,2.6,5.0,19.1,,107.0,113.0
1996,28,1868,TOR,Toronto Raptors,Tony Massenburg,"July 31, 1967",28.0,NBA,PF,24.0,20.0,659.0,7.8,15.3,0.51,0.0,0.0,,7.8,15.3,0.51,3.4,5.1,0.66,4.1,8.9,13.0,1.4,1.0,0.7,2.7,5.2,19.0,,106.0,112.0
1996,23,1868,PHI,Philadelphia 76Ers,Tony Massenburg,"July 31, 1967",28.0,NBA,PF,30.0,8.0,804.0,7.4,15.3,0.48,0.0,0.2,0.0,7.4,15.1,0.49,4.4,6.0,0.74,4.9,7.2,12.0,0.8,1.0,0.7,2.5,4.7,19.2,,108.0,114.0
