Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19.0,POR,NBA,PF,8.0,0.0,19.0,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,2.0,4.0,0.5,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,8.0
2004-05,20.0,POR,NBA,SF,59.0,2.0,793.0,133.0,267.0,0.498,4.0,10.0,0.4,129.0,257.0,0.502,0.506,49.0,75.0,0.653,40.0,81.0,121.0,35.0,30.0,40.0,39.0,77.0,319.0
2005-06,21.0,POR,NBA,PF,69.0,11.0,1153.0,162.0,368.0,0.44,14.0,53.0,0.264,148.0,315.0,0.47,0.459,62.0,89.0,0.697,48.0,141.0,189.0,34.0,31.0,46.0,37.0,112.0,400.0
2006-07,22.0,POR,NBA,PF,67.0,1.0,1532.0,246.0,567.0,0.434,10.0,37.0,0.27,236.0,530.0,0.445,0.443,143.0,181.0,0.79,65.0,152.0,217.0,52.0,61.0,74.0,66.0,150.0,645.0
2007-08,23.0,POR,NBA,PF,82.0,6.0,2186.0,417.0,964.0,0.433,40.0,101.0,0.396,377.0,863.0,0.437,0.453,218.0,294.0,0.741,96.0,280.0,376.0,106.0,59.0,63.0,107.0,173.0,1092.0
2008-09,24.0,POR,NBA,SF,81.0,6.0,2246.0,385.0,850.0,0.453,89.0,236.0,0.377,296.0,614.0,0.482,0.505,175.0,242.0,0.723,70.0,261.0,331.0,83.0,47.0,57.0,94.0,168.0,1034.0
2009-10,25.0,TOT,NBA,SF,34.0,6.0,730.0,110.0,281.0,0.391,40.0,105.0,0.381,70.0,176.0,0.398,0.463,49.0,59.0,0.831,33.0,88.0,121.0,34.0,18.0,17.0,32.0,43.0,309.0
2009-10,25.0,POR,NBA,SF,11.0,0.0,231.0,38.0,101.0,0.376,12.0,31.0,0.387,26.0,70.0,0.371,0.436,21.0,24.0,0.875,13.0,25.0,38.0,8.0,7.0,8.0,12.0,13.0,109.0
2009-10,25.0,LAC,NBA,SF,23.0,6.0,499.0,72.0,180.0,0.4,28.0,74.0,0.378,44.0,106.0,0.415,0.478,28.0,35.0,0.8,20.0,63.0,83.0,26.0,11.0,9.0,20.0,30.0,200.0
2010-11,26.0,NJN,NBA,SF,82.0,55.0,2358.0,274.0,731.0,0.375,76.0,252.0,0.302,198.0,479.0,0.413,0.427,132.0,171.0,0.772,54.0,271.0,325.0,84.0,34.0,36.0,71.0,148.0,756.0
2011-12,27.0,SAC,NBA,SF,39.0,5.0,500.0,60.0,175.0,0.343,16.0,60.0,0.267,44.0,115.0,0.383,0.389,31.0,46.0,0.674,19.0,42.0,61.0,16.0,19.0,21.0,20.0,34.0,167.0
2012-13,28.0,SAC,NBA,SF,38.0,2.0,444.0,74.0,177.0,0.418,14.0,50.0,0.28,60.0,127.0,0.472,0.458,38.0,52.0,0.731,17.0,44.0,61.0,21.0,11.0,8.0,19.0,35.0,200.0
2013-14,29.0,SAC,NBA,SF,63.0,4.0,1065.0,130.0,326.0,0.399,41.0,117.0,0.35,89.0,209.0,0.426,0.462,42.0,52.0,0.808,36.0,132.0,168.0,48.0,20.0,19.0,26.0,94.0,343.0
