Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,29,422,UTA,Utah Jazz,Trey Burke,"November 12, 1992",21.0,NBA,PG,70.0,68.0,32.3,4.9,12.8,0.38,1.6,4.8,0.33,3.3,8.0,0.41,0.44,1.5,1.6,0.9,0.5,2.4,3.0,5.7,0.6,0.1,1.9,2.1,12.8
2015,29,422,UTA,Utah Jazz,Trey Burke,"November 12, 1992",22.0,NBA,PG,76.0,43.0,30.1,4.9,13.2,0.37,1.6,5.1,0.32,3.2,8.1,0.4,0.43,1.4,1.9,0.75,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8
2016,29,422,UTA,Utah Jazz,Trey Burke,"November 12, 1992",23.0,NBA,PG,64.0,0.0,21.3,4.1,9.9,0.41,1.4,4.0,0.34,2.7,5.9,0.46,0.48,1.0,1.3,0.82,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6
2017,30,422,WAS,Washington Wizards,Trey Burke,"November 12, 1992",24.0,NBA,PG,57.0,0.0,12.3,2.0,4.5,0.46,0.5,1.2,0.44,1.5,3.2,0.46,0.52,0.4,0.5,0.76,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0
2018,20,422,NYK,New York Knicks,Trey Burke,"November 12, 1992",25.0,NBA,PG,36.0,9.0,21.8,5.4,10.7,0.5,1.1,2.9,0.36,4.3,7.8,0.56,0.55,1.0,1.6,0.65,0.4,1.6,2.0,4.7,0.7,0.1,1.2,1.2,12.8
2019,31,422,TOT,Total After Trade,Trey Burke,"November 12, 1992",26.0,NBA,PG,58.0,8.0,19.4,4.1,9.4,0.43,1.0,2.7,0.35,3.1,6.7,0.46,0.48,1.8,2.1,0.83,0.5,1.2,1.7,2.7,0.6,0.1,0.8,1.0,10.9
2019,20,422,NYK,New York Knicks,Trey Burke,"November 12, 1992",26.0,NBA,PG,33.0,7.0,20.9,4.5,10.8,0.41,0.9,2.6,0.35,3.6,8.2,0.43,0.46,1.9,2.3,0.83,0.5,1.4,1.9,2.8,0.6,0.2,0.9,1.0,11.8
2019,7,422,DAL,Dallas Mavericks,Trey Burke,"November 12, 1992",26.0,NBA,PG,25.0,1.0,17.4,3.5,7.6,0.46,1.0,2.9,0.36,2.5,4.7,0.53,0.53,1.6,2.0,0.84,0.5,1.0,1.5,2.6,0.5,0.1,0.8,1.0,9.7
2020,31,422,TOT,Total After Trade,Trey Burke,"November 12, 1992",27.0,NBA,PG,33.0,1.0,15.8,2.8,6.3,0.45,1.0,2.3,0.43,1.9,4.1,0.46,0.53,0.7,0.9,0.79,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0,7.4
2020,23,422,PHI,Philadelphia 76Ers,Trey Burke,"November 12, 1992",27.0,NBA,PG,25.0,0.0,13.2,2.4,5.1,0.46,0.6,1.5,0.42,1.7,3.6,0.48,0.53,0.5,0.7,0.72,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9
2020,7,422,DAL,Dallas Mavericks,Trey Burke,"November 12, 1992",27.0,NBA,PG,8.0,1.0,23.9,4.4,10.3,0.43,2.0,4.6,0.43,2.4,5.6,0.42,0.52,1.3,1.4,0.91,0.1,1.8,1.9,3.8,1.1,0.1,1.1,1.5,12.0
2021,7,422,DAL,Dallas Mavericks,Trey Burke,"November 12, 1992",28.0,NBA,PG,23.0,0.0,19.1,3.3,7.4,0.44,1.4,3.7,0.39,1.8,3.7,0.49,0.54,1.0,1.2,0.85,0.2,1.0,1.2,1.7,0.9,0.1,0.7,1.7,9.0
