Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,16,1221,MIA,Miami Heat,23.0,NBA,PF,75,24,1795,4.1,9.0,0.46,0.0,0.1,0.0,4.1,8.9,0.46,2.8,3.7,0.76,3.8,5.7,9.5,1.0,0.7,0.5,1.5,4.0,11.0
2005,16,1221,MIA,Miami Heat,24.0,NBA,PF,80,80,2675,4.7,8.6,0.54,0.0,0.1,0.0,4.7,8.6,0.54,2.4,3.0,0.79,3.2,6.6,9.8,1.5,0.8,0.6,1.5,3.5,11.7
2006,16,1221,MIA,Miami Heat,25.0,NBA,PF,81,80,2491,4.3,8.5,0.51,0.0,0.0,0.0,4.3,8.5,0.51,2.3,2.9,0.79,2.4,6.7,9.2,1.4,0.7,0.2,1.2,3.1,10.9
2007,16,1221,MIA,Miami Heat,26.0,NBA,PF,79,79,2483,5.1,10.4,0.49,0.0,0.1,0.0,5.1,10.3,0.5,2.0,2.9,0.68,2.7,6.8,9.5,1.4,0.7,0.4,1.6,3.4,12.2
2008,16,1221,MIA,Miami Heat,27.0,NBA,PF,49,48,1805,4.7,10.1,0.47,0.0,0.0,,4.7,10.1,0.47,2.3,2.8,0.81,2.1,6.7,8.8,1.4,0.8,0.4,1.3,2.9,11.7
2009,16,1221,MIA,Miami Heat,28.0,NBA,PF,75,75,2560,4.7,9.0,0.52,0.0,0.0,,4.7,9.0,0.52,1.8,2.4,0.75,2.4,6.3,8.7,1.2,0.6,0.4,1.2,2.9,11.2
2010,16,1221,MIA,Miami Heat,29.0,NBA,PF,78,0,2177,5.2,10.5,0.49,0.0,0.0,,5.2,10.5,0.49,2.4,3.2,0.76,2.8,7.6,10.4,0.9,0.5,0.4,1.2,2.9,12.7
2011,16,1221,MIA,Miami Heat,30.0,NBA,PF,13,0,345,4.6,9.0,0.51,0.0,0.0,,4.6,9.0,0.51,1.7,2.1,0.8,3.0,8.0,11.1,0.6,0.7,0.3,1.5,4.1,10.9
2012,16,1221,MIA,Miami Heat,31.0,NBA,PF,64,10,1589,3.4,8.1,0.42,0.0,0.0,,3.4,8.1,0.42,1.9,2.3,0.81,2.7,8.0,10.6,1.0,0.8,0.5,1.4,3.2,8.7
2013,16,1221,MIA,Miami Heat,32.0,NBA,PF,75,59,1414,3.3,6.4,0.51,0.0,0.0,,3.3,6.4,0.51,0.8,1.1,0.71,2.5,7.8,10.3,1.0,0.8,0.4,1.1,4.4,7.4
2014,16,1221,MIA,Miami Heat,33.0,NBA,PF,46,18,653,4.1,8.0,0.51,0.0,0.0,,4.1,8.0,0.51,1.4,2.4,0.57,2.3,7.3,9.6,0.7,0.6,0.8,1.3,4.4,9.5
2015,16,1221,MIA,Miami Heat,34.0,NBA,PF,62,25,995,3.9,8.6,0.45,0.1,0.4,0.2,3.8,8.3,0.46,1.6,2.3,0.7,2.6,6.8,9.3,1.7,0.8,0.5,1.5,4.1,9.4
2016,16,1221,MIA,Miami Heat,35.0,NBA,PF,37,0,260,3.2,8.4,0.38,0.1,1.2,0.11,3.0,7.2,0.42,1.7,2.2,0.75,1.4,9.0,10.4,1.9,0.7,0.3,0.7,3.5,8.2
2017,16,1221,MIA,Miami Heat,36.0,NBA,C,16,0,130,3.0,6.4,0.48,0.0,0.8,0.0,3.0,5.5,0.55,2.5,4.2,0.6,2.2,7.8,10.0,1.7,1.7,0.3,2.2,6.1,8.6
2018,16,1221,MIA,Miami Heat,37.0,NBA,C,14,0,72,1.5,7.5,0.2,0.5,4.0,0.12,1.0,3.5,0.29,0.5,1.0,0.5,1.5,3.5,5.0,2.5,0.0,1.0,1.0,1.5,4.0
2019,16,1221,MIA,Miami Heat,38.0,NBA,C,10,1,74,5.4,16.1,0.33,0.0,5.8,0.0,5.4,10.2,0.52,1.5,1.9,0.75,1.5,11.7,13.1,1.0,0.0,0.0,1.5,4.4,12.2
2020,16,1221,MIA,Miami Heat,39.0,NBA,C,4,1,44,3.3,9.0,0.36,0.8,2.5,0.33,2.5,6.5,0.38,2.5,3.3,0.75,0.8,12.3,13.1,0.8,0.0,0.0,0.8,4.9,9.8
