Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,28,492,TOR,Toronto Raptors,24.0,NBA,SF,12.0,12.0,539.0,8.1,18.7,0.44,1.7,4.1,0.41,6.5,14.6,0.44,3.9,4.9,0.78,2.5,2.7,5.2,3.7,1.3,1.3,1.8,3.0,21.8
2005,3,492,NJN,New Jersey Nets,28.0,NBA,SF,4.0,4.0,179.0,7.0,19.3,0.36,1.2,3.8,0.32,5.8,15.5,0.38,6.2,7.2,0.86,1.8,5.0,6.8,4.6,1.8,0.0,3.0,3.4,21.5
2006,3,492,NJN,New Jersey Nets,29.0,NBA,SG,11.0,11.0,450.0,9.0,19.5,0.46,1.1,4.6,0.24,7.9,14.9,0.53,6.9,8.6,0.8,1.3,4.9,6.2,4.6,1.6,0.5,2.1,2.7,26.1
2007,3,492,NJN,New Jersey Nets,30.0,NBA,SG,12.0,12.0,487.0,6.9,17.4,0.4,1.6,4.0,0.39,5.3,13.4,0.4,4.5,6.5,0.69,1.3,4.8,6.1,4.7,0.8,0.5,2.8,2.6,19.8
2010,22,492,ORL,Orlando Magic,33.0,NBA,SG,14.0,14.0,480.0,5.5,13.8,0.4,0.9,3.8,0.24,4.6,10.0,0.47,4.3,5.2,0.83,0.7,3.7,4.4,2.4,0.9,0.2,1.6,3.7,16.3
2012,7,492,DAL,Dallas Mavericks,35.0,NBA,SG,4.0,0.0,107.0,4.0,13.8,0.29,1.0,3.4,0.3,3.0,10.4,0.29,2.0,2.7,0.75,1.7,5.7,7.4,0.3,1.7,0.7,2.0,3.7,11.1
2014,7,492,DAL,Dallas Mavericks,37.0,NBA,SG,7.0,0.0,190.0,5.9,12.9,0.46,2.8,5.9,0.48,3.0,7.0,0.43,2.1,2.7,0.79,1.3,3.4,4.7,3.2,0.6,0.4,1.1,2.3,16.7
2015,15,492,MEM,Memphis Grizzlies,38.0,NBA,SG,11.0,0.0,196.0,5.0,12.3,0.4,1.3,5.1,0.25,3.7,7.2,0.51,1.5,1.7,0.89,2.4,6.2,8.6,2.0,1.3,0.4,1.3,3.1,12.7
2016,15,492,MEM,Memphis Grizzlies,39.0,NBA,SG,4.0,4.0,91.0,5.9,13.1,0.46,2.8,4.0,0.7,3.2,9.1,0.35,3.2,3.2,1.0,2.0,4.0,5.9,2.0,0.8,0.4,1.2,3.6,17.8
2017,15,492,MEM,Memphis Grizzlies,40.0,NBA,SF,6.0,6.0,195.0,3.7,7.8,0.48,1.5,3.7,0.4,2.2,4.1,0.55,1.3,1.3,1.0,0.7,3.0,3.7,1.7,0.4,0.0,1.8,2.8,10.2
