Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,21.0,TOT,NBA,PG,79.0,,2266.0,385.0,779.0,0.494,5.0,21.0,0.238,380.0,758.0,0.501,0.497,202.0,252.0,0.802,46.0,93.0,139.0,411.0,107.0,17.0,261.0,242.0,977.0
1980-81,21.0,WSB,NBA,PG,45.0,,1161.0,224.0,449.0,0.499,5.0,15.0,0.333,219.0,434.0,0.505,0.504,99.0,129.0,0.767,30.0,37.0,67.0,199.0,46.0,10.0,149.0,120.0,552.0
1980-81,21.0,ATL,NBA,PG,34.0,,1105.0,161.0,330.0,0.488,0.0,6.0,0.0,161.0,324.0,0.497,0.488,103.0,123.0,0.837,16.0,56.0,72.0,212.0,61.0,7.0,112.0,122.0,425.0
1981-82,22.0,ATL,NBA,PG,47.0,5.0,837.0,131.0,298.0,0.44,2.0,8.0,0.25,129.0,290.0,0.445,0.443,60.0,79.0,0.759,19.0,39.0,58.0,139.0,53.0,2.0,63.0,129.0,324.0
1982-83,23.0,ATL,NBA,PG,64.0,0.0,1187.0,171.0,424.0,0.403,14.0,48.0,0.292,157.0,376.0,0.418,0.42,86.0,112.0,0.768,25.0,66.0,91.0,249.0,60.0,8.0,123.0,129.0,442.0
1983-84,24.0,TOT,NBA,PG,20.0,5.0,388.0,61.0,131.0,0.466,1.0,8.0,0.125,60.0,123.0,0.488,0.469,27.0,36.0,0.75,7.0,20.0,27.0,83.0,16.0,3.0,40.0,45.0,150.0
1983-84,24.0,ATL,NBA,PG,6.0,0.0,96.0,16.0,30.0,0.533,0.0,1.0,0.0,16.0,29.0,0.552,0.533,18.0,22.0,0.818,1.0,3.0,4.0,21.0,5.0,1.0,10.0,13.0,50.0
1983-84,24.0,PHI,NBA,PG,14.0,5.0,292.0,45.0,101.0,0.446,1.0,7.0,0.143,44.0,94.0,0.468,0.45,9.0,14.0,0.643,6.0,17.0,23.0,62.0,11.0,2.0,30.0,32.0,100.0
1984-85,25.0,CHI,NBA,PG,78.0,38.0,1523.0,191.0,386.0,0.495,2.0,16.0,0.125,189.0,370.0,0.511,0.497,59.0,85.0,0.694,16.0,51.0,67.0,354.0,73.0,12.0,124.0,133.0,443.0
1985-86,26.0,SAS,NBA,PG,75.0,46.0,1853.0,320.0,603.0,0.531,4.0,25.0,0.16,316.0,578.0,0.547,0.534,173.0,211.0,0.82,30.0,101.0,131.0,476.0,87.0,32.0,232.0,168.0,817.0
1986-87,27.0,LAL,NBA,PG,50.0,0.0,532.0,89.0,187.0,0.476,1.0,3.0,0.333,88.0,184.0,0.478,0.479,29.0,36.0,0.806,13.0,34.0,47.0,100.0,23.0,4.0,51.0,53.0,208.0
1987-88,28.0,LAL,NBA,PG,51.0,8.0,706.0,114.0,248.0,0.46,7.0,30.0,0.233,107.0,218.0,0.491,0.474,54.0,65.0,0.831,16.0,50.0,66.0,138.0,25.0,3.0,69.0,65.0,289.0
1989-90,30.0,ATL,NBA,PG,1.0,0.0,13.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0
