SEASON,TEAM ID,Team,TEAM
2010,24,Phoenix Suns,PHO
2010,10,Golden State Warriors,GSW
2010,8,Denver Nuggets,DEN
2010,29,Utah Jazz,UTA
2010,28,Toronto Raptors,TOR
2010,22,Orlando Magic,ORL
2010,15,Memphis Grizzlies,MEM
2010,11,Houston Rockets,HOU
2010,20,New York Knicks,NYK
2010,6,Cleveland Cavaliers,CLE
2010,7,Dallas Mavericks,DAL
2010,14,Los Angeles Lakers,LAL
2010,1,Atlanta Hawks,ALT
2010,21,Oklahoma City Thunder,OKC
2010,27,San Antonio Spurs,SAS
2010,12,Indiana Pacers,IND
2010,19,New Orleans Hornets,NOH
2010,26,Sacramento Kings,SAC
2010,2,Boston Celtics,BOS
2010,18,Minnesota Timberwolves,MIN
2010,25,Portland Trail Blazers,POR
2010,23,Philadelphia 76Ers,PHI
2010,17,Milwaukee Bucks,MIL
2010,5,Chicago Bulls,CHI
2010,16,Miami Heat,MIA
2010,30,Washington Wizards,WAS
2010,13,Los Angeles Clippers,LAC
2010,4,Charlotte Bobcats,CHA
2010,9,Detroit Pistons,DET
2010,3,New Jersey Nets,NJN
