SEASON,TEAM ID,TEAM,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2018,1,ALT,,0-3,1-3,0-3,2-0,0-2,1-1,1-1,1-2,1-0,0-2,1-2,1-1,0-2,0-2,1-3,0-3,1-1,,1-2,0-1,2-2,1-2,1-1,1-1,0-1,2-0,0-3,0-1,1-2
2018,2,BOS,3-0,,2-2,2-0,3-0,4-0,2-0,1-1,1-1,2-0,0-2,1-1,1-1,1-1,2-0,2-1,1-2,1-0,1-1,3-0,1-1,3-0,1-3,1-1,2-0,1-1,1-1,3-1,1-1,1-2
2018,3,BRK,3-1,2-2,,3-0,3-1,1-0,0-1,1-1,2-1,1-0,1-1,1-2,1-0,1-1,0-2,1-2,1-1,0-2,2-0,2-2,0-1,1-3,1-3,1-1,1-1,2-0,1-1,1-3,0-2,1-2
2018,5,CHI,3-0,0-2,0-3,,1-3,3-1,1-1,,4-0,0-2,0-1,0-4,1-0,0-1,2-0,0-2,0-4,1-1,0-2,1-2,0-2,0-1,0-2,0-1,0-2,1-1,1-0,0-3,0-1,3-1
2018,4,CHO,0-2,0-3,1-3,3-1,,1-1,1-1,0-2,4-0,2-0,1-1,1-3,0-1,0-1,0-2,1-1,0-3,1-1,0-1,3-0,0-1,0-2,0-1,0-2,0-1,2-0,0-2,1-2,0-2,1-2
2018,6,CLE,2-0,0-4,0-1,1-3,1-1,,0-2,2-0,2-2,0-1,0-1,1-2,0-2,0-1,1-1,1-3,0-3,1-1,0-2,1-3,0-2,0-3,1-3,,1-0,,2-0,0-3,0-1,2-1
2018,7,DAL,1-1,0-2,1-0,1-1,1-1,2-0,,2-1,1-0,3-0,1-2,1-1,0-3,1-3,2-1,0-2,2-0,3-0,4-0,0-2,1-1,2-0,2-0,1-3,2-2,3-1,3-1,1-1,1-2,1-1
2018,8,DEN,1-1,1-1,1-1,,2-0,0-2,1-2,,1-1,1-1,2-2,1-1,1-2,1-3,2-1,1-1,2-0,4-0,1-2,2-0,2-1,2-0,1-1,4-0,3-1,2-1,2-0,1-1,3-0,1-1
2018,9,DET,2-1,1-1,1-2,0-4,0-4,2-2,0-1,1-1,,1-0,1-0,3-1,0-1,0-1,0-2,0-1,0-3,0-1,1-1,1-2,0-2,1-1,0-3,2-0,0-1,1-1,1-1,0-3,0-2,1-3
2018,10,GSW,0-1,0-2,0-1,2-0,0-2,1-0,0-3,1-1,0-1,,1-2,0-1,0-3,0-3,1-2,0-2,0-1,1-2,2-2,0-1,0-3,1-1,1-1,2-2,1-2,0-3,0-2,0-1,0-4,1-1
2018,11,HOU,2-0,2-0,1-1,1-0,1-1,1-0,2-1,2-2,0-1,2-1,,1-1,2-2,2-1,2-1,1-1,1-1,4-0,3-1,1-1,1-2,1-1,1-1,2-1,1-3,2-1,1-2,1-0,2-1,1-0
2018,12,IND,2-1,1-1,2-1,4-0,3-1,2-1,1-1,1-1,1-3,1-0,1-1,,0-1,2-0,2-0,1-3,1-3,2-0,0-2,2-1,2-0,3-0,3-1,1-1,1-1,1-0,1-0,1-3,1-1,2-0
2018,13,LAC,1-1,1-1,0-1,0-1,1-0,2-0,3-0,2-1,1-0,3-0,2-2,1-0,,2-2,2-1,2-0,0-2,2-1,3-1,1-0,3-1,2-0,1-1,2-2,3-0,1-2,3-1,2-0,1-2,2-0
2018,14,LAL,2-0,1-1,1-1,1-0,1-0,1-0,3-1,3-1,1-0,3-0,1-2,0-2,2-2,,3-1,2-0,1-1,1-0,4-0,2-0,3-1,1-1,1-1,3-0,2-1,2-1,3-0,0-2,3-0,1-0
