Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1997,10,107,GSW,Golden State Warriors,11,B.J. Armstrong,PG,6-2,175,"September 9, 1967",US,7,Iowa
1997,10,293,GSW,Golden State Warriors,5,Melvin Booker,PG,6-1,185,"August 20, 1972",US,1,Missouri
1997,10,430,GSW,Golden State Warriors,23,Scott Burrell,SF,6-7,218,"January 12, 1971",US,3,UConn
1997,10,565,GSW,Golden State Warriors,12,Bimbo Coles,PG,6-1,180,"April 22, 1968",US,6,Virginia Tech
1997,10,714,GSW,Golden State Warriors,55,Andrew DeClercq,C,6-10,230,"February 1, 1973",US,1,Florida
1997,10,969,GSW,Golden State Warriors,52,Todd Fuller,C,6-11,255,"July 25, 1974",US,R,NC State
1997,10,1844,GSW,Golden State Warriors,3,Donyell Marshall,SF,6-9,218,"May 18, 1973",US,2,UConn
1997,10,2077,GSW,Golden State Warriors,17,Chris Mullin,SF,6-6,200,"July 30, 1963",US,11,St. John's
1997,10,2232,GSW,Golden State Warriors,35,Ray Owes,PF,6-9,224,"December 11, 1972",US,R,Arizona
1997,10,2363,GSW,Golden State Warriors,25,Mark Price,PG,6-0,170,"February 15, 1964",US,10,Georgia Tech
1997,10,2499,GSW,Golden State Warriors,21,Lou Roe,SF,6-7,220,"July 14, 1972",US,1,UMass
1997,10,2522,GSW,Golden State Warriors,5,Donald Royal,SF,6-8,210,"May 22, 1966",US,6,Notre Dame
1997,10,2523,GSW,Golden State Warriors,44,Clifford Rozier,C,6-11,245,"October 31, 1972",US,2,"UNC, Louisville"
1997,10,2688,GSW,Golden State Warriors,32,Joe Smith,PF,6-10,225,"July 26, 1975",US,1,Maryland
1997,10,2731,GSW,Golden State Warriors,50,Felton Spencer,C,7-0,265,"January 15, 1968",US,6,Louisville
1997,10,2733,GSW,Golden State Warriors,15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",US,4,Alabama
