Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2011,22,52,ORL,Orlando Magic,35,Malik Allen,PF,6-10,255,"June 27, 1978",US,9,Villanova
2011,22,83,ORL,Orlando Magic,33,Ryan Anderson,PF,6-9,240,"May 6, 1988",US,2,California
2011,22,104,ORL,Orlando Magic,1,Gilbert Arenas,PG,6-3,191,"January 6, 1982",US,9,Arizona
2011,22,180,ORL,Orlando Magic,30,Brandon Bass,PF,6-8,250,"April 30, 1985",US,5,LSU
2011,22,492,ORL,Orlando Magic,15,Vince Carter,SG,6-6,220,"January 26, 1977",US,12,UNC
2011,22,540,ORL,Orlando Magic,3,Earl Clark,SF,6-10,225,"January 17, 1988",US,1,Louisville
2011,22,795,ORL,Orlando Magic,25,Chris Duhon,PG,6-1,185,"August 31, 1982",US,6,Duke
2011,22,1065,ORL,Orlando Magic,13,Marcin Gortat,C,6-11,240,"February 17, 1984",PL,3,
2011,22,1338,ORL,Orlando Magic,12,Dwight Howard,C,6-10,265,"December 8, 1985",US,6,
2011,22,1747,ORL,Orlando Magic,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",US,12,
2011,22,2124,ORL,Orlando Magic,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",US,6,Saint Joseph's
2011,22,2307,ORL,Orlando Magic,20,Mickael Pietrus,SF,6-6,215,"February 7, 1982",GP,7,
2011,22,2411,ORL,Orlando Magic,7,J.J. Redick,SG,6-3,200,"June 24, 1984",US,4,Duke
2011,22,2439,ORL,Orlando Magic,23,Jason Richardson,SG,6-6,220,"January 20, 1981",US,9,Michigan State
2011,22,2446,ORL,Orlando Magic,5,Quentin Richardson,SF,6-6,223,"April 13, 1980",US,10,DePaul
2011,22,2921,ORL,Orlando Magic,15,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",TR,10,
2011,22,3144,ORL,Orlando Magic,44,Jason Williams,PG,6-1,190,"November 18, 1975",US,11,"Marshall, Florida"
