Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2011,27,75,SAS,San Antonio Spurs,25,James Anderson,SF,6-6,213,"March 25, 1989",US,R,Oklahoma State
2011,27,259,SAS,San Antonio Spurs,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",US,1,Pitt
2011,27,291,SAS,San Antonio Spurs,15,Matt Bonner,PF,6-10,235,"April 5, 1980",US,6,Florida
2011,27,800,SAS,San Antonio Spurs,21,Tim Duncan,C,6-11,250,"April 25, 1976",VI,13,Wake Forest
2011,27,1015,SAS,San Antonio Spurs,23,Alonzo Gee,SG,6-6,225,"May 29, 1987",US,1,Alabama
2011,27,1040,SAS,San Antonio Spurs,20,Manu Ginobili,SG,6-6,205,"July 28, 1977",AR,8,
2011,27,1099,SAS,San Antonio Spurs,4,Danny Green,SG,6-6,215,"June 22, 1987",US,1,UNC
2011,27,1289,SAS,San Antonio Spurs,3,George Hill,PG,6-4,188,"May 4, 1986",US,2,IUPUI
2011,27,1440,SAS,San Antonio Spurs,12,Othyus Jeffers,SG,6-5,200,"August 5, 1985",US,1,"University of Illinois at Chicago, Robert Morris University (IL)"
2011,27,1445,SAS,San Antonio Spurs,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",US,9,Arizona
2011,27,1928,SAS,San Antonio Spurs,34,Antonio McDyess,PF,6-9,220,"September 7, 1974",US,14,Alabama
2011,27,2122,SAS,San Antonio Spurs,14,Gary Neal,SG,6-4,210,"October 3, 1984",US,R,"La Salle, Towson University"
2011,27,2161,SAS,San Antonio Spurs,23,Steve Novak,SF,6-10,225,"June 13, 1983",US,4,Marquette
2011,27,2229,SAS,San Antonio Spurs,33,Larry Owens,SF,6-7,210,"January 8, 1983",US,R,Oral Roberts
2011,27,2251,SAS,San Antonio Spurs,9,Tony Parker,PG,6-2,185,"May 17, 1982",BE,9,
2011,27,2380,SAS,San Antonio Spurs,11,Chris Quinn,PG,6-2,185,"September 27, 1983",US,4,Notre Dame
2011,27,2636,SAS,San Antonio Spurs,1,Bobby Simmons,SF,6-7,210,"June 2, 1980",US,8,DePaul
2011,27,2732,SAS,San Antonio Spurs,22,Tiago Splitter,C,6-11,245,"January 1, 1985",BR,R,
2011,27,2830,SAS,San Antonio Spurs,2,Garrett Temple,SG,6-5,195,"May 8, 1986",US,1,LSU
2011,27,2940,SAS,San Antonio Spurs,5,Ime Udoka,SF,6-6,215,"August 9, 1977",US,6,"San Francisco, Portland State"
