Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2012,29,25,UTA,Utah Jazz,2,Blake Ahearn,PG,6-2,190,"May 27, 1984",US,2,Missouri State University
2012,29,211,UTA,Utah Jazz,19,Raja Bell,SG,6-5,204,"September 19, 1976",VI,11,"Boston University, Florida International University"
2012,29,424,UTA,Utah Jazz,10,Alec Burks,SG,6-6,214,"July 20, 1991",US,R,Colorado
2012,29,481,UTA,Utah Jazz,3,DeMarre Carroll,SF,6-6,215,"July 27, 1986",US,2,"Vanderbilt, Missouri"
2012,29,877,UTA,Utah Jazz,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",US,1,Western Kentucky
2012,29,895,UTA,Utah Jazz,15,Derrick Favors,PF,6-8,265,"July 15, 1991",US,1,Georgia Tech
2012,29,1199,UTA,Utah Jazz,5,Devin Harris,PG,6-3,185,"February 27, 1983",US,7,Wisconsin
2012,29,1238,UTA,Utah Jazz,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",US,1,Butler
2012,29,1339,UTA,Utah Jazz,8,Josh Howard,SF,6-7,210,"April 28, 1980",US,8,Wake Forest
2012,29,1440,UTA,Utah Jazz,25,Al Jefferson,C,6-10,289,"January 4, 1985",US,7,
2012,29,1579,UTA,Utah Jazz,0,Enes Kanter,C,6-10,250,"May 20, 1992",CH,R,
2012,29,1983,UTA,Utah Jazz,34,C.J. Miles,SG,6-6,220,"March 18, 1987",US,6,
2012,29,2002,UTA,Utah Jazz,24,Paul Millsap,PF,6-7,257,"February 10, 1985",US,5,Louisiana Tech
2012,29,2886,UTA,Utah Jazz,6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",US,8,Iowa State
2012,29,3041,UTA,Utah Jazz,11,Earl Watson,PG,6-1,195,"June 12, 1979",US,10,UCLA
