Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2014,13,169,LAC,Los Angeles Clippers,22,Matt Barnes,SF,6-7,226,"March 9, 1980",US,10,UCLA
2014,13,420,LAC,Los Angeles Clippers,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",US,R,UNC
2014,13,578,LAC,Los Angeles Clippers,2,Darren Collison,PG,6-0,175,"August 23, 1987",US,4,UCLA
2014,13,625,LAC,Los Angeles Clippers,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",US,13,Michigan
2014,13,687,LAC,Los Angeles Clippers,0,Glen Davis,PF,6-9,289,"January 1, 1986",US,6,LSU
2014,13,793,LAC,Los Angeles Clippers,9,Jared Dudley,SF,6-6,237,"July 10, 1985",US,6,Boston College
2014,13,1077,LAC,Los Angeles Clippers,33,Danny Granger,SF,6-9,222,"April 20, 1983",US,8,"Bradley, New Mexico"
2014,13,1116,LAC,Los Angeles Clippers,34,Willie Green,SG,6-4,200,"July 28, 1981",US,10,Detroit Mercy
2014,13,1125,LAC,Los Angeles Clippers,32,Blake Griffin,PF,6-9,250,"March 16, 1989",US,3,Oklahoma
2014,13,1313,LAC,Los Angeles Clippers,15,Ryan Hollins,PF,7-0,240,"October 10, 1984",US,7,UCLA
2014,13,1417,LAC,Los Angeles Clippers,1,Stephen Jackson,SF,6-8,218,"April 5, 1978",US,13,Butler County Community College
2014,13,1432,LAC,Los Angeles Clippers,33,Antawn Jamison,PF,6-8,223,"June 12, 1976",US,15,UNC
2014,13,1564,LAC,Los Angeles Clippers,6,DeAndre Jordan,C,6-11,265,"July 21, 1988",US,5,Texas A&M
2014,13,2049,LAC,Los Angeles Clippers,7,Darius Morris,PG,6-4,190,"January 3, 1991",US,2,Michigan
2014,13,2074,LAC,Los Angeles Clippers,0,Byron Mullens,C,7-0,275,"February 14, 1989",US,4,Ohio State
2014,13,2261,LAC,Los Angeles Clippers,3,Chris Paul,PG,6-0,175,"May 6, 1985",US,8,Wake Forest
2014,13,2411,LAC,Los Angeles Clippers,4,J.J. Redick,SG,6-3,200,"June 24, 1984",US,7,Duke
2014,13,2921,LAC,Los Angeles Clippers,8,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",TR,13,
2014,13,2986,LAC,Los Angeles Clippers,18,Sasha Vujacic,SG,6-7,195,"March 8, 1984",SI,7,
2014,13,3044,LAC,Los Angeles Clippers,5,Maalik Wayns,PG,6-2,200,"May 2, 1991",US,1,Villanova
