Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984.0,17.0,1755,MIL,Milwaukee Bucks,Alton Lister,25.0,16.0,,368.0,39.0,78.0,0.5,0.0,0.0,,39.0,78.0,0.5,0.5,30.0,48.0,0.62,26.0,70.0,96.0,10.0,5.0,24.0,27.0,63.0,108.0
1984.0,17.0,1697,MIL,Milwaukee Bucks,Bob Lanier,35.0,16.0,,499.0,82.0,171.0,0.48,0.0,0.0,,82.0,171.0,0.48,0.48,39.0,44.0,0.89,32.0,85.0,117.0,55.0,11.0,10.0,38.0,57.0,203.0
1984.0,17.0,499,MIL,Milwaukee Bucks,Harvey Catchings,32.0,5.0,,25.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,0.0,2.0,7.0,3.0
1984.0,17.0,349,MIL,Milwaukee Bucks,Junior Bridgeman,30.0,16.0,,499.0,88.0,193.0,0.46,1.0,9.0,0.11,87.0,184.0,0.47,0.46,53.0,65.0,0.82,12.0,52.0,64.0,44.0,6.0,5.0,22.0,37.0,230.0
1984.0,17.0,1123,MIL,Milwaukee Bucks,Kevin Grevey,30.0,5.0,,27.0,2.0,9.0,0.22,0.0,0.0,,2.0,9.0,0.22,0.22,4.0,6.0,0.67,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0
1984.0,17.0,2502,MIL,Milwaukee Bucks,Lorenzo Romar,25.0,13.0,,67.0,9.0,20.0,0.45,0.0,3.0,0.0,9.0,17.0,0.53,0.45,7.0,11.0,0.64,0.0,3.0,3.0,15.0,0.0,0.0,5.0,9.0,25.0
1984.0,17.0,1504,MIL,Milwaukee Bucks,Marques Johnson,27.0,16.0,,605.0,129.0,273.0,0.47,1.0,4.0,0.25,128.0,269.0,0.48,0.47,65.0,90.0,0.72,29.0,56.0,85.0,55.0,17.0,6.0,43.0,50.0,324.0
1984.0,17.0,802,MIL,Milwaukee Bucks,Mike Dunleavy,29.0,15.0,,393.0,59.0,129.0,0.46,18.0,50.0,0.36,41.0,79.0,0.52,0.53,33.0,36.0,0.92,10.0,25.0,35.0,46.0,17.0,0.0,35.0,59.0,169.0
1984.0,17.0,2022,MIL,Milwaukee Bucks,Paul Mokeski,27.0,16.0,,322.0,34.0,63.0,0.54,0.0,2.0,0.0,34.0,61.0,0.56,0.54,30.0,45.0,0.67,20.0,68.0,88.0,6.0,9.0,11.0,10.0,62.0,98.0
1984.0,17.0,2354,MIL,Milwaukee Bucks,Paul Pressey,25.0,16.0,,351.0,52.0,100.0,0.52,0.0,3.0,0.0,52.0,97.0,0.54,0.52,38.0,56.0,0.68,17.0,42.0,59.0,50.0,22.0,9.0,38.0,53.0,142.0
1984.0,17.0,341,MIL,Milwaukee Bucks,Randy Breuer,23.0,12.0,,66.0,11.0,26.0,0.42,0.0,0.0,,11.0,26.0,0.42,0.42,3.0,5.0,0.6,6.0,11.0,17.0,4.0,0.0,6.0,2.0,18.0,25.0
1984.0,17.0,2024,MIL,Milwaukee Bucks,Sidney Moncrief,26.0,16.0,,618.0,99.0,191.0,0.52,1.0,4.0,0.25,98.0,187.0,0.52,0.52,106.0,134.0,0.79,44.0,67.0,111.0,68.0,28.0,9.0,61.0,54.0,305.0
